         Index             t     Heat Flow            Ts            Tr
           [#]           [s]          [mW]          [°C]          [°C]
             0   0,00000e+00  -1,22359e-03  -7,96220e+01  -8,00000e+01
             1   1,00000e-04  -1,50746e-03  -7,95678e+01  -7,98000e+01
             2   2,00000e-04  -1,64020e-03  -7,94918e+01  -7,96000e+01
             3   3,00000e-04  -1,61072e-03  -7,94202e+01  -7,94000e+01
             4   4,00000e-04  -1,42369e-03  -7,93269e+01  -7,92000e+01
             5   5,00000e-04  -1,06896e-03  -7,92228e+01  -7,90000e+01
             6   6,00000e-04  -5,28730e-04  -7,91167e+01  -7,88000e+01
             7   7,00000e-04   1,88905e-04  -7,90040e+01  -7,86000e+01
             8   8,00000e-04   1,10338e-03  -7,88763e+01  -7,84000e+01
             9   9,00000e-04   2,23256e-03  -7,87486e+01  -7,82000e+01
            10   1,00000e-03   3,60306e-03  -7,86166e+01  -7,80000e+01
            11   1,10000e-03   5,22856e-03  -7,84761e+01  -7,78000e+01
            12   1,20000e-03   7,11466e-03  -7,83249e+01  -7,76000e+01
            13   1,30000e-03   9,32607e-03  -7,81694e+01  -7,74000e+01
            14   1,40000e-03   1,18723e-02  -7,80097e+01  -7,72000e+01
            15   1,50000e-03   1,47720e-02  -7,78566e+01  -7,70000e+01
            16   1,60000e-03   1,80442e-02  -7,76950e+01  -7,68000e+01
            17   1,70000e-03   2,17460e-02  -7,75270e+01  -7,66000e+01
            18   1,80000e-03   2,58151e-02  -7,73548e+01  -7,64000e+01
            19   1,90000e-03   3,03078e-02  -7,71784e+01  -7,62000e+01
            20   2,00000e-03   3,52573e-02  -7,70065e+01  -7,60000e+01
            21   2,10000e-03   4,06696e-02  -7,68347e+01  -7,58000e+01
            22   2,20000e-03   4,65097e-02  -7,66458e+01  -7,56000e+01
            23   2,30000e-03   5,26460e-02  -7,64699e+01  -7,54000e+01
            24   2,40000e-03   5,91520e-02  -7,62856e+01  -7,52000e+01
            25   2,50000e-03   6,60306e-02  -7,60971e+01  -7,50000e+01
            26   2,60000e-03   7,31889e-02  -7,59131e+01  -7,48000e+01
            27   2,70000e-03   8,05993e-02  -7,57206e+01  -7,46000e+01
            28   2,80000e-03   8,81569e-02  -7,55368e+01  -7,44000e+01
            29   2,90000e-03   9,58476e-02  -7,53510e+01  -7,42000e+01
            30   3,00000e-03   1,03611e-01  -7,51526e+01  -7,40000e+01
            31   3,10000e-03   1,11327e-01  -7,49586e+01  -7,38000e+01
            32   3,20000e-03   1,19054e-01  -7,47689e+01  -7,36000e+01
            33   3,30000e-03   1,26744e-01  -7,45710e+01  -7,34000e+01
            34   3,40000e-03   1,34288e-01  -7,43774e+01  -7,32000e+01
            35   3,50000e-03   1,41670e-01  -7,41818e+01  -7,30000e+01
            36   3,60000e-03   1,48780e-01  -7,39779e+01  -7,28000e+01
            37   3,70000e-03   1,55522e-01  -7,37869e+01  -7,26000e+01
            38   3,80000e-03   1,61950e-01  -7,35875e+01  -7,24000e+01
            39   3,90000e-03   1,68061e-01  -7,33862e+01  -7,22000e+01
            40   4,00000e-03   1,73810e-01  -7,31935e+01  -7,20000e+01
            41   4,10000e-03   1,79238e-01  -7,29967e+01  -7,18000e+01
            42   4,20000e-03   1,84391e-01  -7,27873e+01  -7,16000e+01
            43   4,30000e-03   1,89128e-01  -7,25951e+01  -7,14000e+01
            44   4,40000e-03   1,93534e-01  -7,23966e+01  -7,12000e+01
            45   4,50000e-03   1,97564e-01  -7,21878e+01  -7,10000e+01
            46   4,60000e-03   2,01307e-01  -7,19981e+01  -7,08000e+01
            47   4,70000e-03   2,04755e-01  -7,17959e+01  -7,06000e+01
            48   4,80000e-03   2,07839e-01  -7,15938e+01  -7,04000e+01
            49   4,90000e-03   2,10579e-01  -7,13982e+01  -7,02000e+01
            50   5,00000e-03   2,13182e-01  -7,11986e+01  -7,00000e+01
            51   5,10000e-03   2,15553e-01  -7,10012e+01  -6,98000e+01
            52   5,20000e-03   2,17763e-01  -7,07997e+01  -6,96000e+01
            53   5,30000e-03   2,19814e-01  -7,05984e+01  -6,94000e+01
            54   5,40000e-03   2,21714e-01  -7,03994e+01  -6,92000e+01
            55   5,50000e-03   2,23416e-01  -7,01921e+01  -6,90000e+01
            56   5,60000e-03   2,24983e-01  -6,99976e+01  -6,88000e+01
            57   5,70000e-03   2,26459e-01  -6,97969e+01  -6,86000e+01
            58   5,80000e-03   2,27816e-01  -6,95943e+01  -6,84000e+01
            59   5,90000e-03   2,28931e-01  -6,93939e+01  -6,82000e+01
            60   6,00000e-03   2,29956e-01  -6,91916e+01  -6,80000e+01
            61   6,10000e-03   2,30811e-01  -6,89978e+01  -6,78000e+01
            62   6,20000e-03   2,31541e-01  -6,87978e+01  -6,76000e+01
            63   6,30000e-03   2,32202e-01  -6,86001e+01  -6,74000e+01
            64   6,40000e-03   2,32991e-01  -6,83901e+01  -6,72000e+01
            65   6,50000e-03   2,33739e-01  -6,81927e+01  -6,70000e+01
            66   6,60000e-03   2,34496e-01  -6,79892e+01  -6,68000e+01
            67   6,70000e-03   2,35132e-01  -6,77942e+01  -6,66000e+01
            68   6,80000e-03   2,35630e-01  -6,75869e+01  -6,64000e+01
            69   6,90000e-03   2,36082e-01  -6,73921e+01  -6,62000e+01
            70   7,00000e-03   2,36446e-01  -6,71851e+01  -6,60000e+01
            71   7,10000e-03   2,36810e-01  -6,69845e+01  -6,58000e+01
            72   7,20000e-03   2,37158e-01  -6,67840e+01  -6,56000e+01
            73   7,30000e-03   2,37464e-01  -6,65836e+01  -6,54000e+01
            74   7,40000e-03   2,37724e-01  -6,63854e+01  -6,52000e+01
            75   7,50000e-03   2,38006e-01  -6,61833e+01  -6,50000e+01
            76   7,60000e-03   2,38418e-01  -6,59772e+01  -6,48000e+01
            77   7,70000e-03   2,38719e-01  -6,57795e+01  -6,46000e+01
            78   7,80000e-03   2,39035e-01  -6,55758e+01  -6,44000e+01
            79   7,90000e-03   2,39216e-01  -6,53742e+01  -6,42000e+01
            80   8,00000e-03   2,39382e-01  -6,51770e+01  -6,40000e+01
            81   8,10000e-03   2,39650e-01  -6,49655e+01  -6,38000e+01
            82   8,20000e-03   2,39859e-01  -6,47705e+01  -6,36000e+01
            83   8,30000e-03   2,40135e-01  -6,45676e+01  -6,34000e+01
            84   8,40000e-03   2,40462e-01  -6,43668e+01  -6,32000e+01
            85   8,50000e-03   2,40796e-01  -6,41682e+01  -6,30000e+01
            86   8,60000e-03   2,41156e-01  -6,39615e+01  -6,28000e+01
            87   8,70000e-03   2,41467e-01  -6,37612e+01  -6,26000e+01
            88   8,80000e-03   2,41742e-01  -6,35691e+01  -6,24000e+01
            89   8,90000e-03   2,42068e-01  -6,33609e+01  -6,22000e+01
            90   9,00000e-03   2,42387e-01  -6,31549e+01  -6,20000e+01
            91   9,10000e-03   2,42665e-01  -6,29551e+01  -6,18000e+01
            92   9,20000e-03   2,42845e-01  -6,27534e+01  -6,16000e+01
            93   9,30000e-03   2,42992e-01  -6,25539e+01  -6,14000e+01
            94   9,40000e-03   2,43128e-01  -6,23566e+01  -6,12000e+01
            95   9,50000e-03   2,43247e-01  -6,21513e+01  -6,10000e+01
            96   9,60000e-03   2,43368e-01  -6,19503e+01  -6,08000e+01
            97   9,70000e-03   2,43527e-01  -6,17453e+01  -6,06000e+01
            98   9,80000e-03   2,43664e-01  -6,15465e+01  -6,04000e+01
            99   9,90000e-03   2,43806e-01  -6,13458e+01  -6,02000e+01
           100   1,00000e-02   2,43925e-01  -6,11433e+01  -6,00000e+01
           101   1,01000e-02   2,44135e-01  -6,09389e+01  -5,98000e+01
           102   1,02000e-02   2,44258e-01  -6,07407e+01  -5,96000e+01
           103   1,03000e-02   2,44458e-01  -6,05426e+01  -5,94000e+01
           104   1,04000e-02   2,44617e-01  -6,03326e+01  -5,92000e+01
           105   1,05000e-02   2,44678e-01  -6,01308e+01  -5,90000e+01
           106   1,06000e-02   2,44751e-01  -5,99352e+01  -5,88000e+01
           107   1,07000e-02   2,44904e-01  -5,97336e+01  -5,86000e+01
           108   1,08000e-02   2,45108e-01  -5,95303e+01  -5,84000e+01
           109   1,09000e-02   2,45269e-01  -5,93290e+01  -5,82000e+01
           110   1,10000e-02   2,45522e-01  -5,91259e+01  -5,80000e+01
           111   1,11000e-02   2,45817e-01  -5,89270e+01  -5,78000e+01
           112   1,12000e-02   2,46121e-01  -5,87221e+01  -5,76000e+01
           113   1,13000e-02   2,46380e-01  -5,85255e+01  -5,74000e+01
           114   1,14000e-02   2,46665e-01  -5,83249e+01  -5,72000e+01
