         Index             t     Heat Flow            Ts            Tr
           [#]           [s]          [mW]          [°C]          [°C]
             0   0,00000e+00  -6,62907e-04  -7,96527e+01  -8,00000e+01
             1   1,00000e-04  -1,08141e-03  -7,96049e+01  -7,98000e+01
             2   2,00000e-04  -1,36025e-03  -7,95507e+01  -7,96000e+01
             3   3,00000e-04  -1,50278e-03  -7,94856e+01  -7,94000e+01
             4   4,00000e-04  -1,50335e-03  -7,94031e+01  -7,92000e+01
             5   5,00000e-04  -1,33605e-03  -7,93142e+01  -7,90000e+01
             6   6,00000e-04  -9,90800e-04  -7,92058e+01  -7,88000e+01
             7   7,00000e-04  -4,54844e-04  -7,91104e+01  -7,86000e+01
             8   8,00000e-04   2,73595e-04  -7,89913e+01  -7,84000e+01
             9   9,00000e-04   1,19461e-03  -7,88657e+01  -7,82000e+01
            10   1,00000e-03   2,30509e-03  -7,87402e+01  -7,80000e+01
            11   1,10000e-03   3,65596e-03  -7,86039e+01  -7,78000e+01
            12   1,20000e-03   5,29377e-03  -7,84548e+01  -7,76000e+01
            13   1,30000e-03   7,22242e-03  -7,83144e+01  -7,74000e+01
            14   1,40000e-03   9,45155e-03  -7,81589e+01  -7,72000e+01
            15   1,50000e-03   1,20158e-02  -7,80035e+01  -7,70000e+01
            16   1,60000e-03   1,49577e-02  -7,78461e+01  -7,68000e+01
            17   1,70000e-03   1,83602e-02  -7,76802e+01  -7,66000e+01
            18   1,80000e-03   2,21725e-02  -7,75187e+01  -7,64000e+01
            19   1,90000e-03   2,64139e-02  -7,73465e+01  -7,62000e+01
            20   2,00000e-03   3,11001e-02  -7,71723e+01  -7,60000e+01
            21   2,10000e-03   3,62243e-02  -7,69982e+01  -7,58000e+01
            22   2,20000e-03   4,17803e-02  -7,68178e+01  -7,56000e+01
            23   2,30000e-03   4,77568e-02  -7,66353e+01  -7,54000e+01
            24   2,40000e-03   5,40875e-02  -7,64595e+01  -7,52000e+01
            25   2,50000e-03   6,07998e-02  -7,62752e+01  -7,50000e+01
            26   2,60000e-03   6,78807e-02  -7,60867e+01  -7,48000e+01
            27   2,70000e-03   7,51684e-02  -7,59048e+01  -7,46000e+01
            28   2,80000e-03   8,26660e-02  -7,57123e+01  -7,44000e+01
            29   2,90000e-03   9,03648e-02  -7,55222e+01  -7,42000e+01
            30   3,00000e-03   9,81234e-02  -7,53364e+01  -7,40000e+01
            31   3,10000e-03   1,05934e-01  -7,51380e+01  -7,38000e+01
            32   3,20000e-03   1,13672e-01  -7,49482e+01  -7,36000e+01
            33   3,30000e-03   1,21352e-01  -7,47501e+01  -7,34000e+01
            34   3,40000e-03   1,28859e-01  -7,45627e+01  -7,32000e+01
            35   3,50000e-03   1,36241e-01  -7,43606e+01  -7,30000e+01
            36   3,60000e-03   1,43378e-01  -7,41714e+01  -7,28000e+01
            37   3,70000e-03   1,50419e-01  -7,39739e+01  -7,26000e+01
            38   3,80000e-03   1,57158e-01  -7,37765e+01  -7,24000e+01
            39   3,90000e-03   1,63638e-01  -7,35772e+01  -7,22000e+01
