Index	t	Heat Flow	Ts	Tr
73	7.30000e-03	2.34424e-01	-6.71988e+01	-6.54000e+01
74	7.40000e-03	2.34638e-01	-6.69940e+01	-6.52000e+01
75	7.50000e-03	2.34958e-01	-6.67956e+01	-6.50000e+01
76	7.60000e-03	2.35318e-01	-6.65911e+01	-6.48000e+01
77	7.70000e-03	2.35657e-01	-6.63888e+01	-6.46000e+01
78	7.80000e-03	2.35982e-01	-6.61887e+01	-6.44000e+01
79	7.90000e-03	2.36301e-01	-6.59909e+01	-6.42000e+01
80	8.00000e-03	2.36584e-01	-6.57849e+01	-6.40000e+01
81	8.10000e-03	2.36932e-01	-6.55812e+01	-6.38000e+01
82	8.20000e-03	2.37215e-01	-6.53838e+01	-6.36000e+01
83	8.30000e-03	2.37529e-01	-6.51824e+01	-6.34000e+01
84	8.40000e-03	2.37793e-01	-6.49770e+01	-6.32000e+01
85	8.50000e-03	2.38021e-01	-6.47739e+01	-6.30000e+01
86	8.60000e-03	2.38199e-01	-6.45791e+01	-6.28000e+01
87	8.70000e-03	2.38452e-01	-6.43722e+01	-6.26000e+01
88	8.80000e-03	2.38653e-01	-6.41776e+01	-6.24000e+01
89	8.90000e-03	2.38918e-01	-6.39751e+01	-6.22000e+01
90	9.00000e-03	2.39136e-01	-6.37666e+01	-6.20000e+01
91	9.10000e-03	2.39333e-01	-6.35765e+01	-6.18000e+01
92	9.20000e-03	2.39543e-01	-6.33683e+01	-6.16000e+01
93	9.30000e-03	2.39677e-01	-6.31623e+01	-6.14000e+01
94	9.40000e-03	2.39867e-01	-6.29625e+01	-6.12000e+01
95	9.50000e-03	2.40063e-01	-6.27588e+01	-6.10000e+01
96	9.60000e-03	2.40211e-01	-6.25593e+01	-6.08000e+01
97	9.70000e-03	2.40418e-01	-6.23640e+01	-6.06000e+01
98	9.80000e-03	2.40751e-01	-6.21567e+01	-6.04000e+01
99	9.90000e-03	2.40976e-01	-6.19597e+01	-6.02000e+01
100	1.00000e-02	2.41160e-01	-6.17547e+01	-6.00000e+01
101	1.01000e-02	2.41352e-01	-6.15478e+01	-5.98000e+01
102	1.02000e-02	2.41488e-01	-6.13532e+01	-5.96000e+01
103	1.03000e-02	2.41779e-01	-6.11547e+01	-5.94000e+01
104	1.04000e-02	2.42047e-01	-6.09523e+01	-5.92000e+01
105	1.05000e-02	2.42389e-01	-6.07460e+01	-5.90000e+01
106	1.06000e-02	2.42789e-01	-6.05459e+01	-5.88000e+01
107	1.07000e-02	2.43050e-01	-6.03399e+01	-5.86000e+01
108	1.08000e-02	2.43209e-01	-6.01462e+01	-5.84000e+01
109	1.09000e-02	2.43400e-01	-5.99365e+01	-5.82000e+01
110	1.10000e-02	2.43587e-01	-5.97430e+01	-5.80000e+01
111	1.11000e-02	2.43826e-01	-5.95376e+01	-5.78000e+01
112	1.12000e-02	2.44019e-01	-5.93343e+01	-5.76000e+01
113	1.13000e-02	2.44199e-01	-5.91392e+01	-5.74000e+01
114	1.14000e-02	2.44360e-01	-5.89342e+01	-5.72000e+01
115	1.15000e-02	2.44515e-01	-5.87314e+01	-5.70000e+01
116	1.16000e-02	2.44645e-01	-5.85368e+01	-5.68000e+01
117	1.17000e-02	2.44783e-01	-5.83282e+01	-5.66000e+01
118	1.18000e-02	2.45003e-01	-5.81258e+01	-5.64000e+01
119	1.19000e-02	2.45171e-01	-5.79275e+01	-5.62000e+01
120	1.20000e-02	2.45341e-01	-5.77274e+01	-5.60000e+01
121	1.21000e-02	2.45551e-01	-5.75214e+01	-5.58000e+01
122	1.22000e-02	2.45697e-01	-5.73236e+01	-5.56000e+01
123	1.23000e-02	2.45793e-01	-5.71199e+01	-5.54000e+01
124	1.24000e-02	2.45906e-01	-5.69124e+01	-5.52000e+01
125	1.25000e-02	2.45957e-01	-5.67169e+01	-5.50000e+01
126	1.26000e-02	2.46032e-01	-5.65097e+01	-5.48000e+01
127	1.27000e-02	2.46055e-01	-5.63125e+01	-5.46000e+01
128	1.28000e-02	2.46157e-01	-5.61095e+01	-5.44000e+01
129	1.29000e-02	2.46400e-01	-5.59047e+01	-5.42000e+01
130	1.30000e-02	2.46631e-01	-5.57119e+01	-5.40000e+01
131	1.31000e-02	2.46887e-01	-5.55074e+01	-5.38000e+01
132	1.32000e-02	2.47047e-01	-5.53010e+01	-5.36000e+01
133	1.33000e-02	2.47193e-01	-5.51066e+01	-5.34000e+01
134	1.34000e-02	2.47531e-01	-5.49005e+01	-5.32000e+01
135	1.35000e-02	2.47756e-01	-5.46945e+01	-5.30000e+01
136	1.36000e-02	2.47972e-01	-5.45006e+01	-5.28000e+01
137	1.37000e-02	2.48257e-01	-5.42929e+01	-5.26000e+01
138	1.38000e-02	2.48518e-01	-5.40874e+01	-5.24000e+01
139	1.39000e-02	2.48847e-01	-5.38918e+01	-5.22000e+01
140	1.40000e-02	2.49118e-01	-5.36885e+01	-5.20000e+01
141	1.41000e-02	2.49251e-01	-5.34874e+01	-5.18000e+01
142	1.42000e-02	2.49426e-01	-5.32922e+01	-5.16000e+01
143	1.43000e-02	2.49645e-01	-5.30854e+01	-5.14000e+01
144	1.44000e-02	2.49793e-01	-5.28846e+01	-5.12000e+01
145	1.45000e-02	2.49887e-01	-5.26801e+01	-5.10000e+01
146	1.46000e-02	2.50099e-01	-5.24776e+01	-5.08000e+01
147	1.47000e-02	2.50407e-01	-5.22772e+01	-5.06000e+01
148	1.48000e-02	2.50738e-01	-5.20750e+01	-5.04000e+01
149	1.49000e-02	2.51005e-01	-5.18749e+01	-5.02000e+01
150	1.50000e-02	2.51209e-01	-5.16769e+01	-5.00000e+01
151	1.51000e-02	2.51463e-01	-5.14673e+01	-4.98000e+01
152	1.52000e-02	2.51689e-01	-5.12696e+01	-4.96000e+01
153	1.53000e-02	2.51878e-01	-5.10680e+01	-4.94000e+01
154	1.54000e-02	2.52192e-01	-5.08647e+01	-4.92000e+01
155	1.55000e-02	2.52407e-01	-5.06674e+01	-4.90000e+01
156	1.56000e-02	2.52661e-01	-5.04643e+01	-4.88000e+01
157	1.57000e-02	2.52861e-01	-5.02594e+01	-4.86000e+01
158	1.58000e-02	2.53036e-01	-5.00625e+01	-4.84000e+01
159	1.59000e-02	2.53251e-01	-4.98598e+01	-4.82000e+01
