Index	t	Heat Flow	Ts	Tr
73	7.30000e-03	2.35714e-01	-6.79491e+01	-6.54000e+01
74	7.40000e-03	2.36307e-01	-6.77458e+01	-6.52000e+01
75	7.50000e-03	2.36959e-01	-6.75468e+01	-6.50000e+01
76	7.60000e-03	2.37562e-01	-6.73459e+01	-6.48000e+01
77	7.70000e-03	2.38185e-01	-6.71410e+01	-6.46000e+01
78	7.80000e-03	2.38803e-01	-6.69404e+01	-6.44000e+01
79	7.90000e-03	2.39251e-01	-6.67378e+01	-6.42000e+01
80	8.00000e-03	2.39732e-01	-6.65354e+01	-6.40000e+01
81	8.10000e-03	2.40064e-01	-6.63311e+01	-6.38000e+01
82	8.20000e-03	2.40389e-01	-6.61352e+01	-6.36000e+01
83	8.30000e-03	2.40697e-01	-6.59312e+01	-6.34000e+01
84	8.40000e-03	2.40806e-01	-6.57294e+01	-6.32000e+01
85	8.50000e-03	2.41018e-01	-6.55237e+01	-6.30000e+01
86	8.60000e-03	2.41241e-01	-6.53242e+01	-6.28000e+01
87	8.70000e-03	2.41482e-01	-6.51249e+01	-6.26000e+01
88	8.80000e-03	2.41771e-01	-6.49155e+01	-6.24000e+01
89	8.90000e-03	2.42060e-01	-6.47227e+01	-6.22000e+01
90	9.00000e-03	2.42329e-01	-6.45177e+01	-6.20000e+01
91	9.10000e-03	2.42549e-01	-6.43190e+01	-6.18000e+01
92	9.20000e-03	2.42611e-01	-6.41143e+01	-6.16000e+01
93	9.30000e-03	2.42734e-01	-6.39138e+01	-6.14000e+01
94	9.40000e-03	2.42892e-01	-6.37094e+01	-6.12000e+01
95	9.50000e-03	2.43085e-01	-6.35051e+01	-6.10000e+01
96	9.60000e-03	2.43247e-01	-6.33072e+01	-6.08000e+01
97	9.70000e-03	2.43459e-01	-6.31032e+01	-6.06000e+01
98	9.80000e-03	2.43693e-01	-6.28994e+01	-6.04000e+01
99	9.90000e-03	2.43922e-01	-6.27018e+01	-6.02000e+01
100	1.00000e-02	2.44162e-01	-6.24902e+01	-6.00000e+01
101	1.01000e-02	2.44377e-01	-6.22909e+01	-5.98000e+01
102	1.02000e-02	2.44554e-01	-6.20877e+01	-5.96000e+01
103	1.03000e-02	2.44715e-01	-6.18887e+01	-5.94000e+01
104	1.04000e-02	2.44849e-01	-6.16918e+01	-5.92000e+01
105	1.05000e-02	2.45013e-01	-6.14890e+01	-5.90000e+01
106	1.06000e-02	2.45134e-01	-6.12864e+01	-5.88000e+01
107	1.07000e-02	2.45222e-01	-6.10819e+01	-5.86000e+01
108	1.08000e-02	2.45332e-01	-6.08755e+01	-5.84000e+01
109	1.09000e-02	2.45390e-01	-6.06794e+01	-5.82000e+01
110	1.10000e-02	2.45452e-01	-6.04793e+01	-5.80000e+01
111	1.11000e-02	2.45631e-01	-6.02734e+01	-5.78000e+01
112	1.12000e-02	2.45797e-01	-6.00716e+01	-5.76000e+01
113	1.13000e-02	2.45843e-01	-5.98680e+01	-5.74000e+01
114	1.14000e-02	2.46008e-01	-5.96746e+01	-5.72000e+01
115	1.15000e-02	2.46260e-01	-5.94692e+01	-5.70000e+01
116	1.16000e-02	2.46558e-01	-5.92700e+01	-5.68000e+01
117	1.17000e-02	2.46805e-01	-5.90649e+01	-5.66000e+01
118	1.18000e-02	2.47033e-01	-5.88620e+01	-5.64000e+01
119	1.19000e-02	2.47186e-01	-5.86592e+01	-5.62000e+01
120	1.20000e-02	2.47344e-01	-5.84646e+01	-5.60000e+01
121	1.21000e-02	2.47485e-01	-5.82561e+01	-5.58000e+01
122	1.22000e-02	2.47788e-01	-5.80558e+01	-5.56000e+01
123	1.23000e-02	2.48071e-01	-5.78596e+01	-5.54000e+01
124	1.24000e-02	2.48408e-01	-5.76495e+01	-5.52000e+01
125	1.25000e-02	2.48635e-01	-5.74475e+01	-5.50000e+01
126	1.26000e-02	2.48782e-01	-5.72498e+01	-5.48000e+01
127	1.27000e-02	2.48800e-01	-5.70421e+01	-5.46000e+01
128	1.28000e-02	2.48915e-01	-5.68426e+01	-5.44000e+01
129	1.29000e-02	2.49061e-01	-5.66413e+01	-5.42000e+01
130	1.30000e-02	2.49221e-01	-5.64460e+01	-5.40000e+01
131	1.31000e-02	2.49486e-01	-5.62330e+01	-5.38000e+01
132	1.32000e-02	2.49739e-01	-5.60340e+01	-5.36000e+01
133	1.33000e-02	2.50034e-01	-5.58332e+01	-5.34000e+01
134	1.34000e-02	2.50332e-01	-5.56325e+01	-5.32000e+01
135	1.35000e-02	2.50540e-01	-5.54241e+01	-5.30000e+01
136	1.36000e-02	2.50696e-01	-5.52237e+01	-5.28000e+01
137	1.37000e-02	2.50924e-01	-5.50254e+01	-5.26000e+01
138	1.38000e-02	2.51207e-01	-5.48174e+01	-5.24000e+01
139	1.39000e-02	2.51497e-01	-5.46214e+01	-5.22000e+01
140	1.40000e-02	2.51692e-01	-5.44176e+01	-5.20000e+01
141	1.41000e-02	2.51886e-01	-5.42139e+01	-5.18000e+01
142	1.42000e-02	2.52103e-01	-5.40143e+01	-5.16000e+01
143	1.43000e-02	2.52361e-01	-5.38090e+01	-5.14000e+01
144	1.44000e-02	2.52516e-01	-5.36117e+01	-5.12000e+01
145	1.45000e-02	2.52658e-01	-5.34066e+01	-5.10000e+01
146	1.46000e-02	2.52859e-01	-5.32095e+01	-5.08000e+01
147	1.47000e-02	2.53055e-01	-5.30028e+01	-5.06000e+01
148	1.48000e-02	2.53382e-01	-5.28021e+01	-5.04000e+01
149	1.49000e-02	2.53708e-01	-5.26034e+01	-5.02000e+01
150	1.50000e-02	2.54023e-01	-5.24050e+01	-5.00000e+01
151	1.51000e-02	2.54299e-01	-5.21968e+01	-4.98000e+01
152	1.52000e-02	2.54502e-01	-5.19966e+01	-4.96000e+01
153	1.53000e-02	2.54660e-01	-5.17966e+01	-4.94000e+01
