Index	t	Heat Flow	Ts	Tr
73	7.30000e-03	2.35841e-01	-6.83514e+01	-6.54000e+01
74	7.40000e-03	2.36540e-01	-6.81562e+01	-6.52000e+01
75	7.50000e-03	2.37288e-01	-6.79527e+01	-6.50000e+01
76	7.60000e-03	2.37887e-01	-6.77577e+01	-6.48000e+01
77	7.70000e-03	2.38422e-01	-6.75545e+01	-6.46000e+01
78	7.80000e-03	2.38906e-01	-6.73536e+01	-6.44000e+01
79	7.90000e-03	2.39338e-01	-6.71487e+01	-6.42000e+01
80	8.00000e-03	2.39799e-01	-6.69481e+01	-6.40000e+01
81	8.10000e-03	2.40242e-01	-6.67538e+01	-6.38000e+01
82	8.20000e-03	2.40668e-01	-6.65472e+01	-6.36000e+01
83	8.30000e-03	2.41008e-01	-6.63450e+01	-6.34000e+01
84	8.40000e-03	2.41303e-01	-6.61408e+01	-6.32000e+01
85	8.50000e-03	2.41577e-01	-6.59410e+01	-6.30000e+01
86	8.60000e-03	2.41862e-01	-6.57371e+01	-6.28000e+01
87	8.70000e-03	2.42036e-01	-6.55457e+01	-6.26000e+01
88	8.80000e-03	2.42216e-01	-6.53401e+01	-6.24000e+01
89	8.90000e-03	2.42457e-01	-6.51347e+01	-6.22000e+01
90	9.00000e-03	2.42698e-01	-6.49396e+01	-6.20000e+01
91	9.10000e-03	2.42964e-01	-6.47365e+01	-6.18000e+01
92	9.20000e-03	2.43194e-01	-6.45335e+01	-6.16000e+01
93	9.30000e-03	2.43450e-01	-6.43287e+01	-6.14000e+01
94	9.40000e-03	2.43637e-01	-6.41321e+01	-6.12000e+01
95	9.50000e-03	2.43893e-01	-6.39255e+01	-6.10000e+01
96	9.60000e-03	2.44074e-01	-6.37211e+01	-6.08000e+01
97	9.70000e-03	2.44243e-01	-6.35311e+01	-6.06000e+01
98	9.80000e-03	2.44450e-01	-6.33209e+01	-6.04000e+01
99	9.90000e-03	2.44699e-01	-6.31190e+01	-6.02000e+01
100	1.00000e-02	2.44951e-01	-6.29172e+01	-6.00000e+01
101	1.01000e-02	2.45260e-01	-6.27217e+01	-5.98000e+01
102	1.02000e-02	2.45617e-01	-6.25120e+01	-5.96000e+01
