Index	t	Heat Flow	Ts	Tr
73	7.30000e-03	2.35939e-01	-6.81851e+01	-6.54000e+01
74	7.40000e-03	2.36542e-01	-6.79775e+01	-6.52000e+01
75	7.50000e-03	2.37171e-01	-6.77783e+01	-6.50000e+01
76	7.60000e-03	2.37652e-01	-6.75855e+01	-6.48000e+01
77	7.70000e-03	2.38097e-01	-6.73866e+01	-6.46000e+01
78	7.80000e-03	2.38520e-01	-6.71755e+01	-6.44000e+01
79	7.90000e-03	2.38790e-01	-6.69769e+01	-6.42000e+01
80	8.00000e-03	2.39094e-01	-6.67805e+01	-6.40000e+01
81	8.10000e-03	2.39361e-01	-6.65801e+01	-6.38000e+01
82	8.20000e-03	2.39639e-01	-6.63799e+01	-6.36000e+01
83	8.30000e-03	2.39891e-01	-6.61737e+01	-6.34000e+01
84	8.40000e-03	2.40202e-01	-6.59697e+01	-6.32000e+01
85	8.50000e-03	2.40436e-01	-6.57720e+01	-6.30000e+01
86	8.60000e-03	2.40641e-01	-6.55682e+01	-6.28000e+01
87	8.70000e-03	2.40842e-01	-6.53688e+01	-6.26000e+01
88	8.80000e-03	2.41064e-01	-6.51633e+01	-6.24000e+01
89	8.90000e-03	2.41296e-01	-6.49661e+01	-6.22000e+01
90	9.00000e-03	2.41550e-01	-6.47589e+01	-6.20000e+01
91	9.10000e-03	2.41774e-01	-6.45621e+01	-6.18000e+01
92	9.20000e-03	2.42041e-01	-6.43613e+01	-6.16000e+01
93	9.30000e-03	2.42230e-01	-6.41586e+01	-6.14000e+01
94	9.40000e-03	2.42405e-01	-6.39581e+01	-6.12000e+01
95	9.50000e-03	2.42787e-01	-6.37516e+01	-6.10000e+01
96	9.60000e-03	2.43086e-01	-6.35514e+01	-6.08000e+01
97	9.70000e-03	2.43346e-01	-6.33514e+01	-6.06000e+01
98	9.80000e-03	2.43694e-01	-6.31453e+01	-6.04000e+01
99	9.90000e-03	2.43983e-01	-6.29476e+01	-6.02000e+01
100	1.00000e-02	2.44142e-01	-6.27480e+01	-6.00000e+01
101	1.01000e-02	2.44330e-01	-6.25424e+01	-5.98000e+01
102	1.02000e-02	2.44483e-01	-6.23471e+01	-5.96000e+01
103	1.03000e-02	2.44868e-01	-6.21419e+01	-5.94000e+01
104	1.04000e-02	2.45152e-01	-6.19387e+01	-5.92000e+01
105	1.05000e-02	2.45388e-01	-6.17358e+01	-5.90000e+01
106	1.06000e-02	2.45625e-01	-6.15350e+01	-5.88000e+01
107	1.07000e-02	2.45844e-01	-6.13344e+01	-5.86000e+01
108	1.08000e-02	2.46080e-01	-6.11298e+01	-5.84000e+01
109	1.09000e-02	2.46338e-01	-6.09335e+01	-5.82000e+01
110	1.10000e-02	2.46695e-01	-6.07313e+01	-5.80000e+01
111	1.11000e-02	2.46981e-01	-6.05271e+01	-5.78000e+01
112	1.12000e-02	2.47331e-01	-6.03272e+01	-5.76000e+01
113	1.13000e-02	2.47593e-01	-6.01234e+01	-5.74000e+01
114	1.14000e-02	2.47866e-01	-5.99298e+01	-5.72000e+01
115	1.15000e-02	2.48227e-01	-5.97142e+01	-5.70000e+01
116	1.16000e-02	2.48456e-01	-5.95188e+01	-5.68000e+01
117	1.17000e-02	2.48683e-01	-5.93156e+01	-5.66000e+01
118	1.18000e-02	2.48881e-01	-5.91125e+01	-5.64000e+01
119	1.19000e-02	2.49023e-01	-5.89136e+01	-5.62000e+01
120	1.20000e-02	2.49113e-01	-5.87127e+01	-5.60000e+01
121	1.21000e-02	2.49122e-01	-5.85141e+01	-5.58000e+01
122	1.22000e-02	2.49130e-01	-5.83116e+01	-5.56000e+01
123	1.23000e-02	2.49270e-01	-5.81092e+01	-5.54000e+01
124	1.24000e-02	2.49377e-01	-5.79009e+01	-5.52000e+01
125	1.25000e-02	2.49518e-01	-5.77008e+01	-5.50000e+01
126	1.26000e-02	2.49799e-01	-5.75028e+01	-5.48000e+01
127	1.27000e-02	2.50058e-01	-5.72990e+01	-5.46000e+01
128	1.28000e-02	2.50276e-01	-5.70953e+01	-5.44000e+01
129	1.29000e-02	2.50373e-01	-5.68958e+01	-5.42000e+01
130	1.30000e-02	2.50668e-01	-5.66944e+01	-5.40000e+01
131	1.31000e-02	2.50932e-01	-5.65011e+01	-5.38000e+01
132	1.32000e-02	2.51231e-01	-5.62920e+01	-5.36000e+01
133	1.33000e-02	2.51544e-01	-5.60871e+01	-5.34000e+01
134	1.34000e-02	2.51832e-01	-5.58922e+01	-5.32000e+01
135	1.35000e-02	2.52092e-01	-5.56815e+01	-5.30000e+01
136	1.36000e-02	2.52249e-01	-5.54830e+01	-5.28000e+01
137	1.37000e-02	2.52506e-01	-5.52825e+01	-5.26000e+01
138	1.38000e-02	2.52729e-01	-5.50803e+01	-5.24000e+01
139	1.39000e-02	2.53016e-01	-5.48761e+01	-5.22000e+01
140	1.40000e-02	2.53248e-01	-5.46821e+01	-5.20000e+01
141	1.41000e-02	2.53524e-01	-5.44723e+01	-5.18000e+01
142	1.42000e-02	2.53800e-01	-5.42726e+01	-5.16000e+01
143	1.43000e-02	2.53997e-01	-5.40670e+01	-5.14000e+01
144	1.44000e-02	2.54144e-01	-5.38656e+01	-5.12000e+01
145	1.45000e-02	2.54189e-01	-5.36702e+01	-5.10000e+01
146	1.46000e-02	2.54150e-01	-5.34690e+01	-5.08000e+01
147	1.47000e-02	2.54256e-01	-5.32680e+01	-5.06000e+01
148	1.48000e-02	2.54410e-01	-5.30651e+01	-5.04000e+01
149	1.49000e-02	2.54518e-01	-5.28644e+01	-5.02000e+01
150	1.50000e-02	2.54671e-01	-5.26578e+01	-5.00000e+01
151	1.51000e-02	2.54757e-01	-5.24593e+01	-4.98000e+01
152	1.52000e-02	2.54865e-01	-5.22570e+01	-4.96000e+01
153	1.53000e-02	2.55047e-01	-5.20548e+01	-4.94000e+01
154	1.54000e-02	2.55304e-01	-5.18547e+01	-4.92000e+01
155	1.55000e-02	2.55575e-01	-5.16528e+01	-4.90000e+01
156	1.56000e-02	2.55856e-01	-5.14530e+01	-4.88000e+01
157	1.57000e-02	2.56205e-01	-5.12514e+01	-4.86000e+01
158	1.58000e-02	2.56538e-01	-5.10518e+01	-4.84000e+01
159	1.59000e-02	2.56805e-01	-5.08465e+01	-4.82000e+01
160	1.60000e-02	2.57081e-01	-5.06492e+01	-4.80000e+01
161	1.61000e-02	2.57444e-01	-5.04422e+01	-4.78000e+01
162	1.62000e-02	2.57759e-01	-5.02393e+01	-4.76000e+01
163	1.63000e-02	2.57959e-01	-5.00463e+01	-4.74000e+01
164	1.64000e-02	2.58172e-01	-4.98397e+01	-4.72000e+01
165	1.65000e-02	2.58376e-01	-4.96411e+01	-4.70000e+01
166	1.66000e-02	2.58518e-01	-4.94407e+01	-4.68000e+01
167	1.67000e-02	2.58669e-01	-4.92287e+01	-4.66000e+01
168	1.68000e-02	2.58884e-01	-4.90305e+01	-4.64000e+01
169	1.69000e-02	2.59180e-01	-4.88304e+01	-4.62000e+01
170	1.70000e-02	2.59455e-01	-4.86267e+01	-4.60000e+01
171	1.71000e-02	2.59677e-01	-4.84269e+01	-4.58000e+01
172	1.72000e-02	2.59913e-01	-4.82272e+01	-4.56000e+01
173	1.73000e-02	2.60105e-01	-4.80219e+01	-4.54000e+01
174	1.74000e-02	2.60293e-01	-4.78245e+01	-4.52000e+01
175	1.75000e-02	2.60570e-01	-4.76194e+01	-4.50000e+01
176	1.76000e-02	2.60850e-01	-4.74184e+01	-4.48000e+01
177	1.77000e-02	2.61174e-01	-4.72194e+01	-4.46000e+01
178	1.78000e-02	2.61511e-01	-4.70147e+01	-4.44000e+01
179	1.79000e-02	2.61795e-01	-4.68121e+01	-4.42000e+01
180	1.80000e-02	2.61999e-01	-4.66135e+01	-4.40000e+01
181	1.81000e-02	2.62091e-01	-4.64112e+01	-4.38000e+01
182	1.82000e-02	2.62337e-01	-4.62071e+01	-4.36000e+01
183	1.83000e-02	2.62571e-01	-4.60108e+01	-4.34000e+01
184	1.84000e-02	2.62960e-01	-4.58069e+01	-4.32000e+01
185	1.85000e-02	2.63350e-01	-4.56070e+01	-4.30000e+01
186	1.86000e-02	2.63697e-01	-4.54054e+01	-4.28000e+01
187	1.87000e-02	2.64062e-01	-4.52058e+01	-4.26000e+01
188	1.88000e-02	2.64427e-01	-4.49967e+01	-4.24000e+01
189	1.89000e-02	2.64698e-01	-4.47973e+01	-4.22000e+01
190	1.90000e-02	2.64894e-01	-4.45981e+01	-4.20000e+01
191	1.91000e-02	2.65192e-01	-4.43951e+01	-4.18000e+01
192	1.92000e-02	2.65640e-01	-4.41981e+01	-4.16000e+01
193	1.93000e-02	2.65992e-01	-4.39896e+01	-4.14000e+01
194	1.94000e-02	2.66240e-01	-4.37928e+01	-4.12000e+01
195	1.95000e-02	2.66582e-01	-4.35923e+01	-4.10000e+01
196	1.96000e-02	2.66907e-01	-4.33900e+01	-4.08000e+01
197	1.97000e-02	2.67254e-01	-4.31897e+01	-4.06000e+01
198	1.98000e-02	2.67615e-01	-4.29877e+01	-4.04000e+01
199	1.99000e-02	2.67974e-01	-4.27858e+01	-4.02000e+01
200	2.00000e-02	2.68182e-01	-4.25821e+01	-4.00000e+01
201	2.01000e-02	2.68435e-01	-4.23824e+01	-3.98000e+01
202	2.02000e-02	2.68776e-01	-4.21789e+01	-3.96000e+01
203	2.03000e-02	2.68961e-01	-4.19851e+01	-3.94000e+01
204	2.04000e-02	2.69112e-01	-4.17744e+01	-3.92000e+01
205	2.05000e-02	2.69320e-01	-4.15751e+01	-3.90000e+01
206	2.06000e-02	2.69580e-01	-4.13741e+01	-3.88000e+01
207	2.07000e-02	2.69816e-01	-4.11732e+01	-3.86000e+01
208	2.08000e-02	2.69974e-01	-4.09705e+01	-3.84000e+01
209	2.09000e-02	2.70065e-01	-4.07718e+01	-3.82000e+01
210	2.10000e-02	2.70285e-01	-4.05732e+01	-3.80000e+01
211	2.11000e-02	2.70545e-01	-4.03652e+01	-3.78000e+01
212	2.12000e-02	2.70873e-01	-4.01706e+01	-3.76000e+01
213	2.13000e-02	2.71184e-01	-3.99667e+01	-3.74000e+01
214	2.14000e-02	2.71556e-01	-3.97591e+01	-3.72000e+01
215	2.15000e-02	2.71857e-01	-3.95592e+01	-3.70000e+01
216	2.16000e-02	2.72080e-01	-3.93595e+01	-3.68000e+01
217	2.17000e-02	2.72333e-01	-3.91561e+01	-3.66000e+01
218	2.18000e-02	2.72563e-01	-3.89584e+01	-3.64000e+01
219	2.19000e-02	2.72860e-01	-3.87553e+01	-3.62000e+01
220	2.20000e-02	2.73108e-01	-3.85579e+01	-3.60000e+01
221	2.21000e-02	2.73383e-01	-3.83550e+01	-3.58000e+01
222	2.22000e-02	2.73616e-01	-3.81484e+01	-3.56000e+01
223	2.23000e-02	2.73696e-01	-3.79495e+01	-3.54000e+01
224	2.24000e-02	2.73873e-01	-3.77545e+01	-3.52000e+01
225	2.25000e-02	2.74173e-01	-3.75446e+01	-3.50000e+01
226	2.26000e-02	2.74606e-01	-3.73498e+01	-3.48000e+01
227	2.27000e-02	2.75058e-01	-3.71476e+01	-3.46000e+01
228	2.28000e-02	2.75476e-01	-3.69418e+01	-3.44000e+01
229	2.29000e-02	2.75884e-01	-3.67455e+01	-3.42000e+01
230	2.30000e-02	2.76296e-01	-3.65418e+01	-3.40000e+01
231	2.31000e-02	2.76649e-01	-3.63439e+01	-3.38000e+01
232	2.32000e-02	2.76937e-01	-3.61368e+01	-3.36000e+01
233	2.33000e-02	2.77223e-01	-3.59391e+01	-3.34000e+01
234	2.34000e-02	2.77540e-01	-3.57378e+01	-3.32000e+01
235	2.35000e-02	2.77831e-01	-3.55347e+01	-3.30000e+01
236	2.36000e-02	2.78205e-01	-3.53336e+01	-3.28000e+01
237	2.37000e-02	2.78514e-01	-3.51364e+01	-3.26000e+01
238	2.38000e-02	2.78889e-01	-3.49338e+01	-3.24000e+01
239	2.39000e-02	2.79377e-01	-3.47368e+01	-3.22000e+01
240	2.40000e-02	2.79653e-01	-3.45288e+01	-3.20000e+01
241	2.41000e-02	2.79909e-01	-3.43339e+01	-3.18000e+01
242	2.42000e-02	2.80137e-01	-3.41298e+01	-3.16000e+01
243	2.43000e-02	2.80316e-01	-3.39240e+01	-3.14000e+01
244	2.44000e-02	2.80638e-01	-3.37295e+01	-3.12000e+01
245	2.45000e-02	2.80894e-01	-3.35240e+01	-3.10000e+01
246	2.46000e-02	2.81223e-01	-3.33204e+01	-3.08000e+01
247	2.47000e-02	2.81463e-01	-3.31225e+01	-3.06000e+01
248	2.48000e-02	2.81792e-01	-3.29192e+01	-3.04000e+01
249	2.49000e-02	2.81978e-01	-3.27197e+01	-3.02000e+01
250	2.50000e-02	2.82253e-01	-3.25148e+01	-3.00000e+01
251	2.51000e-02	2.82573e-01	-3.23173e+01	-2.98000e+01
252	2.52000e-02	2.82848e-01	-3.21164e+01	-2.96000e+01
253	2.53000e-02	2.83112e-01	-3.19136e+01	-2.94000e+01
254	2.54000e-02	2.83328e-01	-3.17074e+01	-2.92000e+01
255	2.55000e-02	2.83476e-01	-3.15178e+01	-2.90000e+01
256	2.56000e-02	2.83656e-01	-3.13080e+01	-2.88000e+01
257	2.57000e-02	2.83852e-01	-3.11076e+01	-2.86000e+01
258	2.58000e-02	2.84114e-01	-3.09092e+01	-2.84000e+01
259	2.59000e-02	2.84410e-01	-3.07072e+01	-2.82000e+01
260	2.60000e-02	2.84805e-01	-3.05072e+01	-2.80000e+01
261	2.61000e-02	2.85111e-01	-3.03072e+01	-2.78000e+01
262	2.62000e-02	2.85351e-01	-3.01074e+01	-2.76000e+01
263	2.63000e-02	2.85535e-01	-2.99077e+01	-2.74000e+01
264	2.64000e-02	2.85821e-01	-2.97063e+01	-2.72000e+01
265	2.65000e-02	2.86162e-01	-2.95050e+01	-2.70000e+01
266	2.66000e-02	2.86461e-01	-2.93038e+01	-2.68000e+01
267	2.67000e-02	2.86622e-01	-2.91009e+01	-2.66000e+01
268	2.68000e-02	2.86837e-01	-2.89000e+01	-2.64000e+01
269	2.69000e-02	2.87100e-01	-2.86973e+01	-2.62000e+01
270	2.70000e-02	2.87318e-01	-2.84966e+01	-2.60000e+01
271	2.71000e-02	2.87661e-01	-2.82960e+01	-2.58000e+01
272	2.72000e-02	2.87960e-01	-2.80955e+01	-2.56000e+01
273	2.73000e-02	2.88253e-01	-2.78952e+01	-2.54000e+01
274	2.74000e-02	2.88483e-01	-2.76895e+01	-2.52000e+01
275	2.75000e-02	2.88646e-01	-2.74911e+01	-2.50000e+01
276	2.76000e-02	2.88871e-01	-2.72929e+01	-2.48000e+01
277	2.77000e-02	2.89094e-01	-2.70876e+01	-2.46000e+01
278	2.78000e-02	2.89331e-01	-2.68878e+01	-2.44000e+01
279	2.79000e-02	2.89560e-01	-2.66863e+01	-2.42000e+01
280	2.80000e-02	2.89952e-01	-2.64849e+01	-2.40000e+01
281	2.81000e-02	2.90292e-01	-2.62873e+01	-2.38000e+01
282	2.82000e-02	2.90571e-01	-2.60861e+01	-2.36000e+01
283	2.83000e-02	2.90963e-01	-2.58869e+01	-2.34000e+01
284	2.84000e-02	2.91350e-01	-2.56842e+01	-2.32000e+01
285	2.85000e-02	2.91777e-01	-2.54852e+01	-2.30000e+01
286	2.86000e-02	2.92075e-01	-2.52827e+01	-2.28000e+01
287	2.87000e-02	2.92267e-01	-2.50839e+01	-2.26000e+01
288	2.88000e-02	2.92452e-01	-2.48834e+01	-2.24000e+01
289	2.89000e-02	2.92581e-01	-2.46813e+01	-2.22000e+01
290	2.90000e-02	2.92736e-01	-2.44810e+01	-2.20000e+01
291	2.91000e-02	2.92882e-01	-2.42791e+01	-2.18000e+01
292	2.92000e-02	2.93196e-01	-2.40737e+01	-2.16000e+01
293	2.93000e-02	2.93604e-01	-2.38792e+01	-2.14000e+01
294	2.94000e-02	2.93888e-01	-2.36740e+01	-2.12000e+01
295	2.95000e-02	2.94030e-01	-2.34707e+01	-2.10000e+01
296	2.96000e-02	2.94030e-01	-2.32766e+01	-2.08000e+01
297	2.97000e-02	2.94231e-01	-2.30735e+01	-2.06000e+01
298	2.98000e-02	2.94510e-01	-2.28688e+01	-2.04000e+01
299	2.99000e-02	2.94751e-01	-2.26785e+01	-2.02000e+01
300	3.00000e-02	2.94918e-01	-2.24686e+01	-2.00000e+01
301	3.01000e-02	2.95113e-01	-2.22661e+01	-1.98000e+01
302	3.02000e-02	2.95338e-01	-2.20672e+01	-1.96000e+01
303	3.03000e-02	2.95666e-01	-2.18648e+01	-1.94000e+01
304	3.04000e-02	2.95840e-01	-2.16697e+01	-1.92000e+01
305	3.05000e-02	2.96093e-01	-2.14640e+01	-1.90000e+01
306	3.06000e-02	2.96291e-01	-2.12655e+01	-1.88000e+01
307	3.07000e-02	2.96577e-01	-2.10654e+01	-1.86000e+01
308	3.08000e-02	2.96989e-01	-2.08671e+01	-1.84000e+01
309	3.09000e-02	2.97336e-01	-2.06672e+01	-1.82000e+01
310	3.10000e-02	2.97709e-01	-2.04656e+01	-1.80000e+01
311	3.11000e-02	2.98057e-01	-2.02606e+01	-1.78000e+01
312	3.12000e-02	2.98348e-01	-2.00574e+01	-1.76000e+01
313	3.13000e-02	2.98673e-01	-1.98633e+01	-1.74000e+01
314	3.14000e-02	2.99016e-01	-1.96621e+01	-1.72000e+01
315	3.15000e-02	2.99311e-01	-1.94593e+01	-1.70000e+01
316	3.16000e-02	2.99629e-01	-1.92584e+01	-1.68000e+01
317	3.17000e-02	3.00078e-01	-1.90540e+01	-1.66000e+01
318	3.18000e-02	3.00487e-01	-1.88586e+01	-1.64000e+01
319	3.19000e-02	3.00665e-01	-1.86563e+01	-1.62000e+01
320	3.20000e-02	3.00715e-01	-1.84540e+01	-1.60000e+01
321	3.21000e-02	3.00792e-01	-1.82572e+01	-1.58000e+01
322	3.22000e-02	3.00897e-01	-1.80551e+01	-1.56000e+01
323	3.23000e-02	3.01047e-01	-1.78549e+01	-1.54000e+01
324	3.24000e-02	3.01202e-01	-1.76513e+01	-1.52000e+01
325	3.25000e-02	3.01413e-01	-1.74567e+01	-1.50000e+01
326	3.26000e-02	3.01645e-01	-1.72516e+01	-1.48000e+01
327	3.27000e-02	3.01699e-01	-1.70465e+01	-1.46000e+01
328	3.28000e-02	3.01763e-01	-1.68504e+01	-1.44000e+01
329	3.29000e-02	3.01847e-01	-1.66474e+01	-1.42000e+01
330	3.30000e-02	3.01920e-01	-1.64462e+01	-1.40000e+01
331	3.31000e-02	3.02073e-01	-1.62469e+01	-1.38000e+01
332	3.32000e-02	3.02253e-01	-1.60477e+01	-1.36000e+01
333	3.33000e-02	3.02411e-01	-1.58451e+01	-1.34000e+01
334	3.34000e-02	3.02709e-01	-1.56496e+01	-1.32000e+01
335	3.35000e-02	3.02862e-01	-1.54454e+01	-1.30000e+01
336	3.36000e-02	3.03029e-01	-1.52502e+01	-1.28000e+01
337	3.37000e-02	3.03267e-01	-1.50445e+01	-1.26000e+01
338	3.38000e-02	3.03387e-01	-1.48442e+01	-1.24000e+01
339	3.39000e-02	3.03457e-01	-1.46422e+01	-1.22000e+01
340	3.40000e-02	3.03622e-01	-1.44403e+01	-1.20000e+01
341	3.41000e-02	3.03726e-01	-1.42403e+01	-1.18000e+01
342	3.42000e-02	3.03883e-01	-1.40457e+01	-1.16000e+01
343	3.43000e-02	3.04107e-01	-1.38406e+01	-1.14000e+01
344	3.44000e-02	3.04463e-01	-1.36410e+01	-1.12000e+01
345	3.45000e-02	3.04741e-01	-1.34361e+01	-1.10000e+01
346	3.46000e-02	3.05006e-01	-1.32419e+01	-1.08000e+01
347	3.47000e-02	3.05345e-01	-1.30408e+01	-1.06000e+01
348	3.48000e-02	3.05567e-01	-1.28433e+01	-1.04000e+01
349	3.49000e-02	3.05941e-01	-1.26388e+01	-1.02000e+01
350	3.50000e-02	3.06340e-01	-1.24345e+01	-1.00000e+01
351	3.51000e-02	3.06662e-01	-1.22391e+01	-9.80000e+00
352	3.52000e-02	3.06910e-01	-1.20367e+01	-9.60000e+00
353	3.53000e-02	3.07111e-01	-1.18415e+01	-9.40000e+00
354	3.54000e-02	3.07197e-01	-1.16359e+01	-9.20000e+00
355	3.55000e-02	3.07296e-01	-1.14356e+01	-9.00000e+00
356	3.56000e-02	3.07327e-01	-1.12302e+01	-8.80000e+00
357	3.57000e-02	3.07455e-01	-1.10301e+01	-8.60000e+00
358	3.58000e-02	3.07658e-01	-1.08302e+01	-8.40000e+00
