Index	t	Heat Flow	Ts	Tr
77	7.70000e-03	4.48357e-01	-6.75258e+01	-6.46000e+01
78	7.80000e-03	4.50437e-01	-6.73295e+01	-6.44000e+01
79	7.90000e-03	4.52496e-01	-6.71334e+01	-6.42000e+01
80	8.00000e-03	4.54343e-01	-6.69289e+01	-6.40000e+01
81	8.10000e-03	4.56149e-01	-6.67268e+01	-6.38000e+01
82	8.20000e-03	4.57819e-01	-6.65226e+01	-6.36000e+01
83	8.30000e-03	4.59512e-01	-6.63314e+01	-6.34000e+01
84	8.40000e-03	4.61107e-01	-6.61318e+01	-6.32000e+01
85	8.50000e-03	4.62647e-01	-6.59260e+01	-6.30000e+01
86	8.60000e-03	4.64053e-01	-6.57247e+01	-6.28000e+01
87	8.70000e-03	4.65285e-01	-6.55213e+01	-6.26000e+01
88	8.80000e-03	4.66629e-01	-6.53160e+01	-6.24000e+01
89	8.90000e-03	4.68086e-01	-6.51194e+01	-6.22000e+01
90	9.00000e-03	4.69527e-01	-6.49186e+01	-6.20000e+01
91	9.10000e-03	4.70683e-01	-6.47223e+01	-6.18000e+01
92	9.20000e-03	4.71931e-01	-6.45134e+01	-6.16000e+01
93	9.30000e-03	4.73206e-01	-6.43173e+01	-6.14000e+01
94	9.40000e-03	4.74413e-01	-6.41130e+01	-6.12000e+01
95	9.50000e-03	4.75657e-01	-6.39193e+01	-6.10000e+01
96	9.60000e-03	4.76634e-01	-6.37111e+01	-6.08000e+01
97	9.70000e-03	4.77568e-01	-6.35115e+01	-6.06000e+01
98	9.80000e-03	4.78435e-01	-6.33015e+01	-6.04000e+01
99	9.90000e-03	4.79370e-01	-6.31126e+01	-6.02000e+01
100	1.00000e-02	4.80362e-01	-6.29092e+01	-6.00000e+01
101	1.01000e-02	4.81402e-01	-6.27060e+01	-5.98000e+01
102	1.02000e-02	4.82516e-01	-6.24988e+01	-5.96000e+01
103	1.03000e-02	4.83462e-01	-6.23000e+01	-5.94000e+01
104	1.04000e-02	4.84326e-01	-6.20973e+01	-5.92000e+01
105	1.05000e-02	4.85094e-01	-6.18926e+01	-5.90000e+01
106	1.06000e-02	4.85802e-01	-6.16985e+01	-5.88000e+01
107	1.07000e-02	4.86617e-01	-6.14921e+01	-5.86000e+01
108	1.08000e-02	4.87368e-01	-6.12941e+01	-5.84000e+01
109	1.09000e-02	4.88057e-01	-6.10900e+01	-5.82000e+01
110	1.10000e-02	4.88806e-01	-6.08924e+01	-5.80000e+01
111	1.11000e-02	4.89596e-01	-6.06928e+01	-5.78000e+01
112	1.12000e-02	4.90364e-01	-6.04913e+01	-5.76000e+01
113	1.13000e-02	4.91035e-01	-6.02878e+01	-5.74000e+01
114	1.14000e-02	4.91631e-01	-6.00804e+01	-5.72000e+01
115	1.15000e-02	4.92107e-01	-5.98855e+01	-5.70000e+01
116	1.16000e-02	4.92468e-01	-5.96867e+01	-5.68000e+01
117	1.17000e-02	4.92937e-01	-5.94818e+01	-5.66000e+01
118	1.18000e-02	4.93392e-01	-5.92812e+01	-5.64000e+01
119	1.19000e-02	4.93799e-01	-5.90787e+01	-5.62000e+01
120	1.20000e-02	4.94402e-01	-5.88825e+01	-5.60000e+01
121	1.21000e-02	4.94977e-01	-5.86762e+01	-5.58000e+01
122	1.22000e-02	4.95505e-01	-5.84803e+01	-5.56000e+01
123	1.23000e-02	4.96141e-01	-5.82763e+01	-5.54000e+01
124	1.24000e-02	4.96874e-01	-5.80725e+01	-5.52000e+01
125	1.25000e-02	4.97600e-01	-5.78729e+01	-5.50000e+01
126	1.26000e-02	4.98337e-01	-5.76715e+01	-5.48000e+01
127	1.27000e-02	4.99097e-01	-5.74722e+01	-5.46000e+01
128	1.28000e-02	4.99851e-01	-5.72690e+01	-5.44000e+01
129	1.29000e-02	5.00639e-01	-5.70741e+01	-5.42000e+01
130	1.30000e-02	5.01414e-01	-5.68651e+01	-5.40000e+01
131	1.31000e-02	5.01943e-01	-5.66664e+01	-5.38000e+01
132	1.32000e-02	5.02567e-01	-5.64699e+01	-5.36000e+01
133	1.33000e-02	5.03336e-01	-5.62613e+01	-5.34000e+01
134	1.34000e-02	5.03982e-01	-5.60651e+01	-5.32000e+01
135	1.35000e-02	5.04781e-01	-5.58609e+01	-5.30000e+01
136	1.36000e-02	5.05566e-01	-5.56630e+01	-5.28000e+01
137	1.37000e-02	5.06406e-01	-5.54530e+01	-5.26000e+01
138	1.38000e-02	5.07129e-01	-5.52533e+01	-5.24000e+01
139	1.39000e-02	5.08108e-01	-5.50578e+01	-5.22000e+01
140	1.40000e-02	5.08957e-01	-5.48544e+01	-5.20000e+01
141	1.41000e-02	5.09663e-01	-5.46490e+01	-5.18000e+01
142	1.42000e-02	5.10355e-01	-5.44479e+01	-5.16000e+01
143	1.43000e-02	5.11014e-01	-5.42469e+01	-5.14000e+01
144	1.44000e-02	5.11700e-01	-5.40440e+01	-5.12000e+01
145	1.45000e-02	5.12458e-01	-5.38413e+01	-5.10000e+01
146	1.46000e-02	5.13138e-01	-5.36489e+01	-5.08000e+01
147	1.47000e-02	5.13764e-01	-5.34404e+01	-5.06000e+01
148	1.48000e-02	5.14598e-01	-5.32442e+01	-5.04000e+01
149	1.49000e-02	5.15465e-01	-5.30380e+01	-5.02000e+01
150	1.50000e-02	5.16305e-01	-5.28380e+01	-5.00000e+01
151	1.51000e-02	5.17064e-01	-5.26382e+01	-4.98000e+01
152	1.52000e-02	5.17886e-01	-5.24345e+01	-4.96000e+01
153	1.53000e-02	5.18688e-01	-5.22410e+01	-4.94000e+01
154	1.54000e-02	5.19401e-01	-5.20315e+01	-4.92000e+01
155	1.55000e-02	5.20300e-01	-5.18383e+01	-4.90000e+01
156	1.56000e-02	5.21400e-01	-5.16231e+01	-4.88000e+01
157	1.57000e-02	5.22377e-01	-5.14322e+01	-4.86000e+01
158	1.58000e-02	5.23321e-01	-5.12333e+01	-4.84000e+01
159	1.59000e-02	5.24141e-01	-5.10226e+01	-4.82000e+01
160	1.60000e-02	5.25043e-01	-5.08301e+01	-4.80000e+01
161	1.61000e-02	5.25866e-01	-5.06237e+01	-4.78000e+01
162	1.62000e-02	5.26737e-01	-5.04254e+01	-4.76000e+01
163	1.63000e-02	5.27648e-01	-5.02233e+01	-4.74000e+01
164	1.64000e-02	5.28582e-01	-5.00213e+01	-4.72000e+01
165	1.65000e-02	5.29574e-01	-4.98194e+01	-4.70000e+01
166	1.66000e-02	5.30453e-01	-4.96237e+01	-4.68000e+01
167	1.67000e-02	5.31301e-01	-4.94182e+01	-4.66000e+01
168	1.68000e-02	5.32064e-01	-4.92168e+01	-4.64000e+01
169	1.69000e-02	5.32884e-01	-4.90115e+01	-4.62000e+01
170	1.70000e-02	5.33635e-01	-4.88144e+01	-4.60000e+01
171	1.71000e-02	5.34469e-01	-4.86134e+01	-4.58000e+01
172	1.72000e-02	5.35388e-01	-4.84125e+01	-4.56000e+01
173	1.73000e-02	5.36428e-01	-4.82138e+01	-4.54000e+01
174	1.74000e-02	5.37566e-01	-4.80132e+01	-4.52000e+01
175	1.75000e-02	5.38629e-01	-4.78088e+01	-4.50000e+01
176	1.76000e-02	5.39747e-01	-4.76026e+01	-4.48000e+01
177	1.77000e-02	5.40926e-01	-4.74064e+01	-4.46000e+01
178	1.78000e-02	5.41942e-01	-4.72083e+01	-4.44000e+01
179	1.79000e-02	5.42839e-01	-4.70025e+01	-4.42000e+01
180	1.80000e-02	5.43895e-01	-4.68087e+01	-4.40000e+01
181	1.81000e-02	5.44977e-01	-4.66012e+01	-4.38000e+01
182	1.82000e-02	5.46004e-01	-4.64017e+01	-4.36000e+01
183	1.83000e-02	5.46962e-01	-4.61985e+01	-4.34000e+01
184	1.84000e-02	5.47920e-01	-4.59953e+01	-4.32000e+01
185	1.85000e-02	5.49009e-01	-4.57982e+01	-4.30000e+01
186	1.86000e-02	5.49961e-01	-4.55934e+01	-4.28000e+01
187	1.87000e-02	5.50943e-01	-4.53966e+01	-4.26000e+01
188	1.88000e-02	5.51906e-01	-4.51960e+01	-4.24000e+01
189	1.89000e-02	5.52791e-01	-4.49936e+01	-4.22000e+01
190	1.90000e-02	5.53661e-01	-4.47873e+01	-4.20000e+01
191	1.91000e-02	5.54441e-01	-4.45891e+01	-4.18000e+01
192	1.92000e-02	5.55214e-01	-4.43890e+01	-4.16000e+01
193	1.93000e-02	5.56144e-01	-4.41891e+01	-4.14000e+01
194	1.94000e-02	5.57233e-01	-4.39814e+01	-4.12000e+01
195	1.95000e-02	5.58213e-01	-4.37877e+01	-4.10000e+01
196	1.96000e-02	5.59008e-01	-4.35862e+01	-4.08000e+01
197	1.97000e-02	5.59741e-01	-4.33848e+01	-4.06000e+01
198	1.98000e-02	5.60361e-01	-4.31817e+01	-4.04000e+01
199	1.99000e-02	5.60856e-01	-4.29825e+01	-4.02000e+01
200	2.00000e-02	5.61275e-01	-4.27835e+01	-4.00000e+01
201	2.01000e-02	5.61866e-01	-4.25808e+01	-3.98000e+01
202	2.02000e-02	5.62514e-01	-4.23782e+01	-3.96000e+01
203	2.03000e-02	5.63155e-01	-4.21815e+01	-3.94000e+01
204	2.04000e-02	5.63823e-01	-4.19811e+01	-3.92000e+01
205	2.05000e-02	5.64488e-01	-4.17769e+01	-3.90000e+01
206	2.06000e-02	5.65251e-01	-4.15768e+01	-3.88000e+01
207	2.07000e-02	5.65878e-01	-4.13768e+01	-3.86000e+01
208	2.08000e-02	5.66543e-01	-4.11769e+01	-3.84000e+01
209	2.09000e-02	5.67410e-01	-4.09733e+01	-3.82000e+01
210	2.10000e-02	5.68391e-01	-4.07718e+01	-3.80000e+01
211	2.11000e-02	5.69447e-01	-4.05684e+01	-3.78000e+01
212	2.12000e-02	5.70444e-01	-4.03710e+01	-3.76000e+01
213	2.13000e-02	5.71391e-01	-4.01679e+01	-3.74000e+01
214	2.14000e-02	5.72233e-01	-3.99650e+01	-3.72000e+01
215	2.15000e-02	5.73112e-01	-3.97680e+01	-3.70000e+01
216	2.16000e-02	5.74076e-01	-3.95634e+01	-3.68000e+01
217	2.17000e-02	5.74913e-01	-3.93647e+01	-3.66000e+01
218	2.18000e-02	5.75764e-01	-3.91661e+01	-3.64000e+01
219	2.19000e-02	5.76811e-01	-3.89580e+01	-3.62000e+01
220	2.20000e-02	5.77919e-01	-3.87617e+01	-3.60000e+01
221	2.21000e-02	5.78991e-01	-3.85597e+01	-3.58000e+01
222	2.22000e-02	5.80107e-01	-3.83597e+01	-3.56000e+01
223	2.23000e-02	5.81251e-01	-3.81541e+01	-3.54000e+01
224	2.24000e-02	5.82399e-01	-3.79582e+01	-3.52000e+01
225	2.25000e-02	5.83630e-01	-3.77567e+01	-3.50000e+01
226	2.26000e-02	5.84838e-01	-3.75554e+01	-3.48000e+01
227	2.27000e-02	5.86019e-01	-3.73503e+01	-3.46000e+01
228	2.28000e-02	5.87266e-01	-3.71530e+01	-3.44000e+01
229	2.29000e-02	5.88647e-01	-3.69559e+01	-3.42000e+01
230	2.30000e-02	5.89878e-01	-3.67512e+01	-3.40000e+01
231	2.31000e-02	5.90982e-01	-3.65486e+01	-3.38000e+01
232	2.32000e-02	5.92066e-01	-3.63461e+01	-3.36000e+01
233	2.33000e-02	5.93046e-01	-3.61476e+01	-3.34000e+01
234	2.34000e-02	5.93972e-01	-3.59453e+01	-3.32000e+01
235	2.35000e-02	5.95169e-01	-3.57489e+01	-3.30000e+01
236	2.36000e-02	5.96323e-01	-3.55470e+01	-3.28000e+01
237	2.37000e-02	5.97471e-01	-3.53413e+01	-3.26000e+01
238	2.38000e-02	5.98726e-01	-3.51453e+01	-3.24000e+01
239	2.39000e-02	5.99845e-01	-3.49437e+01	-3.22000e+01
240	2.40000e-02	6.00931e-01	-3.47441e+01	-3.20000e+01
241	2.41000e-02	6.01852e-01	-3.45428e+01	-3.18000e+01
242	2.42000e-02	6.02917e-01	-3.43416e+01	-3.16000e+01
243	2.43000e-02	6.03945e-01	-3.41386e+01	-3.14000e+01
244	2.44000e-02	6.04988e-01	-3.39358e+01	-3.12000e+01
245	2.45000e-02	6.05936e-01	-3.37387e+01	-3.10000e+01
246	2.46000e-02	6.06967e-01	-3.35361e+01	-3.08000e+01
247	2.47000e-02	6.08052e-01	-3.33374e+01	-3.06000e+01
248	2.48000e-02	6.09189e-01	-3.31389e+01	-3.04000e+01
249	2.49000e-02	6.10385e-01	-3.29348e+01	-3.02000e+01
250	2.50000e-02	6.11651e-01	-3.27327e+01	-3.00000e+01
251	2.51000e-02	6.13068e-01	-3.25326e+01	-2.98000e+01
252	2.52000e-02	6.14547e-01	-3.23346e+01	-2.96000e+01
253	2.53000e-02	6.16081e-01	-3.21348e+01	-2.94000e+01
254	2.54000e-02	6.17683e-01	-3.19313e+01	-2.92000e+01
255	2.55000e-02	6.19032e-01	-3.17298e+01	-2.90000e+01
256	2.56000e-02	6.20313e-01	-3.15304e+01	-2.88000e+01
257	2.57000e-02	6.21538e-01	-3.13273e+01	-2.86000e+01
258	2.58000e-02	6.22719e-01	-3.11300e+01	-2.84000e+01
259	2.59000e-02	6.23907e-01	-3.09290e+01	-2.82000e+01
260	2.60000e-02	6.25035e-01	-3.07263e+01	-2.80000e+01
261	2.61000e-02	6.26150e-01	-3.05237e+01	-2.78000e+01
262	2.62000e-02	6.27160e-01	-3.03231e+01	-2.76000e+01
263	2.63000e-02	6.28201e-01	-3.01283e+01	-2.74000e+01
264	2.64000e-02	6.29326e-01	-2.99205e+01	-2.72000e+01
265	2.65000e-02	6.30536e-01	-2.97203e+01	-2.70000e+01
266	2.66000e-02	6.31731e-01	-2.95164e+01	-2.68000e+01
267	2.67000e-02	6.32875e-01	-2.93183e+01	-2.66000e+01
268	2.68000e-02	6.33995e-01	-2.91204e+01	-2.64000e+01
269	2.69000e-02	6.35035e-01	-2.89188e+01	-2.62000e+01
270	2.70000e-02	6.36028e-01	-2.87192e+01	-2.60000e+01
271	2.71000e-02	6.37045e-01	-2.85197e+01	-2.58000e+01
272	2.72000e-02	6.38065e-01	-2.83185e+01	-2.56000e+01
273	2.73000e-02	6.39091e-01	-2.81155e+01	-2.54000e+01
274	2.74000e-02	6.39940e-01	-2.79164e+01	-2.52000e+01
275	2.75000e-02	6.40793e-01	-2.77100e+01	-2.50000e+01
276	2.76000e-02	6.41508e-01	-2.75167e+01	-2.48000e+01
277	2.77000e-02	6.42046e-01	-2.73160e+01	-2.46000e+01
