Index	t	Heat Flow	Ts	Tr
522	5.22000e-02	6.94925e-01	2.32134e+01	2.44000e+01
523	5.23000e-02	6.95554e-01	2.34123e+01	2.46000e+01
524	5.24000e-02	6.96070e-01	2.36110e+01	2.48000e+01
525	5.25000e-02	6.96451e-01	2.38113e+01	2.50000e+01
526	5.26000e-02	6.96988e-01	2.40164e+01	2.52000e+01
527	5.27000e-02	6.97370e-01	2.42116e+01	2.54000e+01
528	5.28000e-02	6.97800e-01	2.44182e+01	2.56000e+01
529	5.29000e-02	6.98015e-01	2.46132e+01	2.58000e+01
530	5.30000e-02	6.98140e-01	2.48131e+01	2.60000e+01
531	5.31000e-02	6.98366e-01	2.50161e+01	2.62000e+01
532	5.32000e-02	6.98547e-01	2.52174e+01	2.64000e+01
533	5.33000e-02	6.98843e-01	2.54170e+01	2.66000e+01
534	5.34000e-02	6.99160e-01	2.56148e+01	2.68000e+01
535	5.35000e-02	6.99401e-01	2.58126e+01	2.70000e+01
536	5.36000e-02	6.99631e-01	2.60168e+01	2.72000e+01
537	5.37000e-02	6.99934e-01	2.62177e+01	2.74000e+01
538	5.38000e-02	7.00404e-01	2.64185e+01	2.76000e+01
539	5.39000e-02	7.00923e-01	2.66143e+01	2.78000e+01
540	5.40000e-02	7.01297e-01	2.68198e+01	2.80000e+01
541	5.41000e-02	7.01658e-01	2.70154e+01	2.82000e+01
542	5.42000e-02	7.02058e-01	2.72207e+01	2.84000e+01
543	5.43000e-02	7.02522e-01	2.74194e+01	2.86000e+01
544	5.44000e-02	7.03016e-01	2.76213e+01	2.88000e+01
545	5.45000e-02	7.03593e-01	2.78166e+01	2.90000e+01
546	5.46000e-02	7.04089e-01	2.80135e+01	2.92000e+01
547	5.47000e-02	7.04674e-01	2.82167e+01	2.94000e+01
548	5.48000e-02	7.05106e-01	2.84182e+01	2.96000e+01
549	5.49000e-02	7.05410e-01	2.86197e+01	2.98000e+01
550	5.50000e-02	7.05973e-01	2.88210e+01	3.00000e+01
551	5.51000e-02	7.06477e-01	2.90207e+01	3.02000e+01
552	5.52000e-02	7.06926e-01	2.92170e+01	3.04000e+01
553	5.53000e-02	7.07329e-01	2.94181e+01	3.06000e+01
554	5.54000e-02	7.07534e-01	2.96192e+01	3.08000e+01
555	5.55000e-02	7.07471e-01	2.98169e+01	3.10000e+01
556	5.56000e-02	7.07197e-01	3.00193e+01	3.12000e+01
557	5.57000e-02	7.07165e-01	3.02169e+01	3.14000e+01
558	5.58000e-02	7.07372e-01	3.04207e+01	3.16000e+01
559	5.59000e-02	7.07814e-01	3.06197e+01	3.18000e+01
560	5.60000e-02	7.08109e-01	3.08202e+01	3.20000e+01
561	5.61000e-02	7.08615e-01	3.10222e+01	3.22000e+01
562	5.62000e-02	7.09273e-01	3.12194e+01	3.24000e+01
563	5.63000e-02	7.10038e-01	3.14180e+01	3.26000e+01
564	5.64000e-02	7.10810e-01	3.16230e+01	3.28000e+01
565	5.65000e-02	7.11325e-01	3.18199e+01	3.30000e+01
566	5.66000e-02	7.11809e-01	3.20199e+01	3.32000e+01
567	5.67000e-02	7.12323e-01	3.22182e+01	3.34000e+01
568	5.68000e-02	7.12757e-01	3.24164e+01	3.36000e+01
569	5.69000e-02	7.13008e-01	3.26225e+01	3.38000e+01
570	5.70000e-02	7.13087e-01	3.28238e+01	3.40000e+01
571	5.71000e-02	7.13175e-01	3.30186e+01	3.42000e+01
572	5.72000e-02	7.13360e-01	3.32197e+01	3.44000e+01
573	5.73000e-02	7.13465e-01	3.34207e+01	3.46000e+01
574	5.74000e-02	7.13463e-01	3.36232e+01	3.48000e+01
575	5.75000e-02	7.13623e-01	3.38225e+01	3.50000e+01
576	5.76000e-02	7.13986e-01	3.40248e+01	3.52000e+01
577	5.77000e-02	7.14446e-01	3.42223e+01	3.54000e+01
578	5.78000e-02	7.14920e-01	3.44245e+01	3.56000e+01
579	5.79000e-02	7.15484e-01	3.46218e+01	3.58000e+01
580	5.80000e-02	7.16043e-01	3.48238e+01	3.60000e+01
581	5.81000e-02	7.16438e-01	3.50242e+01	3.62000e+01
582	5.82000e-02	7.16760e-01	3.52229e+01	3.64000e+01
583	5.83000e-02	7.17115e-01	3.54262e+01	3.66000e+01
584	5.84000e-02	7.17470e-01	3.56263e+01	3.68000e+01
585	5.85000e-02	7.17866e-01	3.58263e+01	3.70000e+01
586	5.86000e-02	7.18252e-01	3.60279e+01	3.72000e+01
587	5.87000e-02	7.18640e-01	3.62245e+01	3.74000e+01
588	5.88000e-02	7.19110e-01	3.64275e+01	3.76000e+01
589	5.89000e-02	7.19367e-01	3.66256e+01	3.78000e+01
590	5.90000e-02	7.19431e-01	3.68204e+01	3.80000e+01
591	5.91000e-02	7.19577e-01	3.70279e+01	3.82000e+01
592	5.92000e-02	7.19900e-01	3.72273e+01	3.84000e+01
593	5.93000e-02	7.20295e-01	3.74251e+01	3.86000e+01
594	5.94000e-02	7.20816e-01	3.76276e+01	3.88000e+01
595	5.95000e-02	7.21244e-01	3.78283e+01	3.90000e+01
596	5.96000e-02	7.21827e-01	3.80243e+01	3.92000e+01
597	5.97000e-02	7.22297e-01	3.82281e+01	3.94000e+01
598	5.98000e-02	7.22662e-01	3.84223e+01	3.96000e+01
599	5.99000e-02	7.23050e-01	3.86291e+01	3.98000e+01
600	6.00000e-02	7.23578e-01	3.88279e+01	4.00000e+01
601	6.01000e-02	7.24056e-01	3.90266e+01	4.02000e+01
602	6.02000e-02	7.24797e-01	3.92268e+01	4.04000e+01
603	6.03000e-02	7.25266e-01	3.94254e+01	4.06000e+01
604	6.04000e-02	7.25600e-01	3.96318e+01	4.08000e+01
605	6.05000e-02	7.25681e-01	3.98270e+01	4.10000e+01
