Index	t	Heat Flow	Ts	Tr
77	7.70000e-03	4.49620e-01	-6.75796e+01	-6.46000e+01
78	7.80000e-03	4.52053e-01	-6.73769e+01	-6.44000e+01
79	7.90000e-03	4.54301e-01	-6.71701e+01	-6.42000e+01
80	8.00000e-03	4.56441e-01	-6.69699e+01	-6.40000e+01
81	8.10000e-03	4.58512e-01	-6.67698e+01	-6.38000e+01
82	8.20000e-03	4.60396e-01	-6.65720e+01	-6.36000e+01
83	8.30000e-03	4.62153e-01	-6.63701e+01	-6.34000e+01
84	8.40000e-03	4.63750e-01	-6.61684e+01	-6.32000e+01
85	8.50000e-03	4.65283e-01	-6.59711e+01	-6.30000e+01
86	8.60000e-03	4.66838e-01	-6.57675e+01	-6.28000e+01
87	8.70000e-03	4.68185e-01	-6.55684e+01	-6.26000e+01
88	8.80000e-03	4.69456e-01	-6.53673e+01	-6.24000e+01
89	8.90000e-03	4.70739e-01	-6.51621e+01	-6.22000e+01
90	9.00000e-03	4.71936e-01	-6.49656e+01	-6.20000e+01
91	9.10000e-03	4.73305e-01	-6.47607e+01	-6.18000e+01
92	9.20000e-03	4.74564e-01	-6.45582e+01	-6.16000e+01
93	9.30000e-03	4.75776e-01	-6.43621e+01	-6.14000e+01
94	9.40000e-03	4.76935e-01	-6.41598e+01	-6.12000e+01
95	9.50000e-03	4.77990e-01	-6.39577e+01	-6.10000e+01
96	9.60000e-03	4.79093e-01	-6.37558e+01	-6.08000e+01
97	9.70000e-03	4.80239e-01	-6.35519e+01	-6.06000e+01
98	9.80000e-03	4.81435e-01	-6.33544e+01	-6.04000e+01
99	9.90000e-03	4.82549e-01	-6.31509e+01	-6.02000e+01
100	1.00000e-02	4.83467e-01	-6.29516e+01	-6.00000e+01
101	1.01000e-02	4.84163e-01	-6.27463e+01	-5.98000e+01
102	1.02000e-02	4.84992e-01	-6.25453e+01	-5.96000e+01
103	1.03000e-02	4.85764e-01	-6.23444e+01	-5.94000e+01
104	1.04000e-02	4.86601e-01	-6.21416e+01	-5.92000e+01
105	1.05000e-02	4.87633e-01	-6.19369e+01	-5.90000e+01
106	1.06000e-02	4.88558e-01	-6.17386e+01	-5.88000e+01
107	1.07000e-02	4.89562e-01	-6.15384e+01	-5.86000e+01
108	1.08000e-02	4.90507e-01	-6.13362e+01	-5.84000e+01
109	1.09000e-02	4.91507e-01	-6.11363e+01	-5.82000e+01
110	1.10000e-02	4.92517e-01	-6.09344e+01	-5.80000e+01
111	1.11000e-02	4.93363e-01	-6.07327e+01	-5.78000e+01
112	1.12000e-02	4.94149e-01	-6.05250e+01	-5.76000e+01
113	1.13000e-02	4.94963e-01	-6.03215e+01	-5.74000e+01
114	1.14000e-02	4.95730e-01	-6.01286e+01	-5.72000e+01
115	1.15000e-02	4.96491e-01	-5.99212e+01	-5.70000e+01
116	1.16000e-02	4.97171e-01	-5.97265e+01	-5.68000e+01
117	1.17000e-02	4.97811e-01	-5.95237e+01	-5.66000e+01
118	1.18000e-02	4.98525e-01	-5.93189e+01	-5.64000e+01
119	1.19000e-02	4.99174e-01	-5.91163e+01	-5.62000e+01
120	1.20000e-02	4.99670e-01	-5.89160e+01	-5.60000e+01
121	1.21000e-02	5.00365e-01	-5.87117e+01	-5.58000e+01
122	1.22000e-02	5.01045e-01	-5.85158e+01	-5.56000e+01
123	1.23000e-02	5.01619e-01	-5.83097e+01	-5.54000e+01
124	1.24000e-02	5.02192e-01	-5.81080e+01	-5.52000e+01
125	1.25000e-02	5.02820e-01	-5.79104e+01	-5.50000e+01
126	1.26000e-02	5.03572e-01	-5.77069e+01	-5.48000e+01
127	1.27000e-02	5.04308e-01	-5.75076e+01	-5.46000e+01
128	1.28000e-02	5.04862e-01	-5.73064e+01	-5.44000e+01
129	1.29000e-02	5.05490e-01	-5.71013e+01	-5.42000e+01
130	1.30000e-02	5.06031e-01	-5.68983e+01	-5.40000e+01
131	1.31000e-02	5.06628e-01	-5.66976e+01	-5.38000e+01
132	1.32000e-02	5.06984e-01	-5.64950e+01	-5.36000e+01
133	1.33000e-02	5.07306e-01	-5.62966e+01	-5.34000e+01
134	1.34000e-02	5.07711e-01	-5.60963e+01	-5.32000e+01
135	1.35000e-02	5.08104e-01	-5.58920e+01	-5.30000e+01
136	1.36000e-02	5.08494e-01	-5.56920e+01	-5.28000e+01
137	1.37000e-02	5.08953e-01	-5.54881e+01	-5.26000e+01
138	1.38000e-02	5.09377e-01	-5.52904e+01	-5.24000e+01
139	1.39000e-02	5.09919e-01	-5.50848e+01	-5.22000e+01
140	1.40000e-02	5.10385e-01	-5.48813e+01	-5.20000e+01
141	1.41000e-02	5.10956e-01	-5.46840e+01	-5.18000e+01
142	1.42000e-02	5.11552e-01	-5.44870e+01	-5.16000e+01
143	1.43000e-02	5.12156e-01	-5.42778e+01	-5.14000e+01
144	1.44000e-02	5.12795e-01	-5.40729e+01	-5.12000e+01
145	1.45000e-02	5.13489e-01	-5.38783e+01	-5.10000e+01
146	1.46000e-02	5.14081e-01	-5.36696e+01	-5.08000e+01
147	1.47000e-02	5.14623e-01	-5.34752e+01	-5.06000e+01
148	1.48000e-02	5.15208e-01	-5.32689e+01	-5.04000e+01
149	1.49000e-02	5.15799e-01	-5.30667e+01	-5.02000e+01
150	1.50000e-02	5.16552e-01	-5.28668e+01	-5.00000e+01
151	1.51000e-02	5.17207e-01	-5.26649e+01	-4.98000e+01
152	1.52000e-02	5.17847e-01	-5.24652e+01	-4.96000e+01
153	1.53000e-02	5.18580e-01	-5.22576e+01	-4.94000e+01
154	1.54000e-02	5.19374e-01	-5.20622e+01	-4.92000e+01
155	1.55000e-02	5.20141e-01	-5.18609e+01	-4.90000e+01
156	1.56000e-02	5.20715e-01	-5.16557e+01	-4.88000e+01
157	1.57000e-02	5.21298e-01	-5.14587e+01	-4.86000e+01
158	1.58000e-02	5.21832e-01	-5.12559e+01	-4.84000e+01
159	1.59000e-02	5.22408e-01	-5.10532e+01	-4.82000e+01
160	1.60000e-02	5.23108e-01	-5.08526e+01	-4.80000e+01
161	1.61000e-02	5.23780e-01	-5.06462e+01	-4.78000e+01
162	1.62000e-02	5.24349e-01	-5.04499e+01	-4.76000e+01
