Index	t	Heat Flow	Ts	Tr
3	3.00000e-04	-2.12041e-03	-7.93999e+01	-7.94000e+01
4	4.00000e-04	-1.42226e-03	-7.93215e+01	-7.92000e+01
5	5.00000e-04	-4.76672e-04	-7.92117e+01	-7.90000e+01
6	6.00000e-04	7.08841e-04	-7.91020e+01	-7.88000e+01
7	7.00000e-04	2.20703e-03	-7.89878e+01	-7.86000e+01
8	8.00000e-04	4.07355e-03	-7.88692e+01	-7.84000e+01
9	9.00000e-04	6.27599e-03	-7.87328e+01	-7.82000e+01
10	1.00000e-03	8.89584e-03	-7.86055e+01	-7.80000e+01
11	1.10000e-03	1.20318e-02	-7.84603e+01	-7.78000e+01
12	1.20000e-03	1.56517e-02	-7.83130e+01	-7.76000e+01
13	1.30000e-03	1.98772e-02	-7.81591e+01	-7.74000e+01
14	1.40000e-03	2.47587e-02	-7.80008e+01	-7.72000e+01
15	1.50000e-03	3.03467e-02	-7.78404e+01	-7.70000e+01
16	1.60000e-03	3.67143e-02	-7.76823e+01	-7.68000e+01
17	1.70000e-03	4.37966e-02	-7.75177e+01	-7.66000e+01
18	1.80000e-03	5.16148e-02	-7.73443e+01	-7.64000e+01
19	1.90000e-03	6.02528e-02	-7.71689e+01	-7.62000e+01
20	2.00000e-03	6.96280e-02	-7.69935e+01	-7.60000e+01
21	2.10000e-03	7.96975e-02	-7.68183e+01	-7.58000e+01
22	2.20000e-03	9.04689e-02	-7.66410e+01	-7.56000e+01
23	2.30000e-03	1.01850e-01	-7.64616e+01	-7.54000e+01
24	2.40000e-03	1.13881e-01	-7.62669e+01	-7.52000e+01
25	2.50000e-03	1.26346e-01	-7.60834e+01	-7.50000e+01
26	2.60000e-03	1.39140e-01	-7.59022e+01	-7.48000e+01
27	2.70000e-03	1.52166e-01	-7.57057e+01	-7.46000e+01
28	2.80000e-03	1.65338e-01	-7.55270e+01	-7.44000e+01
29	2.90000e-03	1.78563e-01	-7.53264e+01	-7.42000e+01
30	3.00000e-03	1.91864e-01	-7.51370e+01	-7.40000e+01
31	3.10000e-03	2.05071e-01	-7.49478e+01	-7.38000e+01
32	3.20000e-03	2.18138e-01	-7.47455e+01	-7.36000e+01
33	3.30000e-03	2.30894e-01	-7.45522e+01	-7.34000e+01
34	3.40000e-03	2.43259e-01	-7.43590e+01	-7.32000e+01
35	3.50000e-03	2.55217e-01	-7.41638e+01	-7.30000e+01
36	3.60000e-03	2.66639e-01	-7.39731e+01	-7.28000e+01
37	3.70000e-03	2.77647e-01	-7.37651e+01	-7.26000e+01
38	3.80000e-03	2.88166e-01	-7.35704e+01	-7.24000e+01
39	3.90000e-03	2.98123e-01	-7.33758e+01	-7.22000e+01
40	4.00000e-03	3.07535e-01	-7.31726e+01	-7.20000e+01
41	4.10000e-03	3.16420e-01	-7.29719e+01	-7.18000e+01
42	4.20000e-03	3.24824e-01	-7.27756e+01	-7.16000e+01
43	4.30000e-03	3.32880e-01	-7.25816e+01	-7.14000e+01
44	4.40000e-03	3.40536e-01	-7.23835e+01	-7.12000e+01
45	4.50000e-03	3.47711e-01	-7.21812e+01	-7.10000e+01
46	4.60000e-03	3.54564e-01	-7.19834e+01	-7.08000e+01
47	4.70000e-03	3.61021e-01	-7.17879e+01	-7.06000e+01
48	4.80000e-03	3.67252e-01	-7.15818e+01	-7.04000e+01
49	4.90000e-03	3.73219e-01	-7.13801e+01	-7.02000e+01
50	5.00000e-03	3.78979e-01	-7.11873e+01	-7.00000e+01
51	5.10000e-03	3.84637e-01	-7.09816e+01	-6.98000e+01
52	5.20000e-03	3.90043e-01	-7.07848e+01	-6.96000e+01
53	5.30000e-03	3.95062e-01	-7.05816e+01	-6.94000e+01
54	5.40000e-03	3.99743e-01	-7.03873e+01	-6.92000e+01
55	5.50000e-03	4.04119e-01	-7.01844e+01	-6.90000e+01
56	5.60000e-03	4.08316e-01	-6.99839e+01	-6.88000e+01
57	5.70000e-03	4.12071e-01	-6.97814e+01	-6.86000e+01
58	5.80000e-03	4.15605e-01	-6.95877e+01	-6.84000e+01
59	5.90000e-03	4.18985e-01	-6.93791e+01	-6.82000e+01
60	6.00000e-03	4.22247e-01	-6.91835e+01	-6.80000e+01
61	6.10000e-03	4.25530e-01	-6.89752e+01	-6.78000e+01
62	6.20000e-03	4.28554e-01	-6.87800e+01	-6.76000e+01
63	6.30000e-03	4.31355e-01	-6.85784e+01	-6.74000e+01
64	6.40000e-03	4.34202e-01	-6.83771e+01	-6.72000e+01
65	6.50000e-03	4.36867e-01	-6.81759e+01	-6.70000e+01
66	6.60000e-03	4.39485e-01	-6.79727e+01	-6.68000e+01
67	6.70000e-03	4.42071e-01	-6.77782e+01	-6.66000e+01
68	6.80000e-03	4.44543e-01	-6.75775e+01	-6.64000e+01
69	6.90000e-03	4.47033e-01	-6.73727e+01	-6.62000e+01
70	7.00000e-03	4.49459e-01	-6.71701e+01	-6.60000e+01
71	7.10000e-03	4.51769e-01	-6.69763e+01	-6.58000e+01
72	7.20000e-03	4.53995e-01	-6.67719e+01	-6.56000e+01
73	7.30000e-03	4.55820e-01	-6.65741e+01	-6.54000e+01
74	7.40000e-03	4.57556e-01	-6.63701e+01	-6.52000e+01
75	7.50000e-03	4.59236e-01	-6.61684e+01	-6.50000e+01
76	7.60000e-03	4.60812e-01	-6.59689e+01	-6.48000e+01
77	7.70000e-03	4.62324e-01	-6.57675e+01	-6.46000e+01
78	7.80000e-03	4.63848e-01	-6.55620e+01	-6.44000e+01
79	7.90000e-03	4.65462e-01	-6.53631e+01	-6.42000e+01
80	8.00000e-03	4.66956e-01	-6.51664e+01	-6.40000e+01
81	8.10000e-03	4.68229e-01	-6.49656e+01	-6.38000e+01
