Index	t	Heat Flow	Ts	Tr
3	3.00000e-04	-2.39692e-05	-7.97282e+01	-7.94000e+01
4	4.00000e-04	-4.52887e-04	-7.97192e+01	-7.92000e+01
5	5.00000e-04	-9.50224e-04	-7.97013e+01	-7.90000e+01
6	6.00000e-04	-1.41844e-03	-7.96833e+01	-7.88000e+01
7	7.00000e-04	-1.76161e-03	-7.96407e+01	-7.86000e+01
8	8.00000e-04	-1.99042e-03	-7.96025e+01	-7.84000e+01
9	9.00000e-04	-1.97840e-03	-7.95464e+01	-7.82000e+01
10	1.00000e-03	-1.75958e-03	-7.94747e+01	-7.80000e+01
11	1.10000e-03	-1.31705e-03	-7.93984e+01	-7.78000e+01
12	1.20000e-03	-6.79268e-04	-7.93065e+01	-7.76000e+01
13	1.30000e-03	2.13493e-04	-7.92035e+01	-7.74000e+01
14	1.40000e-03	1.36756e-03	-7.91004e+01	-7.72000e+01
15	1.50000e-03	2.84534e-03	-7.89818e+01	-7.70000e+01
16	1.60000e-03	4.68466e-03	-7.88588e+01	-7.68000e+01
17	1.70000e-03	6.91543e-03	-7.87358e+01	-7.66000e+01
18	1.80000e-03	9.53988e-03	-7.85905e+01	-7.64000e+01
19	1.90000e-03	1.26797e-02	-7.84588e+01	-7.62000e+01
20	2.00000e-03	1.63593e-02	-7.83025e+01	-7.60000e+01
21	2.10000e-03	2.05796e-02	-7.81531e+01	-7.58000e+01
22	2.20000e-03	2.53978e-02	-7.79993e+01	-7.56000e+01
23	2.30000e-03	3.09298e-02	-7.78344e+01	-7.54000e+01
24	2.40000e-03	3.71881e-02	-7.76764e+01	-7.52000e+01
25	2.50000e-03	4.42472e-02	-7.75140e+01	-7.50000e+01
26	2.60000e-03	5.20551e-02	-7.73406e+01	-7.48000e+01
27	2.70000e-03	6.06371e-02	-7.71673e+01	-7.46000e+01
28	2.80000e-03	7.00159e-02	-7.69986e+01	-7.44000e+01
29	2.90000e-03	8.01180e-02	-7.68123e+01	-7.42000e+01
30	3.00000e-03	9.07820e-02	-7.66306e+01	-7.40000e+01
31	3.10000e-03	1.02152e-01	-7.64534e+01	-7.38000e+01
32	3.20000e-03	1.14151e-01	-7.62653e+01	-7.36000e+01
33	3.30000e-03	1.26630e-01	-7.60840e+01	-7.34000e+01
34	3.40000e-03	1.39556e-01	-7.58940e+01	-7.32000e+01
35	3.50000e-03	1.52711e-01	-7.57042e+01	-7.30000e+01
36	3.60000e-03	1.66026e-01	-7.55145e+01	-7.28000e+01
37	3.70000e-03	1.79505e-01	-7.53249e+01	-7.26000e+01
38	3.80000e-03	1.92711e-01	-7.51289e+01	-7.24000e+01
39	3.90000e-03	2.05840e-01	-7.49375e+01	-7.22000e+01
40	4.00000e-03	2.18742e-01	-7.47462e+01	-7.20000e+01
41	4.10000e-03	2.31378e-01	-7.45463e+01	-7.18000e+01
42	4.20000e-03	2.43768e-01	-7.43487e+01	-7.16000e+01
43	4.30000e-03	2.55629e-01	-7.41623e+01	-7.14000e+01
44	4.40000e-03	2.67103e-01	-7.39672e+01	-7.12000e+01
45	4.50000e-03	2.78078e-01	-7.37614e+01	-7.10000e+01
46	4.60000e-03	2.88507e-01	-7.35667e+01	-7.08000e+01
47	4.70000e-03	2.98439e-01	-7.33699e+01	-7.06000e+01
48	4.80000e-03	3.07786e-01	-7.31668e+01	-7.04000e+01
