Index	t	Heat Flow	Ts	Tr
275	2.75000e-02	5.81527e-01	-2.76961e+01	-2.50000e+01
276	2.76000e-02	5.82227e-01	-2.74935e+01	-2.48000e+01
277	2.77000e-02	5.82855e-01	-2.72985e+01	-2.46000e+01
278	2.78000e-02	5.83573e-01	-2.70962e+01	-2.44000e+01
279	2.79000e-02	5.84303e-01	-2.68976e+01	-2.42000e+01
280	2.80000e-02	5.85144e-01	-2.66900e+01	-2.40000e+01
281	2.81000e-02	5.85927e-01	-2.64899e+01	-2.38000e+01
282	2.82000e-02	5.86639e-01	-2.62917e+01	-2.36000e+01
283	2.83000e-02	5.87403e-01	-2.60937e+01	-2.34000e+01
284	2.84000e-02	5.88100e-01	-2.58903e+01	-2.32000e+01
285	2.85000e-02	5.88710e-01	-2.56888e+01	-2.30000e+01
286	2.86000e-02	5.89298e-01	-2.54874e+01	-2.28000e+01
287	2.87000e-02	5.89769e-01	-2.52880e+01	-2.26000e+01
288	2.88000e-02	5.90358e-01	-2.50887e+01	-2.24000e+01
289	2.89000e-02	5.90910e-01	-2.48840e+01	-2.22000e+01
290	2.90000e-02	5.91286e-01	-2.46795e+01	-2.20000e+01
291	2.91000e-02	5.91749e-01	-2.44842e+01	-2.18000e+01
292	2.92000e-02	5.92097e-01	-2.42854e+01	-2.16000e+01
293	2.93000e-02	5.92443e-01	-2.40849e+01	-2.14000e+01
294	2.94000e-02	5.92936e-01	-2.38808e+01	-2.12000e+01
295	2.95000e-02	5.93312e-01	-2.36842e+01	-2.10000e+01
296	2.96000e-02	5.93904e-01	-2.34840e+01	-2.08000e+01
297	2.97000e-02	5.94515e-01	-2.32748e+01	-2.06000e+01
298	2.98000e-02	5.95262e-01	-2.30803e+01	-2.04000e+01
299	2.99000e-02	5.96021e-01	-2.28768e+01	-2.02000e+01
300	3.00000e-02	5.96747e-01	-2.26771e+01	-2.00000e+01
301	3.01000e-02	5.97397e-01	-2.24776e+01	-1.98000e+01
