Index	t	Heat Flow	Ts	Tr
275	2.75000e-02	5.85790e-01	-2.71057e+01	-2.50000e+01
276	2.76000e-02	5.86654e-01	-2.69091e+01	-2.48000e+01
277	2.77000e-02	5.87460e-01	-2.67032e+01	-2.46000e+01
278	2.78000e-02	5.88202e-01	-2.65068e+01	-2.44000e+01
279	2.79000e-02	5.89026e-01	-2.63050e+01	-2.42000e+01
280	2.80000e-02	5.89746e-01	-2.61032e+01	-2.40000e+01
281	2.81000e-02	5.90158e-01	-2.59072e+01	-2.38000e+01
282	2.82000e-02	5.90600e-01	-2.56983e+01	-2.36000e+01
283	2.83000e-02	5.91072e-01	-2.55043e+01	-2.34000e+01
284	2.84000e-02	5.91491e-01	-2.53012e+01	-2.32000e+01
285	2.85000e-02	5.92089e-01	-2.51019e+01	-2.30000e+01
286	2.86000e-02	5.92737e-01	-2.48972e+01	-2.28000e+01
287	2.87000e-02	5.93238e-01	-2.47018e+01	-2.26000e+01
288	2.88000e-02	5.93600e-01	-2.44974e+01	-2.24000e+01
289	2.89000e-02	5.93801e-01	-2.42949e+01	-2.22000e+01
290	2.90000e-02	5.94096e-01	-2.40943e+01	-2.20000e+01
291	2.91000e-02	5.94510e-01	-2.38976e+01	-2.18000e+01
292	2.92000e-02	5.94901e-01	-2.36991e+01	-2.16000e+01
293	2.93000e-02	5.95536e-01	-2.34898e+01	-2.14000e+01
294	2.94000e-02	5.96045e-01	-2.32897e+01	-2.12000e+01
295	2.95000e-02	5.96549e-01	-2.30916e+01	-2.10000e+01
296	2.96000e-02	5.96993e-01	-2.28881e+01	-2.08000e+01
297	2.97000e-02	5.97355e-01	-2.26921e+01	-2.06000e+01
298	2.98000e-02	5.97849e-01	-2.24888e+01	-2.04000e+01
299	2.99000e-02	5.98332e-01	-2.22930e+01	-2.02000e+01
300	3.00000e-02	5.98841e-01	-2.20881e+01	-2.00000e+01
301	3.01000e-02	5.99457e-01	-2.18834e+01	-1.98000e+01
302	3.02000e-02	6.00050e-01	-2.16879e+01	-1.96000e+01
303	3.03000e-02	6.00725e-01	-2.14816e+01	-1.94000e+01
304	3.04000e-02	6.01303e-01	-2.12846e+01	-1.92000e+01
305	3.05000e-02	6.01852e-01	-2.10839e+01	-1.90000e+01
306	3.06000e-02	6.02476e-01	-2.08798e+01	-1.88000e+01
307	3.07000e-02	6.03100e-01	-2.06813e+01	-1.86000e+01
308	3.08000e-02	6.03687e-01	-2.04846e+01	-1.84000e+01
309	3.09000e-02	6.04275e-01	-2.02809e+01	-1.82000e+01
310	3.10000e-02	6.04669e-01	-2.00790e+01	-1.80000e+01
