Index	t	Heat Flow	Ts	Tr
614	6.14000e-02	7.20829e-01	4.12083e+01	4.28000e+01
615	6.15000e-02	7.20941e-01	4.14093e+01	4.30000e+01
616	6.16000e-02	7.21137e-01	4.16085e+01	4.32000e+01
617	6.17000e-02	7.21337e-01	4.18046e+01	4.34000e+01
618	6.18000e-02	7.21627e-01	4.20068e+01	4.36000e+01
619	6.19000e-02	7.22155e-01	4.22074e+01	4.38000e+01
620	6.20000e-02	7.22780e-01	4.24080e+01	4.40000e+01
621	6.21000e-02	7.23298e-01	4.26069e+01	4.42000e+01
622	6.22000e-02	7.23734e-01	4.28119e+01	4.44000e+01
623	6.23000e-02	7.24247e-01	4.30075e+01	4.46000e+01
624	6.24000e-02	7.24676e-01	4.32046e+01	4.48000e+01
625	6.25000e-02	7.25285e-01	4.34078e+01	4.50000e+01
626	6.26000e-02	7.25765e-01	4.36032e+01	4.52000e+01
627	6.27000e-02	7.26242e-01	4.38063e+01	4.54000e+01
628	6.28000e-02	7.26707e-01	4.40062e+01	4.56000e+01
629	6.29000e-02	7.26917e-01	4.42060e+01	4.58000e+01
630	6.30000e-02	7.27040e-01	4.44073e+01	4.60000e+01
631	6.31000e-02	7.27161e-01	4.46132e+01	4.62000e+01
632	6.32000e-02	7.27373e-01	4.48081e+01	4.64000e+01
633	6.33000e-02	7.27648e-01	4.50092e+01	4.66000e+01
634	6.34000e-02	7.27882e-01	4.52117e+01	4.68000e+01
635	6.35000e-02	7.27940e-01	4.54064e+01	4.70000e+01
636	6.36000e-02	7.28052e-01	4.56104e+01	4.72000e+01
637	6.37000e-02	7.28058e-01	4.58080e+01	4.74000e+01
638	6.38000e-02	7.28319e-01	4.60071e+01	4.76000e+01
639	6.39000e-02	7.28455e-01	4.62077e+01	4.78000e+01
640	6.40000e-02	7.28569e-01	4.64082e+01	4.80000e+01
641	6.41000e-02	7.28812e-01	4.66102e+01	4.82000e+01
642	6.42000e-02	7.29103e-01	4.68090e+01	4.84000e+01
643	6.43000e-02	7.29412e-01	4.70109e+01	4.86000e+01
644	6.44000e-02	7.29639e-01	4.72111e+01	4.88000e+01
645	6.45000e-02	7.29946e-01	4.74097e+01	4.90000e+01
646	6.46000e-02	7.30467e-01	4.76144e+01	4.92000e+01
647	6.47000e-02	7.31022e-01	4.78128e+01	4.94000e+01
648	6.48000e-02	7.31593e-01	4.80096e+01	4.96000e+01
649	6.49000e-02	7.32145e-01	4.82110e+01	4.98000e+01
650	6.50000e-02	7.32593e-01	4.84154e+01	5.00000e+01
651	6.51000e-02	7.33315e-01	4.86104e+01	5.02000e+01
652	6.52000e-02	7.33901e-01	4.88131e+01	5.04000e+01
653	6.53000e-02	7.34654e-01	4.90127e+01	5.06000e+01
654	6.54000e-02	7.35463e-01	4.92137e+01	5.08000e+01
655	6.55000e-02	7.36125e-01	4.94146e+01	5.10000e+01
656	6.56000e-02	7.36566e-01	4.96154e+01	5.12000e+01
657	6.57000e-02	7.36902e-01	4.98131e+01	5.14000e+01
658	6.58000e-02	7.37173e-01	5.00107e+01	5.16000e+01
659	6.59000e-02	7.37517e-01	5.02129e+01	5.18000e+01
660	6.60000e-02	7.37845e-01	5.04134e+01	5.20000e+01
661	6.61000e-02	7.38098e-01	5.06092e+01	5.22000e+01
662	6.62000e-02	7.38427e-01	5.08127e+01	5.24000e+01
663	6.63000e-02	7.38606e-01	5.10146e+01	5.26000e+01
664	6.64000e-02	7.38827e-01	5.12117e+01	5.28000e+01
665	6.65000e-02	7.38883e-01	5.14165e+01	5.30000e+01
666	6.66000e-02	7.38981e-01	5.16105e+01	5.32000e+01
667	6.67000e-02	7.39268e-01	5.18135e+01	5.34000e+01
668	6.68000e-02	7.39636e-01	5.20135e+01	5.36000e+01
669	6.69000e-02	7.40078e-01	5.22133e+01	5.38000e+01
670	6.70000e-02	7.40471e-01	5.24147e+01	5.40000e+01
