         Index             t     Heat Flow            Ts            Tr
           [#]           [s]          [mW]          [°C]          [°C]
             0   0,00000e+00  -3,02917e-03  -7,96559e+01  -8,00000e+01
             1   1,00000e-04  -3,26529e-03  -7,96065e+01  -7,98000e+01
             2   2,00000e-04  -3,29512e-03  -7,95482e+01  -7,96000e+01
             3   3,00000e-04  -3,11884e-03  -7,94832e+01  -7,94000e+01
             4   4,00000e-04  -2,70361e-03  -7,93935e+01  -7,92000e+01
             5   5,00000e-04  -2,02776e-03  -7,93150e+01  -7,90000e+01
             6   6,00000e-04  -1,09915e-03  -7,92097e+01  -7,88000e+01
             7   7,00000e-04   7,54552e-05  -7,91044e+01  -7,86000e+01
             8   8,00000e-04   1,55243e-03  -7,89880e+01  -7,84000e+01
             9   9,00000e-04   3,36665e-03  -7,88605e+01  -7,82000e+01
            10   1,00000e-03   5,54210e-03  -7,87353e+01  -7,80000e+01
            11   1,10000e-03   8,15789e-03  -7,85990e+01  -7,78000e+01
            12   1,20000e-03   1,12351e-02  -7,84583e+01  -7,76000e+01
            13   1,30000e-03   1,48414e-02  -7,83154e+01  -7,74000e+01
            14   1,40000e-03   1,90349e-02  -7,81593e+01  -7,72000e+01
            15   1,50000e-03   2,38493e-02  -7,80077e+01  -7,70000e+01
            16   1,60000e-03   2,93225e-02  -7,78473e+01  -7,68000e+01
            17   1,70000e-03   3,54970e-02  -7,76826e+01  -7,66000e+01
            18   1,80000e-03   4,24577e-02  -7,75180e+01  -7,64000e+01
            19   1,90000e-03   5,02005e-02  -7,73468e+01  -7,62000e+01
            20   2,00000e-03   5,87384e-02  -7,71757e+01  -7,60000e+01
            21   2,10000e-03   6,80886e-02  -7,69982e+01  -7,58000e+01
            22   2,20000e-03   7,81611e-02  -7,68185e+01  -7,56000e+01
            23   2,30000e-03   8,88917e-02  -7,66434e+01  -7,54000e+01
            24   2,40000e-03   1,00338e-01  -7,64618e+01  -7,52000e+01
            25   2,50000e-03   1,12380e-01  -7,62759e+01  -7,50000e+01
            26   2,60000e-03   1,24916e-01  -7,60946e+01  -7,48000e+01
            27   2,70000e-03   1,37834e-01  -7,59002e+01  -7,46000e+01
            28   2,80000e-03   1,51017e-01  -7,57125e+01  -7,44000e+01
            29   2,90000e-03   1,64422e-01  -7,55206e+01  -7,42000e+01
            30   3,00000e-03   1,77926e-01  -7,53333e+01  -7,40000e+01
            31   3,10000e-03   1,91415e-01  -7,51439e+01  -7,38000e+01
            32   3,20000e-03   2,04739e-01  -7,49458e+01  -7,36000e+01
            33   3,30000e-03   2,17848e-01  -7,47501e+01  -7,34000e+01
            34   3,40000e-03   2,30572e-01  -7,45590e+01  -7,32000e+01
            35   3,50000e-03   2,42946e-01  -7,43614e+01  -7,30000e+01
            36   3,60000e-03   2,54812e-01  -7,41684e+01  -7,28000e+01
            37   3,70000e-03   2,66256e-01  -7,39690e+01  -7,26000e+01
            38   3,80000e-03   2,77236e-01  -7,37675e+01  -7,24000e+01
            39   3,90000e-03   2,87684e-01  -7,35750e+01  -7,22000e+01
            40   4,00000e-03   2,97689e-01  -7,33738e+01  -7,20000e+01
            41   4,10000e-03   3,07089e-01  -7,31772e+01  -7,18000e+01
            42   4,20000e-03   3,15880e-01  -7,29808e+01  -7,16000e+01
            43   4,30000e-03   3,24310e-01  -7,27802e+01  -7,14000e+01
            44   4,40000e-03   3,32353e-01  -7,25862e+01  -7,12000e+01
            45   4,50000e-03   3,39994e-01  -7,23816e+01  -7,10000e+01
            46   4,60000e-03   3,47179e-01  -7,21836e+01  -7,08000e+01
            47   4,70000e-03   3,53953e-01  -7,19858e+01  -7,06000e+01
