         Index             t     Heat Flow            Ts            Tr
           [#]           [s]          [mW]          [°C]          [°C]
             0   0,00000e+00  -8,94438e-04  -7,97490e+01  -8,00000e+01
             1   1,00000e-04  -8,91496e-04  -7,97496e+01  -7,98000e+01
             2   2,00000e-04  -8,96435e-04  -7,97452e+01  -7,96000e+01
             3   3,00000e-04  -1,01246e-03  -7,97496e+01  -7,94000e+01
             4   4,00000e-04  -1,28959e-03  -7,97384e+01  -7,92000e+01
             5   5,00000e-04  -1,74687e-03  -7,97272e+01  -7,90000e+01
             6   6,00000e-04  -2,25058e-03  -7,97092e+01  -7,88000e+01
             7   7,00000e-04  -2,71073e-03  -7,96823e+01  -7,86000e+01
             8   8,00000e-04  -3,07880e-03  -7,96441e+01  -7,84000e+01
             9   9,00000e-04  -3,29908e-03  -7,96082e+01  -7,82000e+01
            10   1,00000e-03  -3,32781e-03  -7,95499e+01  -7,80000e+01
            11   1,10000e-03  -3,13232e-03  -7,94826e+01  -7,78000e+01
            12   1,20000e-03  -2,72707e-03  -7,94019e+01  -7,76000e+01
            13   1,30000e-03  -2,05107e-03  -7,93078e+01  -7,74000e+01
            14   1,40000e-03  -1,15255e-03  -7,92069e+01  -7,72000e+01
            15   1,50000e-03   1,50751e-05  -7,90950e+01  -7,70000e+01
            16   1,60000e-03   1,48440e-03  -7,89853e+01  -7,68000e+01
            17   1,70000e-03   3,26839e-03  -7,88622e+01  -7,66000e+01
            18   1,80000e-03   5,42658e-03  -7,87348e+01  -7,64000e+01
            19   1,90000e-03   8,00625e-03  -7,85985e+01  -7,62000e+01
            20   2,00000e-03   1,10239e-02  -7,84600e+01  -7,60000e+01
            21   2,10000e-03   1,46285e-02  -7,83060e+01  -7,58000e+01
            22   2,20000e-03   1,87692e-02  -7,81632e+01  -7,56000e+01
            23   2,30000e-03   2,36021e-02  -7,80049e+01  -7,54000e+01
            24   2,40000e-03   2,91105e-02  -7,78423e+01  -7,52000e+01
            25   2,50000e-03   3,53500e-02  -7,76798e+01  -7,50000e+01
            26   2,60000e-03   4,23243e-02  -7,75130e+01  -7,48000e+01
            27   2,70000e-03   5,00492e-02  -7,73463e+01  -7,46000e+01
            28   2,80000e-03   5,85651e-02  -7,71730e+01  -7,44000e+01
            29   2,90000e-03   6,79160e-02  -7,70021e+01  -7,42000e+01
            30   3,00000e-03   7,79877e-02  -7,68202e+01  -7,40000e+01
            31   3,10000e-03   8,88650e-02  -7,66429e+01  -7,38000e+01
            32   3,20000e-03   1,00458e-01  -7,64547e+01  -7,36000e+01
            33   3,30000e-03   1,12652e-01  -7,62732e+01  -7,34000e+01
            34   3,40000e-03   1,25313e-01  -7,60897e+01  -7,32000e+01
            35   3,50000e-03   1,38230e-01  -7,58975e+01  -7,30000e+01
            36   3,60000e-03   1,51414e-01  -7,57076e+01  -7,28000e+01
            37   3,70000e-03   1,64727e-01  -7,55135e+01  -7,26000e+01
            38   3,80000e-03   1,78040e-01  -7,53328e+01  -7,24000e+01
            39   3,90000e-03   1,91370e-01  -7,51323e+01  -7,22000e+01
            40   4,00000e-03   2,04525e-01  -7,49431e+01  -7,20000e+01
            41   4,10000e-03   2,17512e-01  -7,47496e+01  -7,18000e+01
            42   4,20000e-03   2,30172e-01  -7,45497e+01  -7,16000e+01
            43   4,30000e-03   2,42373e-01  -7,43565e+01  -7,14000e+01
            44   4,40000e-03   2,54236e-01  -7,41657e+01  -7,12000e+01
            45   4,50000e-03   2,65613e-01  -7,39641e+01  -7,10000e+01
            46   4,60000e-03   2,76569e-01  -7,37779e+01  -7,08000e+01
            47   4,70000e-03   2,87043e-01  -7,35723e+01  -7,06000e+01
            48   4,80000e-03   2,97035e-01  -7,33711e+01  -7,04000e+01
            49   4,90000e-03   3,06474e-01  -7,31724e+01  -7,02000e+01
            50   5,00000e-03   3,15399e-01  -7,29781e+01  -7,00000e+01
            51   5,10000e-03   3,23732e-01  -7,27818e+01  -6,98000e+01
            52   5,20000e-03   3,31691e-01  -7,25814e+01  -6,96000e+01
            53   5,30000e-03   3,39206e-01  -7,23832e+01  -6,94000e+01
            54   5,40000e-03   3,46339e-01  -7,21831e+01  -6,92000e+01
            55   5,50000e-03   3,53137e-01  -7,19853e+01  -6,90000e+01
            56   5,60000e-03   3,59619e-01  -7,17876e+01  -6,88000e+01
            57   5,70000e-03   3,65708e-01  -7,15836e+01  -6,86000e+01
            58   5,80000e-03   3,71426e-01  -7,13820e+01  -6,84000e+01
            59   5,90000e-03   3,76706e-01  -7,11827e+01  -6,82000e+01
            60   6,00000e-03   3,81910e-01  -7,09813e+01  -6,80000e+01
            61   6,10000e-03   3,87057e-01  -7,07845e+01  -6,78000e+01
            62   6,20000e-03   3,92075e-01  -7,05813e+01  -6,76000e+01
            63   6,30000e-03   3,96735e-01  -7,03805e+01  -6,74000e+01
            64   6,40000e-03   4,01080e-01  -7,01820e+01  -6,72000e+01
            65   6,50000e-03   4,05318e-01  -6,99793e+01  -6,70000e+01
            66   6,60000e-03   4,09451e-01  -6,97854e+01  -6,68000e+01
            67   6,70000e-03   4,13362e-01  -6,95874e+01  -6,66000e+01
            68   6,80000e-03   4,17061e-01  -6,93809e+01  -6,64000e+01
            69   6,90000e-03   4,20395e-01  -6,91832e+01  -6,62000e+01
            70   7,00000e-03   4,23509e-01  -6,89835e+01  -6,60000e+01
            71   7,10000e-03   4,26400e-01  -6,87775e+01  -6,58000e+01
            72   7,20000e-03   4,29236e-01  -6,85867e+01  -6,56000e+01
            73   7,30000e-03   4,31954e-01  -6,83746e+01  -6,54000e+01
            74   7,40000e-03   4,34603e-01  -6,81799e+01  -6,52000e+01
            75   7,50000e-03   4,37113e-01  -6,79788e+01  -6,50000e+01
            76   7,60000e-03   4,39559e-01  -6,77758e+01  -6,48000e+01
            77   7,70000e-03   4,41842e-01  -6,75708e+01  -6,46000e+01
            78   7,80000e-03   4,44098e-01  -6,73681e+01  -6,44000e+01
            79   7,90000e-03   4,46179e-01  -6,71699e+01  -6,42000e+01
            80   8,00000e-03   4,48263e-01  -6,69696e+01  -6,40000e+01
            81   8,10000e-03   4,50325e-01  -6,67674e+01  -6,38000e+01
            82   8,20000e-03   4,52297e-01  -6,65717e+01  -6,36000e+01
            83   8,30000e-03   4,54305e-01  -6,63677e+01  -6,34000e+01
            84   8,40000e-03   4,56102e-01  -6,61660e+01  -6,32000e+01
            85   8,50000e-03   4,57705e-01  -6,59644e+01  -6,30000e+01
            86   8,60000e-03   4,59414e-01  -6,57651e+01  -6,28000e+01
            87   8,70000e-03   4,60908e-01  -6,55618e+01  -6,26000e+01
            88   8,80000e-03   4,62425e-01  -6,53649e+01  -6,24000e+01
            89   8,90000e-03   4,63789e-01  -6,51597e+01  -6,22000e+01
            90   9,00000e-03   4,65065e-01  -6,49632e+01  -6,20000e+01
            91   9,10000e-03   4,66462e-01  -6,47626e+01  -6,18000e+01
            92   9,20000e-03   4,67704e-01  -6,45558e+01  -6,16000e+01
            93   9,30000e-03   4,68862e-01  -6,43597e+01  -6,14000e+01
            94   9,40000e-03   4,70147e-01  -6,41553e+01  -6,12000e+01
            95   9,50000e-03   4,71359e-01  -6,39553e+01  -6,10000e+01
            96   9,60000e-03   4,72611e-01  -6,37534e+01  -6,08000e+01
            97   9,70000e-03   4,73712e-01  -6,35495e+01  -6,06000e+01
            98   9,80000e-03   4,74648e-01  -6,33500e+01  -6,04000e+01
            99   9,90000e-03   4,75528e-01  -6,31464e+01  -6,02000e+01
           100   1,00000e-02   4,76250e-01  -6,29430e+01  -6,00000e+01
           101   1,01000e-02   4,76966e-01  -6,27439e+01  -5,98000e+01
           102   1,02000e-02   4,77752e-01  -6,25429e+01  -5,96000e+01
           103   1,03000e-02   4,78590e-01  -6,23421e+01  -5,94000e+01
           104   1,04000e-02   4,79553e-01  -6,21372e+01  -5,92000e+01
           105   1,05000e-02   4,80305e-01  -6,19346e+01  -5,90000e+01
           106   1,06000e-02   4,81104e-01  -6,17404e+01  -5,88000e+01
           107   1,07000e-02   4,81956e-01  -6,15277e+01  -5,86000e+01
