Index	t	Heat Flow	Ts	Tr
2	2.00000e-04	-2.65564e-03	-7.94081e+01	-7.96000e+01
3	3.00000e-04	-1.96508e-03	-7.93184e+01	-7.94000e+01
4	4.00000e-04	-1.03507e-03	-7.92154e+01	-7.92000e+01
5	5.00000e-04	1.46007e-04	-7.91078e+01	-7.90000e+01
6	6.00000e-04	1.60976e-03	-7.89892e+01	-7.88000e+01
7	7.00000e-04	3.42593e-03	-7.88706e+01	-7.86000e+01
8	8.00000e-04	5.60292e-03	-7.87387e+01	-7.84000e+01
9	9.00000e-04	8.18025e-03	-7.86046e+01	-7.82000e+01
10	1.00000e-03	1.12288e-02	-7.84594e+01	-7.80000e+01
11	1.10000e-03	1.48409e-02	-7.83211e+01	-7.78000e+01
12	1.20000e-03	1.90575e-02	-7.81604e+01	-7.76000e+01
13	1.30000e-03	2.38714e-02	-7.80111e+01	-7.74000e+01
14	1.40000e-03	2.93743e-02	-7.78485e+01	-7.72000e+01
15	1.50000e-03	3.55544e-02	-7.76882e+01	-7.70000e+01
16	1.60000e-03	4.24553e-02	-7.75236e+01	-7.68000e+01
17	1.70000e-03	5.02005e-02	-7.73524e+01	-7.66000e+01
18	1.80000e-03	5.87384e-02	-7.71769e+01	-7.64000e+01
19	1.90000e-03	6.80530e-02	-7.70060e+01	-7.62000e+01
20	2.00000e-03	7.81230e-02	-7.68285e+01	-7.60000e+01
21	2.10000e-03	8.88917e-02	-7.66490e+01	-7.58000e+01
22	2.20000e-03	1.00398e-01	-7.64630e+01	-7.56000e+01
23	2.30000e-03	1.12515e-01	-7.62793e+01	-7.54000e+01
24	2.40000e-03	1.25106e-01	-7.60936e+01	-7.52000e+01
25	2.50000e-03	1.38100e-01	-7.59058e+01	-7.50000e+01
26	2.60000e-03	1.51304e-01	-7.57181e+01	-7.48000e+01
27	2.70000e-03	1.64787e-01	-7.55284e+01	-7.46000e+01
28	2.80000e-03	1.78328e-01	-7.53410e+01	-7.44000e+01
29	2.90000e-03	1.91876e-01	-7.51494e+01	-7.42000e+01
30	3.00000e-03	2.05298e-01	-7.49536e+01	-7.40000e+01
31	3.10000e-03	2.18390e-01	-7.47601e+01	-7.38000e+01
32	3.20000e-03	2.31163e-01	-7.45623e+01	-7.36000e+01
33	3.30000e-03	2.43587e-01	-7.43692e+01	-7.34000e+01
34	3.40000e-03	2.55497e-01	-7.41717e+01	-7.32000e+01
35	3.50000e-03	2.66999e-01	-7.39789e+01	-7.30000e+01
36	3.60000e-03	2.78006e-01	-7.37796e+01	-7.28000e+01
37	3.70000e-03	2.88605e-01	-7.35827e+01	-7.26000e+01
38	3.80000e-03	2.98630e-01	-7.33772e+01	-7.24000e+01
39	3.90000e-03	3.08059e-01	-7.31849e+01	-7.22000e+01
40	4.00000e-03	3.16984e-01	-7.29885e+01	-7.20000e+01
41	4.10000e-03	3.25301e-01	-7.27878e+01	-7.18000e+01
42	4.20000e-03	3.33140e-01	-7.25895e+01	-7.16000e+01
43	4.30000e-03	3.40480e-01	-7.23849e+01	-7.14000e+01
44	4.40000e-03	3.47497e-01	-7.21934e+01	-7.12000e+01
45	4.50000e-03	3.54170e-01	-7.19913e+01	-7.10000e+01
46	4.60000e-03	3.60591e-01	-7.17958e+01	-7.08000e+01
47	4.70000e-03	3.66639e-01	-7.15940e+01	-7.06000e+01
48	4.80000e-03	3.72416e-01	-7.13945e+01	-7.04000e+01
49	4.90000e-03	3.77875e-01	-7.11995e+01	-7.02000e+01
50	5.00000e-03	3.83096e-01	-7.09895e+01	-7.00000e+01
51	5.10000e-03	3.88106e-01	-7.07905e+01	-6.98000e+01
52	5.20000e-03	3.92891e-01	-7.05959e+01	-6.96000e+01
53	5.30000e-03	3.97439e-01	-7.03951e+01	-6.94000e+01
54	5.40000e-03	4.01689e-01	-7.01858e+01	-6.92000e+01
55	5.50000e-03	4.05696e-01	-6.99939e+01	-6.90000e+01
56	5.60000e-03	4.09490e-01	-6.97914e+01	-6.88000e+01
57	5.70000e-03	4.12996e-01	-6.95933e+01	-6.86000e+01
58	5.80000e-03	4.16478e-01	-6.93890e+01	-6.84000e+01
59	5.90000e-03	4.19897e-01	-6.91913e+01	-6.82000e+01
60	6.00000e-03	4.23271e-01	-6.89916e+01	-6.80000e+01
61	6.10000e-03	4.26552e-01	-6.87877e+01	-6.78000e+01
62	6.20000e-03	4.29478e-01	-6.85883e+01	-6.76000e+01
63	6.30000e-03	4.32210e-01	-6.83870e+01	-6.74000e+01
64	6.40000e-03	4.35020e-01	-6.81858e+01	-6.72000e+01
65	6.50000e-03	4.37665e-01	-6.79911e+01	-6.70000e+01
66	6.60000e-03	4.40266e-01	-6.77817e+01	-6.68000e+01
67	6.70000e-03	4.42489e-01	-6.75852e+01	-6.66000e+01
68	6.80000e-03	4.44708e-01	-6.73804e+01	-6.64000e+01
69	6.90000e-03	4.46921e-01	-6.71821e+01	-6.62000e+01
70	7.00000e-03	4.49035e-01	-6.69819e+01	-6.60000e+01
71	7.10000e-03	4.51092e-01	-6.67818e+01	-6.58000e+01
72	7.20000e-03	4.53036e-01	-6.65840e+01	-6.56000e+01
73	7.30000e-03	4.54766e-01	-6.63842e+01	-6.54000e+01
74	7.40000e-03	4.56413e-01	-6.61761e+01	-6.52000e+01
75	7.50000e-03	4.58067e-01	-6.59745e+01	-6.50000e+01
76	7.60000e-03	4.59496e-01	-6.57773e+01	-6.48000e+01
77	7.70000e-03	4.60887e-01	-6.55761e+01	-6.46000e+01
78	7.80000e-03	4.62118e-01	-6.53707e+01	-6.44000e+01
79	7.90000e-03	4.63450e-01	-6.51761e+01	-6.42000e+01
80	8.00000e-03	4.64593e-01	-6.49732e+01	-6.40000e+01
81	8.10000e-03	4.65679e-01	-6.47684e+01	-6.38000e+01
82	8.20000e-03	4.66870e-01	-6.45658e+01	-6.36000e+01
83	8.30000e-03	4.68015e-01	-6.43718e+01	-6.34000e+01
84	8.40000e-03	4.69245e-01	-6.41632e+01	-6.32000e+01
85	8.50000e-03	4.70434e-01	-6.39632e+01	-6.30000e+01
86	8.60000e-03	4.71550e-01	-6.37697e+01	-6.28000e+01
87	8.70000e-03	4.72595e-01	-6.35595e+01	-6.26000e+01
88	8.80000e-03	4.73711e-01	-6.33599e+01	-6.24000e+01
