Index	t	Heat Flow	Ts	Tr
605	6.05000e-02	7.12354e-01	3.85927e+01	4.10000e+01
606	6.06000e-02	7.12516e-01	3.87915e+01	4.12000e+01
607	6.07000e-02	7.12763e-01	3.89918e+01	4.14000e+01
608	6.08000e-02	7.13093e-01	3.91889e+01	4.16000e+01
609	6.09000e-02	7.13658e-01	3.93922e+01	4.18000e+01
610	6.10000e-02	7.14239e-01	3.95923e+01	4.20000e+01
611	6.11000e-02	7.14834e-01	3.97939e+01	4.22000e+01
612	6.12000e-02	7.15488e-01	3.99938e+01	4.24000e+01
613	6.13000e-02	7.16013e-01	4.01920e+01	4.26000e+01
614	6.14000e-02	7.16513e-01	4.03918e+01	4.28000e+01
615	6.15000e-02	7.16762e-01	4.05962e+01	4.30000e+01
616	6.16000e-02	7.16988e-01	4.07926e+01	4.32000e+01
617	6.17000e-02	7.17368e-01	4.09937e+01	4.34000e+01
618	6.18000e-02	7.17854e-01	4.11979e+01	4.36000e+01
619	6.19000e-02	7.18330e-01	4.13925e+01	4.38000e+01
620	6.20000e-02	7.18636e-01	4.15965e+01	4.40000e+01
621	6.21000e-02	7.18837e-01	4.17957e+01	4.42000e+01
622	6.22000e-02	7.18990e-01	4.19979e+01	4.44000e+01
623	6.23000e-02	7.19241e-01	4.22001e+01	4.46000e+01
624	6.24000e-02	7.19477e-01	4.23912e+01	4.48000e+01
625	6.25000e-02	7.19790e-01	4.25964e+01	4.50000e+01
626	6.26000e-02	7.20114e-01	4.27968e+01	4.52000e+01
627	6.27000e-02	7.20494e-01	4.29970e+01	4.54000e+01
628	6.28000e-02	7.20776e-01	4.31973e+01	4.56000e+01
629	6.29000e-02	7.20783e-01	4.33958e+01	4.58000e+01
630	6.30000e-02	7.20879e-01	4.35975e+01	4.60000e+01
631	6.31000e-02	7.21056e-01	4.37959e+01	4.62000e+01
632	6.32000e-02	7.21543e-01	4.39926e+01	4.64000e+01
633	6.33000e-02	7.22020e-01	4.41971e+01	4.66000e+01
634	6.34000e-02	7.22319e-01	4.43985e+01	4.68000e+01
635	6.35000e-02	7.22601e-01	4.45950e+01	4.70000e+01
636	6.36000e-02	7.22901e-01	4.47993e+01	4.72000e+01
637	6.37000e-02	7.23183e-01	4.49925e+01	4.74000e+01
638	6.38000e-02	7.23541e-01	4.51951e+01	4.76000e+01
639	6.39000e-02	7.23863e-01	4.53929e+01	4.78000e+01
640	6.40000e-02	7.24318e-01	4.55953e+01	4.80000e+01
641	6.41000e-02	7.24912e-01	4.57992e+01	4.82000e+01
642	6.42000e-02	7.25494e-01	4.59967e+01	4.84000e+01
643	6.43000e-02	7.26170e-01	4.61942e+01	4.86000e+01
644	6.44000e-02	7.26722e-01	4.63963e+01	4.88000e+01
645	6.45000e-02	7.27225e-01	4.65967e+01	4.90000e+01
646	6.46000e-02	7.27592e-01	4.68002e+01	4.92000e+01
647	6.47000e-02	7.27998e-01	4.69927e+01	4.94000e+01
648	6.48000e-02	7.28314e-01	4.71961e+01	4.96000e+01
649	6.49000e-02	7.28536e-01	4.73993e+01	4.98000e+01
650	6.50000e-02	7.28599e-01	4.75947e+01	5.00000e+01
651	6.51000e-02	7.28819e-01	4.77994e+01	5.02000e+01
652	6.52000e-02	7.28957e-01	4.80008e+01	5.04000e+01
653	6.53000e-02	7.29126e-01	4.81976e+01	5.06000e+01
