Index	t	Heat Flow	Ts	Tr
522	5.22000e-02	6.79771e-01	2.17735e+01	2.44000e+01
523	5.23000e-02	6.80084e-01	2.19729e+01	2.46000e+01
524	5.24000e-02	6.80392e-01	2.21723e+01	2.48000e+01
525	5.25000e-02	6.80436e-01	2.23781e+01	2.50000e+01
526	5.26000e-02	6.80578e-01	2.25741e+01	2.52000e+01
527	5.27000e-02	6.80861e-01	2.27716e+01	2.54000e+01
528	5.28000e-02	6.81477e-01	2.29755e+01	2.56000e+01
529	5.29000e-02	6.82177e-01	2.31712e+01	2.58000e+01
530	5.30000e-02	6.82775e-01	2.33798e+01	2.60000e+01
531	5.31000e-02	6.83289e-01	2.35753e+01	2.62000e+01
532	5.32000e-02	6.83649e-01	2.37740e+01	2.64000e+01
533	5.33000e-02	6.83840e-01	2.39726e+01	2.66000e+01
534	5.34000e-02	6.83926e-01	2.41760e+01	2.68000e+01
535	5.35000e-02	6.84201e-01	2.43760e+01	2.70000e+01
536	5.36000e-02	6.84541e-01	2.45743e+01	2.72000e+01
537	5.37000e-02	6.84896e-01	2.47726e+01	2.74000e+01
538	5.38000e-02	6.85140e-01	2.49740e+01	2.76000e+01
539	5.39000e-02	6.85361e-01	2.51737e+01	2.78000e+01
540	5.40000e-02	6.85614e-01	2.53733e+01	2.80000e+01
541	5.41000e-02	6.86072e-01	2.55777e+01	2.82000e+01
542	5.42000e-02	6.86450e-01	2.57706e+01	2.84000e+01
543	5.43000e-02	6.86646e-01	2.59781e+01	2.86000e+01
544	5.44000e-02	6.86974e-01	2.61708e+01	2.88000e+01
545	5.45000e-02	6.87422e-01	2.63733e+01	2.90000e+01
546	5.46000e-02	6.88079e-01	2.65772e+01	2.92000e+01
547	5.47000e-02	6.88537e-01	2.67746e+01	2.94000e+01
548	5.48000e-02	6.88942e-01	2.69767e+01	2.96000e+01
549	5.49000e-02	6.89266e-01	2.71788e+01	2.98000e+01
550	5.50000e-02	6.89685e-01	2.73792e+01	3.00000e+01
551	5.51000e-02	6.90027e-01	2.75778e+01	3.02000e+01
552	5.52000e-02	6.90334e-01	2.77780e+01	3.04000e+01
553	5.53000e-02	6.90683e-01	2.79797e+01	3.06000e+01
554	5.54000e-02	6.91032e-01	2.81765e+01	3.08000e+01
555	5.55000e-02	6.91293e-01	2.83797e+01	3.10000e+01
556	5.56000e-02	6.91610e-01	2.85827e+01	3.12000e+01
557	5.57000e-02	6.91983e-01	2.87793e+01	3.14000e+01
558	5.58000e-02	6.92275e-01	2.89757e+01	3.16000e+01
559	5.59000e-02	6.92466e-01	2.91801e+01	3.18000e+01
560	5.60000e-02	6.92672e-01	2.93764e+01	3.20000e+01
561	5.61000e-02	6.92949e-01	2.95807e+01	3.22000e+01
562	5.62000e-02	6.93346e-01	2.97800e+01	3.24000e+01
563	5.63000e-02	6.93493e-01	2.99825e+01	3.26000e+01
564	5.64000e-02	6.93973e-01	3.01800e+01	3.28000e+01
565	5.65000e-02	6.94345e-01	3.03791e+01	3.30000e+01
566	5.66000e-02	6.94734e-01	3.05813e+01	3.32000e+01
567	5.67000e-02	6.94956e-01	3.07802e+01	3.34000e+01
568	5.68000e-02	6.95291e-01	3.09791e+01	3.36000e+01
569	5.69000e-02	6.95942e-01	3.11762e+01	3.38000e+01
570	5.70000e-02	6.96485e-01	3.13797e+01	3.40000e+01
571	5.71000e-02	6.96811e-01	3.15831e+01	3.42000e+01
572	5.72000e-02	6.97257e-01	3.17816e+01	3.44000e+01
573	5.73000e-02	6.97831e-01	3.19768e+01	3.46000e+01
574	5.74000e-02	6.98516e-01	3.21847e+01	3.48000e+01
575	5.75000e-02	6.99001e-01	3.23814e+01	3.50000e+01
576	5.76000e-02	6.99289e-01	3.25827e+01	3.52000e+01
577	5.77000e-02	6.99680e-01	3.27824e+01	3.54000e+01
578	5.78000e-02	6.99902e-01	3.29820e+01	3.56000e+01
579	5.79000e-02	7.00167e-01	3.31815e+01	3.58000e+01
580	5.80000e-02	7.00485e-01	3.33841e+01	3.60000e+01
581	5.81000e-02	7.00708e-01	3.35803e+01	3.62000e+01
582	5.82000e-02	7.01020e-01	3.37827e+01	3.64000e+01
583	5.83000e-02	7.01146e-01	3.39867e+01	3.66000e+01
584	5.84000e-02	7.01329e-01	3.41794e+01	3.68000e+01
585	5.85000e-02	7.01377e-01	3.43848e+01	3.70000e+01
586	5.86000e-02	7.01375e-01	3.45837e+01	3.72000e+01
587	5.87000e-02	7.01621e-01	3.47858e+01	3.74000e+01
588	5.88000e-02	7.01941e-01	3.49877e+01	3.76000e+01
589	5.89000e-02	7.02381e-01	3.51832e+01	3.78000e+01
590	5.90000e-02	7.02798e-01	3.53850e+01	3.80000e+01
591	5.91000e-02	7.03108e-01	3.55851e+01	3.82000e+01
592	5.92000e-02	7.03643e-01	3.57868e+01	3.84000e+01
593	5.93000e-02	7.04100e-01	3.59835e+01	3.86000e+01
594	5.94000e-02	7.04378e-01	3.61866e+01	3.88000e+01
595	5.95000e-02	7.04690e-01	3.63864e+01	3.90000e+01
596	5.96000e-02	7.05195e-01	3.65829e+01	3.92000e+01
597	5.97000e-02	7.05641e-01	3.67825e+01	3.94000e+01
598	5.98000e-02	7.06074e-01	3.69805e+01	3.96000e+01
599	5.99000e-02	7.06587e-01	3.71879e+01	3.98000e+01
600	6.00000e-02	7.07262e-01	3.73841e+01	4.00000e+01
601	6.01000e-02	7.07888e-01	3.75865e+01	4.02000e+01
602	6.02000e-02	7.08353e-01	3.77842e+01	4.04000e+01
603	6.03000e-02	7.08745e-01	3.79817e+01	4.06000e+01
604	6.04000e-02	7.09106e-01	3.81871e+01	4.08000e+01
