Index	t	Heat Flow	Ts	Tr
1	1.00000e-04	-1.13242e-03	-7.97452e+01	-7.98000e+01
2	2.00000e-04	-1.13250e-03	-7.97452e+01	-7.96000e+01
3	3.00000e-04	-1.25881e-03	-7.97385e+01	-7.94000e+01
4	4.00000e-04	-1.56203e-03	-7.97340e+01	-7.92000e+01
5	5.00000e-04	-2.00310e-03	-7.97160e+01	-7.90000e+01
6	6.00000e-04	-2.52015e-03	-7.97003e+01	-7.88000e+01
7	7.00000e-04	-3.00302e-03	-7.96891e+01	-7.86000e+01
8	8.00000e-04	-3.35776e-03	-7.96397e+01	-7.84000e+01
9	9.00000e-04	-3.53232e-03	-7.96038e+01	-7.82000e+01
10	1.00000e-03	-3.49022e-03	-7.95387e+01	-7.80000e+01
11	1.10000e-03	-3.23847e-03	-7.94737e+01	-7.78000e+01
12	1.20000e-03	-2.79919e-03	-7.93974e+01	-7.76000e+01
13	1.30000e-03	-2.11830e-03	-7.93033e+01	-7.74000e+01
14	1.40000e-03	-1.21350e-03	-7.92047e+01	-7.72000e+01
15	1.50000e-03	-6.03444e-05	-7.91040e+01	-7.70000e+01
16	1.60000e-03	1.36737e-03	-7.89875e+01	-7.68000e+01
17	1.70000e-03	3.08966e-03	-7.88600e+01	-7.66000e+01
18	1.80000e-03	5.24667e-03	-7.87303e+01	-7.64000e+01
19	1.90000e-03	7.76956e-03	-7.85985e+01	-7.62000e+01
20	2.00000e-03	1.08329e-02	-7.84556e+01	-7.60000e+01
21	2.10000e-03	1.44114e-02	-7.83105e+01	-7.58000e+01
22	2.20000e-03	1.85288e-02	-7.81610e+01	-7.56000e+01
23	2.30000e-03	2.33151e-02	-7.80028e+01	-7.54000e+01
24	2.40000e-03	2.87821e-02	-7.78401e+01	-7.52000e+01
25	2.50000e-03	3.49470e-02	-7.76843e+01	-7.50000e+01
26	2.60000e-03	4.19064e-02	-7.75175e+01	-7.48000e+01
27	2.70000e-03	4.96480e-02	-7.73485e+01	-7.46000e+01
28	2.80000e-03	5.82650e-02	-7.71664e+01	-7.44000e+01
29	2.90000e-03	6.77092e-02	-7.69999e+01	-7.42000e+01
30	3.00000e-03	7.78880e-02	-7.68247e+01	-7.40000e+01
31	3.10000e-03	8.87709e-02	-7.66407e+01	-7.38000e+01
32	3.20000e-03	1.00266e-01	-7.64591e+01	-7.36000e+01
33	3.30000e-03	1.12408e-01	-7.62821e+01	-7.34000e+01
34	3.40000e-03	1.25076e-01	-7.60875e+01	-7.32000e+01
35	3.50000e-03	1.38116e-01	-7.59019e+01	-7.30000e+01
36	3.60000e-03	1.51375e-01	-7.57143e+01	-7.28000e+01
37	3.70000e-03	1.64875e-01	-7.55201e+01	-7.26000e+01
38	3.80000e-03	1.78505e-01	-7.53306e+01	-7.24000e+01
39	3.90000e-03	1.92162e-01	-7.51390e+01	-7.22000e+01
40	4.00000e-03	2.05654e-01	-7.49475e+01	-7.20000e+01
41	4.10000e-03	2.18960e-01	-7.47562e+01	-7.18000e+01
42	4.20000e-03	2.31960e-01	-7.45541e+01	-7.16000e+01
43	4.30000e-03	2.44574e-01	-7.43653e+01	-7.14000e+01
44	4.40000e-03	2.56683e-01	-7.41657e+01	-7.12000e+01
45	4.50000e-03	2.68255e-01	-7.39685e+01	-7.10000e+01
46	4.60000e-03	2.79292e-01	-7.37714e+01	-7.08000e+01
47	4.70000e-03	2.89770e-01	-7.35745e+01	-7.06000e+01
48	4.80000e-03	2.99795e-01	-7.33821e+01	-7.04000e+01
