Index	t	Heat Flow	Ts	Tr
275	2.75000e-02	5.93023e-01	-2.76833e+01	-2.50000e+01
276	2.76000e-02	5.93473e-01	-2.74863e+01	-2.48000e+01
277	2.77000e-02	5.94005e-01	-2.72801e+01	-2.46000e+01
278	2.78000e-02	5.94418e-01	-2.70778e+01	-2.44000e+01
279	2.79000e-02	5.94980e-01	-2.68793e+01	-2.42000e+01
280	2.80000e-02	5.95644e-01	-2.66772e+01	-2.40000e+01
281	2.81000e-02	5.96169e-01	-2.64753e+01	-2.38000e+01
282	2.82000e-02	5.96657e-01	-2.62771e+01	-2.36000e+01
283	2.83000e-02	5.97036e-01	-2.60791e+01	-2.34000e+01
284	2.84000e-02	5.97508e-01	-2.58720e+01	-2.32000e+01
285	2.85000e-02	5.98101e-01	-2.56797e+01	-2.30000e+01
286	2.86000e-02	5.98626e-01	-2.54747e+01	-2.28000e+01
287	2.87000e-02	5.99389e-01	-2.52753e+01	-2.26000e+01
288	2.88000e-02	6.00107e-01	-2.50686e+01	-2.24000e+01
289	2.89000e-02	6.00953e-01	-2.48713e+01	-2.22000e+01
290	2.90000e-02	6.01650e-01	-2.46704e+01	-2.20000e+01
291	2.91000e-02	6.02363e-01	-2.44697e+01	-2.18000e+01
292	2.92000e-02	6.03129e-01	-2.42727e+01	-2.16000e+01
293	2.93000e-02	6.03864e-01	-2.40685e+01	-2.14000e+01
294	2.94000e-02	6.04491e-01	-2.38663e+01	-2.12000e+01
295	2.95000e-02	6.05093e-01	-2.36733e+01	-2.10000e+01
296	2.96000e-02	6.05622e-01	-2.34677e+01	-2.08000e+01
297	2.97000e-02	6.06084e-01	-2.32694e+01	-2.06000e+01
298	2.98000e-02	6.06451e-01	-2.30658e+01	-2.04000e+01
299	2.99000e-02	6.06808e-01	-2.28660e+01	-2.02000e+01
300	3.00000e-02	6.07294e-01	-2.26663e+01	-2.00000e+01
301	3.01000e-02	6.07742e-01	-2.24649e+01	-1.98000e+01
302	3.02000e-02	6.08152e-01	-2.22581e+01	-1.96000e+01
303	3.03000e-02	6.08317e-01	-2.20625e+01	-1.94000e+01
304	3.04000e-02	6.08601e-01	-2.18632e+01	-1.92000e+01
305	3.05000e-02	6.08855e-01	-2.16586e+01	-1.90000e+01
306	3.06000e-02	6.09280e-01	-2.14633e+01	-1.88000e+01
307	3.07000e-02	6.09832e-01	-2.12553e+01	-1.86000e+01
308	3.08000e-02	6.10462e-01	-2.10565e+01	-1.84000e+01
309	3.09000e-02	6.11000e-01	-2.08579e+01	-1.82000e+01
310	3.10000e-02	6.11463e-01	-2.06557e+01	-1.80000e+01
311	3.11000e-02	6.11994e-01	-2.04573e+01	-1.78000e+01
312	3.12000e-02	6.12526e-01	-2.02590e+01	-1.76000e+01
313	3.13000e-02	6.13034e-01	-2.00571e+01	-1.74000e+01
314	3.14000e-02	6.13543e-01	-1.98591e+01	-1.72000e+01
315	3.15000e-02	6.14018e-01	-1.96556e+01	-1.70000e+01
316	3.16000e-02	6.14436e-01	-1.94560e+01	-1.68000e+01
317	3.17000e-02	6.14737e-01	-1.92546e+01	-1.66000e+01
318	3.18000e-02	6.15150e-01	-1.90534e+01	-1.64000e+01
319	3.19000e-02	6.15696e-01	-1.88577e+01	-1.62000e+01
320	3.20000e-02	6.16297e-01	-1.86584e+01	-1.60000e+01
321	3.21000e-02	6.17055e-01	-1.84557e+01	-1.58000e+01
322	3.22000e-02	6.17754e-01	-1.82495e+01	-1.56000e+01
323	3.23000e-02	6.18521e-01	-1.80506e+01	-1.54000e+01
324	3.24000e-02	6.19153e-01	-1.78501e+01	-1.52000e+01
325	3.25000e-02	6.19748e-01	-1.76514e+01	-1.50000e+01
326	3.26000e-02	6.20299e-01	-1.74511e+01	-1.48000e+01
327	3.27000e-02	6.20803e-01	-1.72527e+01	-1.46000e+01
328	3.28000e-02	6.21346e-01	-1.70490e+01	-1.44000e+01
329	3.29000e-02	6.21964e-01	-1.68490e+01	-1.42000e+01
330	3.30000e-02	6.22690e-01	-1.66545e+01	-1.40000e+01
331	3.31000e-02	6.23339e-01	-1.64493e+01	-1.38000e+01
332	3.32000e-02	6.23981e-01	-1.62461e+01	-1.36000e+01
333	3.33000e-02	6.24479e-01	-1.60483e+01	-1.34000e+01
334	3.34000e-02	6.24964e-01	-1.58507e+01	-1.32000e+01
335	3.35000e-02	6.25395e-01	-1.56478e+01	-1.30000e+01
336	3.36000e-02	6.25721e-01	-1.54503e+01	-1.28000e+01
337	3.37000e-02	6.26024e-01	-1.52459e+01	-1.26000e+01
338	3.38000e-02	6.26480e-01	-1.50415e+01	-1.24000e+01
339	3.39000e-02	6.26889e-01	-1.48408e+01	-1.22000e+01
340	3.40000e-02	6.27215e-01	-1.46421e+01	-1.20000e+01
341	3.41000e-02	6.27495e-01	-1.44452e+01	-1.18000e+01
342	3.42000e-02	6.27928e-01	-1.42431e+01	-1.16000e+01
343	3.43000e-02	6.28366e-01	-1.40411e+01	-1.14000e+01
344	3.44000e-02	6.28677e-01	-1.38427e+01	-1.12000e+01
345	3.45000e-02	6.28896e-01	-1.36427e+01	-1.10000e+01
346	3.46000e-02	6.29420e-01	-1.34446e+01	-1.08000e+01
347	3.47000e-02	6.29874e-01	-1.32448e+01	-1.06000e+01
348	3.48000e-02	6.30384e-01	-1.30416e+01	-1.04000e+01
349	3.49000e-02	6.30855e-01	-1.28438e+01	-1.02000e+01
350	3.50000e-02	6.31455e-01	-1.26390e+01	-1.00000e+01
351	3.51000e-02	6.31924e-01	-1.24450e+01	-9.80000e+00
352	3.52000e-02	6.32389e-01	-1.22404e+01	-9.60000e+00
353	3.53000e-02	6.32914e-01	-1.20413e+01	-9.40001e+00
354	3.54000e-02	6.33248e-01	-1.18405e+01	-9.20000e+00
355	3.55000e-02	6.33392e-01	-1.16452e+01	-9.00001e+00
356	3.56000e-02	6.33507e-01	-1.14446e+01	-8.80000e+00
357	3.57000e-02	6.33651e-01	-1.12406e+01	-8.60000e+00
358	3.58000e-02	6.33855e-01	-1.10367e+01	-8.40000e+00
359	3.59000e-02	6.34374e-01	-1.08400e+01	-8.20000e+00
360	3.60000e-02	6.35021e-01	-1.06381e+01	-8.00000e+00
361	3.61000e-02	6.35738e-01	-1.04380e+01	-7.80000e+00
362	3.62000e-02	6.36263e-01	-1.02363e+01	-7.60000e+00
363	3.63000e-02	6.36834e-01	-1.00348e+01	-7.40000e+00
364	3.64000e-02	6.37414e-01	-9.83683e+00	-7.20001e+00
365	3.65000e-02	6.38002e-01	-9.63722e+00	-7.00000e+00
366	3.66000e-02	6.38589e-01	-9.43597e+00	-6.80001e+00
367	3.67000e-02	6.39108e-01	-9.23130e+00	-6.60000e+00
368	3.68000e-02	6.39700e-01	-9.03907e+00	-6.40000e+00
369	3.69000e-02	6.40310e-01	-8.83990e+00	-6.20000e+00
370	3.70000e-02	6.41030e-01	-8.63731e+00	-6.00000e+00
371	3.71000e-02	6.41811e-01	-8.43659e+00	-5.80000e+00
372	3.72000e-02	6.42561e-01	-8.23422e+00	-5.60000e+00
373	3.73000e-02	6.43320e-01	-8.03548e+00	-5.40000e+00
374	3.74000e-02	6.43864e-01	-7.83156e+00	-5.20000e+00
375	3.75000e-02	6.44132e-01	-7.62953e+00	-5.00000e+00
376	3.76000e-02	6.44326e-01	-7.42759e+00	-4.80000e+00
