Index	t	Heat Flow	Ts	Tr
176	1.76000e-02	5.33671e-01	-4.75754e+01	-4.48000e+01
177	1.77000e-02	5.34300e-01	-4.73733e+01	-4.46000e+01
178	1.78000e-02	5.34974e-01	-4.71733e+01	-4.44000e+01
179	1.79000e-02	5.35695e-01	-4.69655e+01	-4.42000e+01
180	1.80000e-02	5.36202e-01	-4.67618e+01	-4.40000e+01
181	1.81000e-02	5.36782e-01	-4.65623e+01	-4.38000e+01
182	1.82000e-02	5.37402e-01	-4.63609e+01	-4.36000e+01
183	1.83000e-02	5.38012e-01	-4.61616e+01	-4.34000e+01
184	1.84000e-02	5.38421e-01	-4.59584e+01	-4.32000e+01
185	1.85000e-02	5.38646e-01	-4.57574e+01	-4.30000e+01
186	1.86000e-02	5.39007e-01	-4.55586e+01	-4.28000e+01
187	1.87000e-02	5.39485e-01	-4.53559e+01	-4.26000e+01
188	1.88000e-02	5.39844e-01	-4.51553e+01	-4.24000e+01
189	1.89000e-02	5.40310e-01	-4.49529e+01	-4.22000e+01
190	1.90000e-02	5.40868e-01	-4.47486e+01	-4.20000e+01
191	1.91000e-02	5.41402e-01	-4.45504e+01	-4.18000e+01
192	1.92000e-02	5.41982e-01	-4.43464e+01	-4.16000e+01
193	1.93000e-02	5.42637e-01	-4.41387e+01	-4.14000e+01
194	1.94000e-02	5.43158e-01	-4.39429e+01	-4.12000e+01
195	1.95000e-02	5.43688e-01	-4.37413e+01	-4.10000e+01
196	1.96000e-02	5.44303e-01	-4.35359e+01	-4.08000e+01
197	1.97000e-02	5.44862e-01	-4.33365e+01	-4.06000e+01
198	1.98000e-02	5.45399e-01	-4.31334e+01	-4.04000e+01
199	1.99000e-02	5.45979e-01	-4.29382e+01	-4.02000e+01
200	2.00000e-02	5.46681e-01	-4.27354e+01	-4.00000e+01
201	2.01000e-02	5.47395e-01	-4.25346e+01	-3.98000e+01
202	2.02000e-02	5.48043e-01	-4.23300e+01	-3.96000e+01
203	2.03000e-02	5.48729e-01	-4.21315e+01	-3.94000e+01
204	2.04000e-02	5.49390e-01	-4.19253e+01	-3.92000e+01
