Index	t	Heat Flow	Ts	Tr
275	2.75000e-02	5.94046e-01	-2.74627e+01	-2.50000e+01
276	2.76000e-02	5.94495e-01	-2.72602e+01	-2.48000e+01
277	2.77000e-02	5.94938e-01	-2.70598e+01	-2.46000e+01
278	2.78000e-02	5.95419e-01	-2.68576e+01	-2.44000e+01
279	2.79000e-02	5.96011e-01	-2.66518e+01	-2.42000e+01
280	2.80000e-02	5.96537e-01	-2.64573e+01	-2.40000e+01
281	2.81000e-02	5.96979e-01	-2.62517e+01	-2.38000e+01
282	2.82000e-02	5.97483e-01	-2.60537e+01	-2.36000e+01
283	2.83000e-02	5.98156e-01	-2.58540e+01	-2.34000e+01
284	2.84000e-02	5.98955e-01	-2.56507e+01	-2.32000e+01
285	2.85000e-02	5.99801e-01	-2.54512e+01	-2.30000e+01
286	2.86000e-02	6.00622e-01	-2.52518e+01	-2.28000e+01
287	2.87000e-02	6.01127e-01	-2.50489e+01	-2.26000e+01
288	2.88000e-02	6.01632e-01	-2.48442e+01	-2.24000e+01
289	2.89000e-02	6.02041e-01	-2.46489e+01	-2.22000e+01
290	2.90000e-02	6.02369e-01	-2.44463e+01	-2.20000e+01
291	2.91000e-02	6.02621e-01	-2.42420e+01	-2.18000e+01
292	2.92000e-02	6.02904e-01	-2.40451e+01	-2.16000e+01
293	2.93000e-02	6.03269e-01	-2.38411e+01	-2.14000e+01
294	2.94000e-02	6.03827e-01	-2.36445e+01	-2.12000e+01
295	2.95000e-02	6.04459e-01	-2.34407e+01	-2.10000e+01
296	2.96000e-02	6.05292e-01	-2.32425e+01	-2.08000e+01
297	2.97000e-02	6.05977e-01	-2.30389e+01	-2.06000e+01
298	2.98000e-02	6.06498e-01	-2.28372e+01	-2.04000e+01
299	2.99000e-02	6.07081e-01	-2.26394e+01	-2.02000e+01
300	3.00000e-02	6.07616e-01	-2.24325e+01	-2.00000e+01
301	3.01000e-02	6.08192e-01	-2.22331e+01	-1.98000e+01
302	3.02000e-02	6.08774e-01	-2.20283e+01	-1.96000e+01
303	3.03000e-02	6.09417e-01	-2.18272e+01	-1.94000e+01
304	3.04000e-02	6.10202e-01	-2.16281e+01	-1.92000e+01
305	3.05000e-02	6.11008e-01	-2.14273e+01	-1.90000e+01
306	3.06000e-02	6.11704e-01	-2.12248e+01	-1.88000e+01
307	3.07000e-02	6.12319e-01	-2.10279e+01	-1.86000e+01
308	3.08000e-02	6.12827e-01	-2.08238e+01	-1.84000e+01
309	3.09000e-02	6.13473e-01	-2.06216e+01	-1.82000e+01
310	3.10000e-02	6.14186e-01	-2.04196e+01	-1.80000e+01
311	3.11000e-02	6.14793e-01	-2.02249e+01	-1.78000e+01
312	3.12000e-02	6.15492e-01	-2.00231e+01	-1.76000e+01
313	3.13000e-02	6.15933e-01	-1.98214e+01	-1.74000e+01
314	3.14000e-02	6.16341e-01	-1.96217e+01	-1.72000e+01
315	3.15000e-02	6.16881e-01	-1.94220e+01	-1.70000e+01
316	3.16000e-02	6.17387e-01	-1.92152e+01	-1.68000e+01
317	3.17000e-02	6.17958e-01	-1.90213e+01	-1.66000e+01
318	3.18000e-02	6.18575e-01	-1.88201e+01	-1.64000e+01
319	3.19000e-02	6.19088e-01	-1.86192e+01	-1.62000e+01
320	3.20000e-02	6.19485e-01	-1.84183e+01	-1.60000e+01
321	3.21000e-02	6.19917e-01	-1.82175e+01	-1.58000e+01
322	3.22000e-02	6.20277e-01	-1.80132e+01	-1.56000e+01
