Index	t	Heat Flow	Ts	Tr
1	1.00000e-04	-4.79640e-06	-7.97554e+01	-7.98000e+01
2	2.00000e-04	-4.38716e-04	-7.97442e+01	-7.96000e+01
3	3.00000e-04	-9.21552e-04	-7.97284e+01	-7.94000e+01
4	4.00000e-04	-1.40954e-03	-7.97060e+01	-7.92000e+01
5	5.00000e-04	-1.73329e-03	-7.96746e+01	-7.90000e+01
6	6.00000e-04	-1.93166e-03	-7.96230e+01	-7.88000e+01
7	7.00000e-04	-1.89416e-03	-7.95691e+01	-7.86000e+01
8	8.00000e-04	-1.60872e-03	-7.94996e+01	-7.84000e+01
9	9.00000e-04	-1.08892e-03	-7.94166e+01	-7.82000e+01
10	1.00000e-03	-3.11240e-04	-7.93292e+01	-7.80000e+01
11	1.10000e-03	7.89658e-04	-7.92283e+01	-7.78000e+01
12	1.20000e-03	2.15122e-03	-7.91163e+01	-7.76000e+01
13	1.30000e-03	3.87713e-03	-7.89955e+01	-7.74000e+01
14	1.40000e-03	5.98928e-03	-7.88747e+01	-7.72000e+01
15	1.50000e-03	8.53350e-03	-7.87383e+01	-7.70000e+01
16	1.60000e-03	1.15417e-02	-7.86086e+01	-7.68000e+01
17	1.70000e-03	1.50882e-02	-7.84590e+01	-7.66000e+01
18	1.80000e-03	1.91893e-02	-7.83072e+01	-7.64000e+01
19	1.90000e-03	2.39068e-02	-7.81667e+01	-7.62000e+01
20	2.00000e-03	2.93202e-02	-7.80084e+01	-7.60000e+01
21	2.10000e-03	3.55203e-02	-7.78458e+01	-7.58000e+01
22	2.20000e-03	4.24838e-02	-7.76877e+01	-7.56000e+01
23	2.30000e-03	5.02037e-02	-7.75120e+01	-7.54000e+01
24	2.40000e-03	5.87597e-02	-7.73408e+01	-7.52000e+01
25	2.50000e-03	6.80453e-02	-7.71764e+01	-7.50000e+01
26	2.60000e-03	7.81527e-02	-7.69967e+01	-7.48000e+01
27	2.70000e-03	8.89765e-02	-7.68170e+01	-7.46000e+01
28	2.80000e-03	1.00453e-01	-7.66353e+01	-7.44000e+01
29	2.90000e-03	1.12539e-01	-7.64492e+01	-7.42000e+01
30	3.00000e-03	1.25122e-01	-7.62678e+01	-7.40000e+01
31	3.10000e-03	1.38035e-01	-7.60799e+01	-7.38000e+01
32	3.20000e-03	1.51380e-01	-7.58965e+01	-7.36000e+01
33	3.30000e-03	1.64951e-01	-7.57000e+01	-7.34000e+01
34	3.40000e-03	1.78581e-01	-7.55103e+01	-7.32000e+01
35	3.50000e-03	1.92261e-01	-7.53208e+01	-7.30000e+01
36	3.60000e-03	2.05786e-01	-7.51204e+01	-7.28000e+01
37	3.70000e-03	2.19122e-01	-7.49377e+01	-7.26000e+01
38	3.80000e-03	2.32197e-01	-7.47398e+01	-7.24000e+01
39	3.90000e-03	2.45065e-01	-7.45421e+01	-7.22000e+01
40	4.00000e-03	2.57508e-01	-7.43468e+01	-7.20000e+01
41	4.10000e-03	2.69448e-01	-7.41494e+01	-7.18000e+01
42	4.20000e-03	2.80920e-01	-7.39543e+01	-7.16000e+01
43	4.30000e-03	2.91888e-01	-7.37529e+01	-7.14000e+01
44	4.40000e-03	3.02374e-01	-7.35625e+01	-7.12000e+01
45	4.50000e-03	3.12366e-01	-7.33592e+01	-7.10000e+01
46	4.60000e-03	3.21629e-01	-7.31605e+01	-7.08000e+01
47	4.70000e-03	3.30292e-01	-7.29619e+01	-7.06000e+01
48	4.80000e-03	3.38473e-01	-7.27634e+01	-7.04000e+01
49	4.90000e-03	3.46131e-01	-7.25651e+01	-7.02000e+01
50	5.00000e-03	3.53429e-01	-7.23714e+01	-7.00000e+01
51	5.10000e-03	3.60387e-01	-7.21669e+01	-6.98000e+01
52	5.20000e-03	3.67071e-01	-7.19669e+01	-6.96000e+01
