Index	t	Heat Flow	Ts	Tr
0	0.00000e+00	-8.46626e-05	-7.97542e+01	-8.00000e+01
1	1.00000e-04	-1.71073e-04	-7.97506e+01	-7.98000e+01
2	2.00000e-04	-2.04321e-04	-7.97529e+01	-7.96000e+01
3	3.00000e-04	-3.28330e-04	-7.97506e+01	-7.94000e+01
4	4.00000e-04	-6.25816e-04	-7.97461e+01	-7.92000e+01
5	5.00000e-04	-1.04765e-03	-7.97326e+01	-7.90000e+01
6	6.00000e-04	-1.55844e-03	-7.97147e+01	-7.88000e+01
7	7.00000e-04	-2.02653e-03	-7.96900e+01	-7.86000e+01
8	8.00000e-04	-2.34829e-03	-7.96518e+01	-7.84000e+01
9	9.00000e-04	-2.50415e-03	-7.96025e+01	-7.82000e+01
10	1.00000e-03	-2.46219e-03	-7.95509e+01	-7.80000e+01
11	1.10000e-03	-2.18953e-03	-7.94768e+01	-7.78000e+01
12	1.20000e-03	-1.64203e-03	-7.93984e+01	-7.76000e+01
13	1.30000e-03	-7.95184e-04	-7.93154e+01	-7.74000e+01
14	1.40000e-03	3.19815e-04	-7.92124e+01	-7.72000e+01
15	1.50000e-03	1.75103e-03	-7.91004e+01	-7.70000e+01
16	1.60000e-03	3.52872e-03	-7.89907e+01	-7.68000e+01
17	1.70000e-03	5.68798e-03	-7.88542e+01	-7.66000e+01
18	1.80000e-03	8.25255e-03	-7.87246e+01	-7.64000e+01
19	1.90000e-03	1.12959e-02	-7.85905e+01	-7.62000e+01
20	2.00000e-03	1.48979e-02	-7.84542e+01	-7.60000e+01
21	2.10000e-03	1.90625e-02	-7.82980e+01	-7.58000e+01
22	2.20000e-03	2.38510e-02	-7.81508e+01	-7.56000e+01
23	2.30000e-03	2.93001e-02	-7.79948e+01	-7.54000e+01
24	2.40000e-03	3.54590e-02	-7.78410e+01	-7.52000e+01
25	2.50000e-03	4.23896e-02	-7.76763e+01	-7.50000e+01
26	2.60000e-03	5.01723e-02	-7.75028e+01	-7.48000e+01
27	2.70000e-03	5.86893e-02	-7.73361e+01	-7.46000e+01
28	2.80000e-03	6.80094e-02	-7.71628e+01	-7.44000e+01
29	2.90000e-03	7.80825e-02	-7.69831e+01	-7.42000e+01
30	3.00000e-03	8.88010e-02	-7.68101e+01	-7.40000e+01
31	3.10000e-03	1.00222e-01	-7.66195e+01	-7.38000e+01
32	3.20000e-03	1.12203e-01	-7.64379e+01	-7.36000e+01
33	3.30000e-03	1.24747e-01	-7.62565e+01	-7.34000e+01
34	3.40000e-03	1.37742e-01	-7.60774e+01	-7.32000e+01
35	3.50000e-03	1.51073e-01	-7.58807e+01	-7.30000e+01
36	3.60000e-03	1.64600e-01	-7.56953e+01	-7.28000e+01
37	3.70000e-03	1.78313e-01	-7.55012e+01	-7.26000e+01
38	3.80000e-03	1.92016e-01	-7.53117e+01	-7.24000e+01
39	3.90000e-03	2.05640e-01	-7.51201e+01	-7.22000e+01
40	4.00000e-03	2.19130e-01	-7.49220e+01	-7.20000e+01
41	4.10000e-03	2.32344e-01	-7.47308e+01	-7.18000e+01
42	4.20000e-03	2.45186e-01	-7.45396e+01	-7.16000e+01
43	4.30000e-03	2.57715e-01	-7.43355e+01	-7.14000e+01
44	4.40000e-03	2.69675e-01	-7.41425e+01	-7.12000e+01
45	4.50000e-03	2.81104e-01	-7.39453e+01	-7.10000e+01
46	4.60000e-03	2.92024e-01	-7.37438e+01	-7.08000e+01
47	4.70000e-03	3.02447e-01	-7.35491e+01	-7.06000e+01
48	4.80000e-03	3.12320e-01	-7.33480e+01	-7.04000e+01
49	4.90000e-03	3.21715e-01	-7.31493e+01	-7.02000e+01
50	5.00000e-03	3.30565e-01	-7.29572e+01	-7.00000e+01
51	5.10000e-03	3.38926e-01	-7.27566e+01	-6.98000e+01
52	5.20000e-03	3.46664e-01	-7.25583e+01	-6.96000e+01
53	5.30000e-03	3.54143e-01	-7.23559e+01	-6.94000e+01
54	5.40000e-03	3.61271e-01	-7.21601e+01	-6.92000e+01
55	5.50000e-03	3.67969e-01	-7.19580e+01	-6.90000e+01
56	5.60000e-03	3.74207e-01	-7.17647e+01	-6.88000e+01
57	5.70000e-03	3.80045e-01	-7.15607e+01	-6.86000e+01
58	5.80000e-03	3.85517e-01	-7.13634e+01	-6.84000e+01
59	5.90000e-03	3.90695e-01	-7.11619e+01	-6.82000e+01
60	6.00000e-03	3.95664e-01	-7.09628e+01	-6.80000e+01
