Index	t	Heat Flow	Ts	Tr
176	1.76000e-02	5.35552e-01	-4.76147e+01	-4.48000e+01
177	1.77000e-02	5.35805e-01	-4.74165e+01	-4.46000e+01
178	1.78000e-02	5.36155e-01	-4.72165e+01	-4.44000e+01
179	1.79000e-02	5.36652e-01	-4.70127e+01	-4.42000e+01
180	1.80000e-02	5.37553e-01	-4.68090e+01	-4.40000e+01
181	1.81000e-02	5.38387e-01	-4.66094e+01	-4.38000e+01
182	1.82000e-02	5.39211e-01	-4.64040e+01	-4.36000e+01
183	1.83000e-02	5.39990e-01	-4.62046e+01	-4.34000e+01
184	1.84000e-02	5.40668e-01	-4.60015e+01	-4.32000e+01
185	1.85000e-02	5.41273e-01	-4.58005e+01	-4.30000e+01
186	1.86000e-02	5.41647e-01	-4.55976e+01	-4.28000e+01
187	1.87000e-02	5.41972e-01	-4.54028e+01	-4.26000e+01
188	1.88000e-02	5.42327e-01	-4.51943e+01	-4.24000e+01
189	1.89000e-02	5.42665e-01	-4.49977e+01	-4.22000e+01
190	1.90000e-02	5.43133e-01	-4.47974e+01	-4.20000e+01
191	1.91000e-02	5.43479e-01	-4.45893e+01	-4.18000e+01
192	1.92000e-02	5.43783e-01	-4.43893e+01	-4.16000e+01
193	1.93000e-02	5.44194e-01	-4.41932e+01	-4.14000e+01
194	1.94000e-02	5.44817e-01	-4.39876e+01	-4.12000e+01
195	1.95000e-02	5.45438e-01	-4.37859e+01	-4.10000e+01
196	1.96000e-02	5.46031e-01	-4.35923e+01	-4.08000e+01
197	1.97000e-02	5.46768e-01	-4.33851e+01	-4.06000e+01
198	1.98000e-02	5.47505e-01	-4.31878e+01	-4.04000e+01
199	1.99000e-02	5.48355e-01	-4.29867e+01	-4.02000e+01
200	2.00000e-02	5.49163e-01	-4.27799e+01	-4.00000e+01
201	2.01000e-02	5.49908e-01	-4.25810e+01	-3.98000e+01
202	2.02000e-02	5.50791e-01	-4.23765e+01	-3.96000e+01
203	2.03000e-02	5.51430e-01	-4.21720e+01	-3.94000e+01
204	2.04000e-02	5.52171e-01	-4.19736e+01	-3.92000e+01
205	2.05000e-02	5.52961e-01	-4.17772e+01	-3.90000e+01
206	2.06000e-02	5.53595e-01	-4.15712e+01	-3.88000e+01
207	2.07000e-02	5.54287e-01	-4.13712e+01	-3.86000e+01
208	2.08000e-02	5.54844e-01	-4.11675e+01	-3.84000e+01
209	2.09000e-02	5.55460e-01	-4.09716e+01	-3.82000e+01
210	2.10000e-02	5.56067e-01	-4.07662e+01	-3.80000e+01
211	2.11000e-02	5.56660e-01	-4.05687e+01	-3.78000e+01
212	2.12000e-02	5.57404e-01	-4.03635e+01	-3.76000e+01
213	2.13000e-02	5.58063e-01	-4.01624e+01	-3.74000e+01
214	2.14000e-02	5.58686e-01	-3.99556e+01	-3.72000e+01
215	2.15000e-02	5.59208e-01	-3.97605e+01	-3.70000e+01
216	2.16000e-02	5.59776e-01	-3.95597e+01	-3.68000e+01
217	2.17000e-02	5.60292e-01	-3.93553e+01	-3.66000e+01
218	2.18000e-02	5.60594e-01	-3.91567e+01	-3.64000e+01
219	2.19000e-02	5.61026e-01	-3.89564e+01	-3.62000e+01
220	2.20000e-02	5.61362e-01	-3.87523e+01	-3.60000e+01
221	2.21000e-02	5.61708e-01	-3.85580e+01	-3.58000e+01
222	2.22000e-02	5.62112e-01	-3.83522e+01	-3.56000e+01
223	2.23000e-02	5.62457e-01	-3.81505e+01	-3.54000e+01
224	2.24000e-02	5.62967e-01	-3.79527e+01	-3.52000e+01
225	2.25000e-02	5.63593e-01	-3.77416e+01	-3.50000e+01
226	2.26000e-02	5.64109e-01	-3.75460e+01	-3.48000e+01
227	2.27000e-02	5.64649e-01	-3.73371e+01	-3.46000e+01
228	2.28000e-02	5.65355e-01	-3.71399e+01	-3.44000e+01
229	2.29000e-02	5.66074e-01	-3.69389e+01	-3.42000e+01
230	2.30000e-02	5.66801e-01	-3.67476e+01	-3.40000e+01
231	2.31000e-02	5.67522e-01	-3.65354e+01	-3.38000e+01
232	2.32000e-02	5.68353e-01	-3.63349e+01	-3.36000e+01
233	2.33000e-02	5.69212e-01	-3.61325e+01	-3.34000e+01
234	2.34000e-02	5.70071e-01	-3.59284e+01	-3.32000e+01
235	2.35000e-02	5.70722e-01	-3.57358e+01	-3.30000e+01
236	2.36000e-02	5.71367e-01	-3.55339e+01	-3.28000e+01
237	2.37000e-02	5.71932e-01	-3.53282e+01	-3.26000e+01
238	2.38000e-02	5.72476e-01	-3.51322e+01	-3.24000e+01
239	2.39000e-02	5.73158e-01	-3.49249e+01	-3.22000e+01
240	2.40000e-02	5.73790e-01	-3.47273e+01	-3.20000e+01
241	2.41000e-02	5.74340e-01	-3.45278e+01	-3.18000e+01
242	2.42000e-02	5.74972e-01	-3.43209e+01	-3.16000e+01
243	2.43000e-02	5.75452e-01	-3.41199e+01	-3.14000e+01
244	2.44000e-02	5.75823e-01	-3.39246e+01	-3.12000e+01
245	2.45000e-02	5.76226e-01	-3.37200e+01	-3.10000e+01
246	2.46000e-02	5.76479e-01	-3.35212e+01	-3.08000e+01
247	2.47000e-02	5.76713e-01	-3.33169e+01	-3.06000e+01
248	2.48000e-02	5.77005e-01	-3.31145e+01	-3.04000e+01
249	2.49000e-02	5.77360e-01	-3.29161e+01	-3.02000e+01
250	2.50000e-02	5.77863e-01	-3.27178e+01	-3.00000e+01
251	2.51000e-02	5.78482e-01	-3.25178e+01	-2.98000e+01
252	2.52000e-02	5.79151e-01	-3.23178e+01	-2.96000e+01
253	2.53000e-02	5.79939e-01	-3.21124e+01	-2.94000e+01
254	2.54000e-02	5.80747e-01	-3.19089e+01	-2.92000e+01
255	2.55000e-02	5.81469e-01	-3.17150e+01	-2.90000e+01
256	2.56000e-02	5.82185e-01	-3.15118e+01	-2.88000e+01
257	2.57000e-02	5.82821e-01	-3.13125e+01	-2.86000e+01
258	2.58000e-02	5.83486e-01	-3.11171e+01	-2.84000e+01
259	2.59000e-02	5.84130e-01	-3.09086e+01	-2.82000e+01
260	2.60000e-02	5.84796e-01	-3.07078e+01	-2.80000e+01
261	2.61000e-02	5.85456e-01	-3.05071e+01	-2.78000e+01
262	2.62000e-02	5.86153e-01	-3.03065e+01	-2.76000e+01
263	2.63000e-02	5.86863e-01	-3.01023e+01	-2.74000e+01
264	2.64000e-02	5.87532e-01	-2.99001e+01	-2.72000e+01
265	2.65000e-02	5.88017e-01	-2.96943e+01	-2.70000e+01
266	2.66000e-02	5.88443e-01	-2.95017e+01	-2.68000e+01
267	2.67000e-02	5.88949e-01	-2.93018e+01	-2.66000e+01
268	2.68000e-02	5.89597e-01	-2.90963e+01	-2.64000e+01
269	2.69000e-02	5.90156e-01	-2.88929e+01	-2.62000e+01
270	2.70000e-02	5.90870e-01	-2.86970e+01	-2.60000e+01
271	2.71000e-02	5.91629e-01	-2.84920e+01	-2.58000e+01
272	2.72000e-02	5.92209e-01	-2.82945e+01	-2.56000e+01
273	2.73000e-02	5.92748e-01	-2.80915e+01	-2.54000e+01
274	2.74000e-02	5.93212e-01	-2.78887e+01	-2.52000e+01
275	2.75000e-02	5.93641e-01	-2.76916e+01	-2.50000e+01
276	2.76000e-02	5.93972e-01	-2.74909e+01	-2.48000e+01
277	2.77000e-02	5.94490e-01	-2.72884e+01	-2.46000e+01
278	2.78000e-02	5.94969e-01	-2.70898e+01	-2.44000e+01
279	2.79000e-02	5.95478e-01	-2.68839e+01	-2.42000e+01
280	2.80000e-02	5.96086e-01	-2.66855e+01	-2.40000e+01
281	2.81000e-02	5.96686e-01	-2.64836e+01	-2.38000e+01
282	2.82000e-02	5.97277e-01	-2.62854e+01	-2.36000e+01
283	2.83000e-02	5.97949e-01	-2.60892e+01	-2.34000e+01
284	2.84000e-02	5.98519e-01	-2.58821e+01	-2.32000e+01
285	2.85000e-02	5.99187e-01	-2.56843e+01	-2.30000e+01
286	2.86000e-02	5.99823e-01	-2.54811e+01	-2.28000e+01
287	2.87000e-02	6.00432e-01	-2.52798e+01	-2.26000e+01
288	2.88000e-02	6.01234e-01	-2.50787e+01	-2.24000e+01
289	2.89000e-02	6.01767e-01	-2.48777e+01	-2.22000e+01
290	2.90000e-02	6.02302e-01	-2.46768e+01	-2.20000e+01
291	2.91000e-02	6.02875e-01	-2.44761e+01	-2.18000e+01
292	2.92000e-02	6.03521e-01	-2.42773e+01	-2.16000e+01
293	2.93000e-02	6.04133e-01	-2.40712e+01	-2.14000e+01
294	2.94000e-02	6.04721e-01	-2.38708e+01	-2.12000e+01
295	2.95000e-02	6.05226e-01	-2.36705e+01	-2.10000e+01
296	2.96000e-02	6.05740e-01	-2.34704e+01	-2.08000e+01
297	2.97000e-02	6.06189e-01	-2.32703e+01	-2.06000e+01
298	2.98000e-02	6.06613e-01	-2.30667e+01	-2.04000e+01
299	2.99000e-02	6.07210e-01	-2.28651e+01	-2.02000e+01
300	3.00000e-02	6.07762e-01	-2.26654e+01	-2.00000e+01
301	3.01000e-02	6.08135e-01	-2.24658e+01	-1.98000e+01
302	3.02000e-02	6.08486e-01	-2.22627e+01	-1.96000e+01
303	3.03000e-02	6.08890e-01	-2.20615e+01	-1.94000e+01
304	3.04000e-02	6.09346e-01	-2.18586e+01	-1.92000e+01
305	3.05000e-02	6.09943e-01	-2.16595e+01	-1.90000e+01
306	3.06000e-02	6.10602e-01	-2.14569e+01	-1.88000e+01
307	3.07000e-02	6.11273e-01	-2.12598e+01	-1.86000e+01
308	3.08000e-02	6.11933e-01	-2.10556e+01	-1.84000e+01
309	3.09000e-02	6.12336e-01	-2.08587e+01	-1.82000e+01
310	3.10000e-02	6.12710e-01	-2.06602e+01	-1.80000e+01
311	3.11000e-02	6.13101e-01	-2.04581e+01	-1.78000e+01
312	3.12000e-02	6.13617e-01	-2.02580e+01	-1.76000e+01
313	3.13000e-02	6.14196e-01	-2.00544e+01	-1.74000e+01
314	3.14000e-02	6.14812e-01	-1.98527e+01	-1.72000e+01
315	3.15000e-02	6.15321e-01	-1.96565e+01	-1.70000e+01
316	3.16000e-02	6.15793e-01	-1.94550e+01	-1.68000e+01
317	3.17000e-02	6.16138e-01	-1.92537e+01	-1.66000e+01
318	3.18000e-02	6.16395e-01	-1.90524e+01	-1.64000e+01
319	3.19000e-02	6.16816e-01	-1.88549e+01	-1.62000e+01
320	3.20000e-02	6.17274e-01	-1.86521e+01	-1.60000e+01
321	3.21000e-02	6.17800e-01	-1.84512e+01	-1.58000e+01
322	3.22000e-02	6.18552e-01	-1.82522e+01	-1.56000e+01
323	3.23000e-02	6.19153e-01	-1.80479e+01	-1.54000e+01
324	3.24000e-02	6.19688e-01	-1.78509e+01	-1.52000e+01
325	3.25000e-02	6.20335e-01	-1.76487e+01	-1.50000e+01
326	3.26000e-02	6.20901e-01	-1.74502e+01	-1.48000e+01
327	3.27000e-02	6.21513e-01	-1.72463e+01	-1.46000e+01
328	3.28000e-02	6.22085e-01	-1.70444e+01	-1.44000e+01
329	3.29000e-02	6.22705e-01	-1.68498e+01	-1.42000e+01
330	3.30000e-02	6.23294e-01	-1.66463e+01	-1.40000e+01
331	3.31000e-02	6.23701e-01	-1.64430e+01	-1.38000e+01
332	3.32000e-02	6.23958e-01	-1.62433e+01	-1.36000e+01
333	3.33000e-02	6.24080e-01	-1.60438e+01	-1.34000e+01
334	3.34000e-02	6.24217e-01	-1.58461e+01	-1.32000e+01
335	3.35000e-02	6.24388e-01	-1.56432e+01	-1.30000e+01
336	3.36000e-02	6.24798e-01	-1.54368e+01	-1.28000e+01
