Index	t	Heat Flow	Ts	Tr
374	3.74000e-02	6.39138e-01	-7.81835e+00	-5.20000e+00
375	3.75000e-02	6.39665e-01	-7.61280e+00	-5.00000e+00
376	3.76000e-02	6.40101e-01	-7.41614e+00	-4.80000e+00
377	3.77000e-02	6.40460e-01	-7.21432e+00	-4.60001e+00
378	3.78000e-02	6.40720e-01	-7.00734e+00	-4.40000e+00
379	3.79000e-02	6.40957e-01	-6.81450e+00	-4.20000e+00
380	3.80000e-02	6.41301e-01	-6.61475e+00	-4.00000e+00
381	3.81000e-02	6.41569e-01	-6.41161e+00	-3.80000e+00
382	3.82000e-02	6.41882e-01	-6.21382e+00	-3.60000e+00
383	3.83000e-02	6.42311e-01	-6.01264e+00	-3.40000e+00
384	3.84000e-02	6.42633e-01	-5.81156e+00	-3.20000e+00
385	3.85000e-02	6.42946e-01	-5.61408e+00	-3.00000e+00
386	3.86000e-02	6.43413e-01	-5.40798e+00	-2.80000e+00
387	3.87000e-02	6.43719e-01	-5.21071e+00	-2.60000e+00
388	3.88000e-02	6.43996e-01	-5.01354e+00	-2.40000e+00
389	3.89000e-02	6.44394e-01	-4.80777e+00	-2.20000e+00
390	3.90000e-02	6.44701e-01	-4.60558e+00	-2.00000e+00
391	3.91000e-02	6.45192e-01	-4.40349e+00	-1.80000e+00
392	3.92000e-02	6.45575e-01	-4.20501e+00	-1.60000e+00
393	3.93000e-02	6.46052e-01	-4.01010e+00	-1.40000e+00
394	3.94000e-02	6.46457e-01	-3.80659e+00	-1.20000e+00
395	3.95000e-02	6.46995e-01	-3.60319e+00	-1.00000e+00
396	3.96000e-02	6.47379e-01	-3.40511e+00	-8.00000e-01
397	3.97000e-02	6.47996e-01	-3.20539e+00	-6.00004e-01
398	3.98000e-02	6.48735e-01	-3.00058e+00	-4.00001e-01
399	3.99000e-02	6.49326e-01	-2.80627e+00	-2.00005e-01
400	4.00000e-02	6.49889e-01	-2.60166e+00	-1.56366e-06
401	4.01000e-02	6.50150e-01	-2.40236e+00	2.00002e-01
402	4.02000e-02	6.50466e-01	-2.20316e+00	3.99998e-01
403	4.03000e-02	6.50975e-01	-2.00406e+00	6.00001e-01
404	4.04000e-02	6.51539e-01	-1.79988e+00	7.99997e-01
405	4.05000e-02	6.52054e-01	-1.60098e+00	1.00000e+00
406	4.06000e-02	6.52448e-01	-1.40046e+00	1.20000e+00
407	4.07000e-02	6.52696e-01	-1.20178e+00	1.40000e+00
408	4.08000e-02	6.52819e-01	-1.00491e+00	1.60000e+00
409	4.09000e-02	6.53059e-01	-8.01244e-01	1.80000e+00
410	4.10000e-02	6.53343e-01	-5.97685e-01	1.99999e+00
411	4.11000e-02	6.53551e-01	-4.02844e-01	2.20000e+00
412	4.12000e-02	6.53845e-01	-1.97769e-01	2.40000e+00
413	4.13000e-02	6.54085e-01	2.03519e-03	2.60000e+00
414	4.14000e-02	6.54316e-01	2.00024e-01	2.80000e+00
415	4.15000e-02	6.54773e-01	4.01344e-01	3.00000e+00
416	4.16000e-02	6.55166e-01	5.99127e-01	3.20000e+00
417	4.17000e-02	6.55499e-01	7.98536e-01	3.40000e+00
418	4.18000e-02	6.55909e-01	9.99552e-01	3.60000e+00
419	4.19000e-02	6.56225e-01	1.19704e+00	3.80000e+00
420	4.20000e-02	6.56612e-01	1.39786e+00	4.00000e+00
421	4.21000e-02	6.57082e-01	1.60029e+00	4.20000e+00
422	4.22000e-02	6.57525e-01	1.79577e+00	4.40000e+00
423	4.23000e-02	6.58113e-01	2.00143e+00	4.60000e+00
424	4.24000e-02	6.58563e-01	2.20013e+00	4.80000e+00
425	4.25000e-02	6.59004e-01	2.40216e+00	5.00000e+00
426	4.26000e-02	6.59391e-01	2.59895e+00	5.20000e+00
427	4.27000e-02	6.59825e-01	2.79906e+00	5.40000e+00
428	4.28000e-02	6.60222e-01	2.99908e+00	5.60000e+00
429	4.29000e-02	6.60494e-01	3.19900e+00	5.80000e+00
430	4.30000e-02	6.60704e-01	3.40394e+00	6.00000e+00
431	4.31000e-02	6.60973e-01	3.59854e+00	6.20000e+00
432	4.32000e-02	6.61308e-01	3.80157e+00	6.39999e+00
433	4.33000e-02	6.61750e-01	4.00280e+00	6.60000e+00
434	4.34000e-02	6.62068e-01	4.20563e+00	6.79999e+00
435	4.35000e-02	6.62332e-01	4.40836e+00	7.00000e+00
436	4.36000e-02	6.62557e-01	4.60247e+00	7.20000e+00
437	4.37000e-02	6.63014e-01	4.80330e+00	7.40000e+00
438	4.38000e-02	6.63514e-01	5.00573e+00	7.60000e+00
439	4.39000e-02	6.64128e-01	5.20296e+00	7.80000e+00
440	4.40000e-02	6.64852e-01	5.40520e+00	8.00000e+00
441	4.41000e-02	6.65412e-01	5.60732e+00	8.20000e+00
442	4.42000e-02	6.65715e-01	5.81105e+00	8.40000e+00
443	4.43000e-02	6.65943e-01	6.00620e+00	8.59999e+00
444	4.44000e-02	6.66035e-01	6.20803e+00	8.80000e+00
445	4.45000e-02	6.66457e-01	6.40638e+00	8.99999e+00
446	4.46000e-02	6.66924e-01	6.61141e+00	9.20000e+00
447	4.47000e-02	6.67525e-01	6.80956e+00	9.40000e+00
448	4.48000e-02	6.67954e-01	7.00931e+00	9.60000e+00
449	4.49000e-02	6.68249e-01	7.21065e+00	9.80000e+00
450	4.50000e-02	6.68719e-01	7.41189e+00	1.00000e+01
451	4.51000e-02	6.69110e-01	7.60966e+00	1.02000e+01
452	4.52000e-02	6.69539e-01	7.81578e+00	1.04000e+01
453	4.53000e-02	6.69836e-01	8.01335e+00	1.06000e+01
454	4.54000e-02	6.70030e-01	8.20915e+00	1.08000e+01
455	4.55000e-02	6.70366e-01	8.40991e+00	1.10000e+01
456	4.56000e-02	6.70647e-01	8.61563e+00	1.12000e+01
457	4.57000e-02	6.71070e-01	8.81114e+00	1.14000e+01
458	4.58000e-02	6.71546e-01	9.01498e+00	1.16000e+01
459	4.59000e-02	6.71915e-01	9.21367e+00	1.18000e+01
460	4.60000e-02	6.72330e-01	9.41395e+00	1.20000e+01
461	4.61000e-02	6.72816e-01	9.61749e+00	1.22000e+01
462	4.62000e-02	6.73245e-01	9.81253e+00	1.24000e+01
463	4.63000e-02	6.73770e-01	1.00108e+01	1.26000e+01
464	4.64000e-02	6.74124e-01	1.02158e+01	1.28000e+01
465	4.65000e-02	6.74491e-01	1.04139e+01	1.30000e+01
466	4.66000e-02	6.74907e-01	1.06153e+01	1.32000e+01
467	4.67000e-02	6.75261e-01	1.08149e+01	1.34000e+01
468	4.68000e-02	6.75606e-01	1.10144e+01	1.36000e+01
469	4.69000e-02	6.76014e-01	1.12172e+01	1.38000e+01
470	4.70000e-02	6.76390e-01	1.14165e+01	1.40000e+01
471	4.71000e-02	6.76719e-01	1.16124e+01	1.42000e+01
472	4.72000e-02	6.77184e-01	1.18166e+01	1.44000e+01
473	4.73000e-02	6.77694e-01	1.20123e+01	1.46000e+01
474	4.74000e-02	6.78032e-01	1.22179e+01	1.48000e+01
475	4.75000e-02	6.78489e-01	1.24184e+01	1.50000e+01
476	4.76000e-02	6.78873e-01	1.26155e+01	1.52000e+01
477	4.77000e-02	6.79346e-01	1.28108e+01	1.54000e+01
478	4.78000e-02	6.79637e-01	1.30194e+01	1.56000e+01
479	4.79000e-02	6.79991e-01	1.32229e+01	1.58000e+01
480	4.80000e-02	6.80361e-01	1.34230e+01	1.60000e+01
481	4.81000e-02	6.80921e-01	1.36229e+01	1.62000e+01
482	4.82000e-02	6.81369e-01	1.38228e+01	1.64000e+01
483	4.83000e-02	6.81700e-01	1.40209e+01	1.66000e+01
484	4.84000e-02	6.82102e-01	1.42256e+01	1.68000e+01
485	4.85000e-02	6.82481e-01	1.44202e+01	1.70000e+01
486	4.86000e-02	6.82867e-01	1.46263e+01	1.72000e+01
487	4.87000e-02	6.83032e-01	1.48241e+01	1.74000e+01
488	4.88000e-02	6.83134e-01	1.50251e+01	1.76000e+01
489	4.89000e-02	6.83267e-01	1.52276e+01	1.78000e+01
490	4.90000e-02	6.83678e-01	1.54284e+01	1.80000e+01
491	4.91000e-02	6.84079e-01	1.56274e+01	1.82000e+01
492	4.92000e-02	6.84516e-01	1.58280e+01	1.84000e+01
493	4.93000e-02	6.84988e-01	1.60285e+01	1.86000e+01
494	4.94000e-02	6.85454e-01	1.62256e+01	1.88000e+01
495	4.95000e-02	6.86014e-01	1.64309e+01	1.90000e+01
496	4.96000e-02	6.86394e-01	1.66262e+01	1.92000e+01
497	4.97000e-02	6.86749e-01	1.68247e+01	1.94000e+01
498	4.98000e-02	6.87305e-01	1.70280e+01	1.96000e+01
499	4.99000e-02	6.87803e-01	1.72263e+01	1.98000e+01
500	5.00000e-02	6.88166e-01	1.74295e+01	2.00000e+01
501	5.01000e-02	6.88651e-01	1.76243e+01	2.02000e+01
502	5.02000e-02	6.89157e-01	1.78273e+01	2.04000e+01
503	5.03000e-02	6.89783e-01	1.80302e+01	2.06000e+01
504	5.04000e-02	6.90330e-01	1.82264e+01	2.08000e+01
505	5.05000e-02	6.90624e-01	1.84275e+01	2.10000e+01
506	5.06000e-02	6.90894e-01	1.86301e+01	2.12000e+01
507	5.07000e-02	6.91290e-01	1.88293e+01	2.14000e+01
508	5.08000e-02	6.91521e-01	1.90252e+01	2.16000e+01
509	5.09000e-02	6.91765e-01	1.92292e+01	2.18000e+01
510	5.10000e-02	6.92100e-01	1.94298e+01	2.20000e+01
