Index	t	Heat Flow	Ts	Tr
596	5.96000e-02	7.23852e-01	3.70466e+01	3.92000e+01
597	5.97000e-02	7.24011e-01	3.72460e+01	3.94000e+01
598	5.98000e-02	7.24150e-01	3.74469e+01	3.96000e+01
599	5.99000e-02	7.24433e-01	3.76462e+01	3.98000e+01
600	6.00000e-02	7.24896e-01	3.78454e+01	4.00000e+01
601	6.01000e-02	7.25473e-01	3.80477e+01	4.02000e+01
602	6.02000e-02	7.25984e-01	3.82467e+01	4.04000e+01
603	6.03000e-02	7.26652e-01	3.84473e+01	4.06000e+01
604	6.04000e-02	7.27212e-01	3.86477e+01	4.08000e+01
605	6.05000e-02	7.27699e-01	3.88481e+01	4.10000e+01
606	6.06000e-02	7.28064e-01	3.90500e+01	4.12000e+01
607	6.07000e-02	7.28349e-01	3.92486e+01	4.14000e+01
608	6.08000e-02	7.28706e-01	3.94503e+01	4.16000e+01
609	6.09000e-02	7.29147e-01	3.96488e+01	4.18000e+01
610	6.10000e-02	7.29613e-01	3.98535e+01	4.20000e+01
611	6.11000e-02	7.29806e-01	4.00533e+01	4.22000e+01
612	6.12000e-02	7.30010e-01	4.02532e+01	4.24000e+01
613	6.13000e-02	7.30386e-01	4.04560e+01	4.26000e+01
614	6.14000e-02	7.30744e-01	4.06557e+01	4.28000e+01
615	6.15000e-02	7.31037e-01	4.08552e+01	4.30000e+01
616	6.16000e-02	7.31355e-01	4.10547e+01	4.32000e+01
617	6.17000e-02	7.31778e-01	4.12526e+01	4.34000e+01
618	6.18000e-02	7.32284e-01	4.14550e+01	4.36000e+01
619	6.19000e-02	7.32707e-01	4.16512e+01	4.38000e+01
620	6.20000e-02	7.33066e-01	4.18550e+01	4.40000e+01
621	6.21000e-02	7.33573e-01	4.20573e+01	4.42000e+01
622	6.22000e-02	7.33991e-01	4.22532e+01	4.44000e+01
623	6.23000e-02	7.34309e-01	4.24552e+01	4.46000e+01
624	6.24000e-02	7.34520e-01	4.26572e+01	4.48000e+01
625	6.25000e-02	7.34682e-01	4.28560e+01	4.50000e+01
626	6.26000e-02	7.34920e-01	4.30563e+01	4.52000e+01
627	6.27000e-02	7.35263e-01	4.32565e+01	4.54000e+01
628	6.28000e-02	7.35720e-01	4.34534e+01	4.56000e+01
629	6.29000e-02	7.36201e-01	4.36582e+01	4.58000e+01
630	6.30000e-02	7.36767e-01	4.38550e+01	4.60000e+01
631	6.31000e-02	7.37053e-01	4.40549e+01	4.62000e+01
632	6.32000e-02	7.37322e-01	4.42547e+01	4.64000e+01
633	6.33000e-02	7.37584e-01	4.44575e+01	4.66000e+01
634	6.34000e-02	7.37861e-01	4.46540e+01	4.68000e+01
635	6.35000e-02	7.38231e-01	4.48583e+01	4.70000e+01
636	6.36000e-02	7.38633e-01	4.50562e+01	4.72000e+01
637	6.37000e-02	7.38935e-01	4.52587e+01	4.74000e+01
638	6.38000e-02	7.39286e-01	4.54565e+01	4.76000e+01
639	6.39000e-02	7.39655e-01	4.56558e+01	4.78000e+01
640	6.40000e-02	7.40033e-01	4.58580e+01	4.80000e+01
641	6.41000e-02	7.40509e-01	4.60587e+01	4.82000e+01
642	6.42000e-02	7.40845e-01	4.62608e+01	4.84000e+01
643	6.43000e-02	7.41370e-01	4.64613e+01	4.86000e+01
644	6.44000e-02	7.41936e-01	4.66633e+01	4.88000e+01
645	6.45000e-02	7.42412e-01	4.68574e+01	4.90000e+01
646	6.46000e-02	7.42772e-01	4.70593e+01	4.92000e+01
647	6.47000e-02	7.42854e-01	4.72579e+01	4.94000e+01
648	6.48000e-02	7.43035e-01	4.74611e+01	4.96000e+01
649	6.49000e-02	7.43088e-01	4.76612e+01	4.98000e+01
650	6.50000e-02	7.43312e-01	4.78580e+01	5.00000e+01
651	6.51000e-02	7.43755e-01	4.80626e+01	5.02000e+01
652	6.52000e-02	7.44448e-01	4.82655e+01	5.04000e+01
653	6.53000e-02	7.44923e-01	4.84683e+01	5.06000e+01
654	6.54000e-02	7.45203e-01	4.86602e+01	5.08000e+01
655	6.55000e-02	7.45574e-01	4.88645e+01	5.10000e+01
656	6.56000e-02	7.45811e-01	4.90640e+01	5.12000e+01
657	6.57000e-02	7.46075e-01	4.92618e+01	5.14000e+01
658	6.58000e-02	7.46346e-01	4.94658e+01	5.16000e+01
