Index	t	Heat Flow	Ts	Tr
3	3.00000e-04	-3.88694e-04	-7.97125e+01	-7.94000e+01
4	4.00000e-04	-8.54295e-04	-7.96901e+01	-7.92000e+01
5	5.00000e-04	-1.21963e-03	-7.96542e+01	-7.90000e+01
6	6.00000e-04	-1.40227e-03	-7.96070e+01	-7.88000e+01
7	7.00000e-04	-1.37988e-03	-7.95532e+01	-7.86000e+01
8	8.00000e-04	-1.13913e-03	-7.94859e+01	-7.84000e+01
9	9.00000e-04	-6.47348e-04	-7.94029e+01	-7.82000e+01
10	1.00000e-03	9.38451e-05	-7.93178e+01	-7.80000e+01
11	1.10000e-03	1.11862e-03	-7.92169e+01	-7.78000e+01
12	1.20000e-03	2.42738e-03	-7.91049e+01	-7.76000e+01
13	1.30000e-03	4.08200e-03	-7.89930e+01	-7.74000e+01
14	1.40000e-03	6.13406e-03	-7.88722e+01	-7.72000e+01
15	1.50000e-03	8.62097e-03	-7.87336e+01	-7.70000e+01
16	1.60000e-03	1.15636e-02	-7.86040e+01	-7.68000e+01
17	1.70000e-03	1.50408e-02	-7.84543e+01	-7.66000e+01
18	1.80000e-03	1.91196e-02	-7.83115e+01	-7.64000e+01
19	1.90000e-03	2.38651e-02	-7.81598e+01	-7.62000e+01
20	2.00000e-03	2.93142e-02	-7.80037e+01	-7.60000e+01
21	2.10000e-03	3.54459e-02	-7.78456e+01	-7.58000e+01
22	2.20000e-03	4.23566e-02	-7.76831e+01	-7.56000e+01
23	2.30000e-03	5.00948e-02	-7.75140e+01	-7.54000e+01
24	2.40000e-03	5.86253e-02	-7.73406e+01	-7.52000e+01
25	2.50000e-03	6.79401e-02	-7.71740e+01	-7.50000e+01
26	2.60000e-03	7.79384e-02	-7.69920e+01	-7.48000e+01
27	2.70000e-03	8.86433e-02	-7.68190e+01	-7.46000e+01
28	2.80000e-03	1.00128e-01	-7.66351e+01	-7.44000e+01
29	2.90000e-03	1.12221e-01	-7.64535e+01	-7.42000e+01
30	3.00000e-03	1.24895e-01	-7.62742e+01	-7.40000e+01
31	3.10000e-03	1.38072e-01	-7.60819e+01	-7.38000e+01
32	3.20000e-03	1.51577e-01	-7.58941e+01	-7.36000e+01
33	3.30000e-03	1.65313e-01	-7.57064e+01	-7.34000e+01
34	3.40000e-03	1.79203e-01	-7.55189e+01	-7.32000e+01
35	3.50000e-03	1.93065e-01	-7.53272e+01	-7.30000e+01
36	3.60000e-03	2.06836e-01	-7.51334e+01	-7.28000e+01
37	3.70000e-03	2.20265e-01	-7.49397e+01	-7.26000e+01
38	3.80000e-03	2.33400e-01	-7.47440e+01	-7.24000e+01
39	3.90000e-03	2.46195e-01	-7.45485e+01	-7.22000e+01
40	4.00000e-03	2.58558e-01	-7.43488e+01	-7.20000e+01
41	4.10000e-03	2.70495e-01	-7.41536e+01	-7.18000e+01
42	4.20000e-03	2.81901e-01	-7.39563e+01	-7.16000e+01
