Index	t	Heat Flow	Ts	Tr
176	1.76000e-02	5.32516e-01	-4.68039e+01	-4.48000e+01
177	1.77000e-02	5.33286e-01	-4.66082e+01	-4.46000e+01
178	1.78000e-02	5.34054e-01	-4.64048e+01	-4.44000e+01
179	1.79000e-02	5.34838e-01	-4.62055e+01	-4.42000e+01
180	1.80000e-02	5.35588e-01	-4.60043e+01	-4.40000e+01
181	1.81000e-02	5.36487e-01	-4.58013e+01	-4.38000e+01
182	1.82000e-02	5.37272e-01	-4.56004e+01	-4.36000e+01
183	1.83000e-02	5.38025e-01	-4.53977e+01	-4.34000e+01
184	1.84000e-02	5.38798e-01	-4.51932e+01	-4.32000e+01
185	1.85000e-02	5.39559e-01	-4.49927e+01	-4.30000e+01
186	1.86000e-02	5.40221e-01	-4.47963e+01	-4.28000e+01
187	1.87000e-02	5.40968e-01	-4.45921e+01	-4.26000e+01
188	1.88000e-02	5.41559e-01	-4.43940e+01	-4.24000e+01
189	1.89000e-02	5.42104e-01	-4.41902e+01	-4.22000e+01
190	1.90000e-02	5.42641e-01	-4.39884e+01	-4.20000e+01
191	1.91000e-02	5.43080e-01	-4.37888e+01	-4.18000e+01
192	1.92000e-02	5.43652e-01	-4.35794e+01	-4.16000e+01
193	1.93000e-02	5.44043e-01	-4.33859e+01	-4.14000e+01
194	1.94000e-02	5.44205e-01	-4.31867e+01	-4.12000e+01
195	1.95000e-02	5.44524e-01	-4.29836e+01	-4.10000e+01
196	1.96000e-02	5.44780e-01	-4.27807e+01	-4.08000e+01
197	1.97000e-02	5.45170e-01	-4.25838e+01	-4.06000e+01
198	1.98000e-02	5.45447e-01	-4.23792e+01	-4.04000e+01
199	1.99000e-02	5.45929e-01	-4.21807e+01	-4.02000e+01
200	2.00000e-02	5.46678e-01	-4.19744e+01	-4.00000e+01
201	2.01000e-02	5.47528e-01	-4.17741e+01	-3.98000e+01
202	2.02000e-02	5.48279e-01	-4.15760e+01	-3.96000e+01
203	2.03000e-02	5.48945e-01	-4.13759e+01	-3.94000e+01
204	2.04000e-02	5.49606e-01	-4.11683e+01	-3.92000e+01
205	2.05000e-02	5.50279e-01	-4.09705e+01	-3.90000e+01
206	2.06000e-02	5.50927e-01	-4.07670e+01	-3.88000e+01
207	2.07000e-02	5.51466e-01	-4.05695e+01	-3.86000e+01
208	2.08000e-02	5.51994e-01	-4.03702e+01	-3.84000e+01
209	2.09000e-02	5.52372e-01	-4.01632e+01	-3.82000e+01
210	2.10000e-02	5.52679e-01	-3.99641e+01	-3.80000e+01
