Index	t	Heat Flow	Ts	Tr
605	6.05000e-02	7.24531e-01	3.84239e+01	4.10000e+01
606	6.06000e-02	7.25058e-01	3.86307e+01	4.12000e+01
607	6.07000e-02	7.25634e-01	3.88295e+01	4.14000e+01
608	6.08000e-02	7.26335e-01	3.90250e+01	4.16000e+01
609	6.09000e-02	7.27018e-01	3.92268e+01	4.18000e+01
610	6.10000e-02	7.27545e-01	3.94270e+01	4.20000e+01
611	6.11000e-02	7.27984e-01	3.96286e+01	4.22000e+01
612	6.12000e-02	7.28548e-01	3.98286e+01	4.24000e+01
613	6.13000e-02	7.29075e-01	4.00269e+01	4.26000e+01
614	6.14000e-02	7.29433e-01	4.02314e+01	4.28000e+01
615	6.15000e-02	7.29710e-01	4.04280e+01	4.30000e+01
616	6.16000e-02	7.29971e-01	4.06293e+01	4.32000e+01
617	6.17000e-02	7.30403e-01	4.08320e+01	4.34000e+01
618	6.18000e-02	7.30802e-01	4.10331e+01	4.36000e+01
619	6.19000e-02	7.31072e-01	4.12293e+01	4.38000e+01
620	6.20000e-02	7.31422e-01	4.14334e+01	4.40000e+01
621	6.21000e-02	7.31665e-01	4.16279e+01	4.42000e+01
622	6.22000e-02	7.31992e-01	4.18303e+01	4.44000e+01
623	6.23000e-02	7.32146e-01	4.20356e+01	4.46000e+01
624	6.24000e-02	7.32423e-01	4.22315e+01	4.48000e+01
625	6.25000e-02	7.32806e-01	4.24320e+01	4.50000e+01
626	6.26000e-02	7.33027e-01	4.26309e+01	4.52000e+01
627	6.27000e-02	7.33303e-01	4.28297e+01	4.54000e+01
628	6.28000e-02	7.33695e-01	4.30331e+01	4.56000e+01
629	6.29000e-02	7.34291e-01	4.32317e+01	4.58000e+01
630	6.30000e-02	7.34839e-01	4.34287e+01	4.60000e+01
631	6.31000e-02	7.35182e-01	4.36319e+01	4.62000e+01
632	6.32000e-02	7.35460e-01	4.38303e+01	4.64000e+01
633	6.33000e-02	7.35663e-01	4.40271e+01	4.66000e+01
634	6.34000e-02	7.35883e-01	4.42284e+01	4.68000e+01
635	6.35000e-02	7.36054e-01	4.44297e+01	4.70000e+01
636	6.36000e-02	7.36324e-01	4.46309e+01	4.72000e+01
637	6.37000e-02	7.36783e-01	4.48290e+01	4.74000e+01
638	6.38000e-02	7.37273e-01	4.50316e+01	4.76000e+01
639	6.39000e-02	7.37954e-01	4.52372e+01	4.78000e+01
640	6.40000e-02	7.38624e-01	4.54303e+01	4.80000e+01
641	6.41000e-02	7.39290e-01	4.56327e+01	4.82000e+01
642	6.42000e-02	7.39723e-01	4.58350e+01	4.84000e+01
643	6.43000e-02	7.39770e-01	4.60310e+01	4.86000e+01
644	6.44000e-02	7.39977e-01	4.62285e+01	4.88000e+01
645	6.45000e-02	7.40428e-01	4.64306e+01	4.90000e+01
646	6.46000e-02	7.40763e-01	4.66372e+01	4.92000e+01
647	6.47000e-02	7.40927e-01	4.68360e+01	4.94000e+01
648	6.48000e-02	7.41032e-01	4.70378e+01	4.96000e+01
