Index	t	Heat Flow	Ts	Tr
0	0.00000e+00	-5.42172e-03	-7.97621e+01	-8.00000e+01
1	1.00000e-04	-5.37365e-03	-7.97621e+01	-7.98000e+01
2	2.00000e-04	-5.38367e-03	-7.97621e+01	-7.96000e+01
3	3.00000e-04	-5.50206e-03	-7.97555e+01	-7.94000e+01
4	4.00000e-04	-5.85794e-03	-7.97444e+01	-7.92000e+01
5	5.00000e-04	-6.40546e-03	-7.97422e+01	-7.90000e+01
6	6.00000e-04	-7.05043e-03	-7.97223e+01	-7.88000e+01
7	7.00000e-04	-7.74836e-03	-7.97025e+01	-7.86000e+01
8	8.00000e-04	-8.40994e-03	-7.96649e+01	-7.84000e+01
9	9.00000e-04	-8.97911e-03	-7.96230e+01	-7.82000e+01
10	1.00000e-03	-9.41924e-03	-7.95612e+01	-7.80000e+01
11	1.10000e-03	-9.70378e-03	-7.94906e+01	-7.78000e+01
12	1.20000e-03	-9.85482e-03	-7.94222e+01	-7.76000e+01
13	1.30000e-03	-9.88267e-03	-7.93230e+01	-7.74000e+01
14	1.40000e-03	-9.80345e-03	-7.92260e+01	-7.72000e+01
15	1.50000e-03	-9.63696e-03	-7.91203e+01	-7.70000e+01
16	1.60000e-03	-9.35999e-03	-7.90014e+01	-7.68000e+01
17	1.70000e-03	-8.96324e-03	-7.88649e+01	-7.66000e+01
18	1.80000e-03	-8.46377e-03	-7.87439e+01	-7.64000e+01
19	1.90000e-03	-7.87240e-03	-7.86098e+01	-7.62000e+01
20	2.00000e-03	-7.16742e-03	-7.84670e+01	-7.60000e+01
21	2.10000e-03	-6.34791e-03	-7.83132e+01	-7.58000e+01
22	2.20000e-03	-5.39789e-03	-7.81684e+01	-7.56000e+01
23	2.30000e-03	-4.31871e-03	-7.80083e+01	-7.54000e+01
24	2.40000e-03	-3.10837e-03	-7.78527e+01	-7.52000e+01
25	2.50000e-03	-1.75832e-03	-7.76884e+01	-7.50000e+01
26	2.60000e-03	-2.29933e-04	-7.75242e+01	-7.48000e+01
27	2.70000e-03	1.44428e-03	-7.73579e+01	-7.46000e+01
28	2.80000e-03	3.27283e-03	-7.71809e+01	-7.44000e+01
29	2.90000e-03	5.25189e-03	-7.70061e+01	-7.42000e+01
30	3.00000e-03	7.48635e-03	-7.68249e+01	-7.40000e+01
31	3.10000e-03	9.87345e-03	-7.66460e+01	-7.38000e+01
32	3.20000e-03	1.24912e-02	-7.64651e+01	-7.36000e+01
33	3.30000e-03	1.53299e-02	-7.62843e+01	-7.34000e+01
34	3.40000e-03	1.83418e-02	-7.60993e+01	-7.32000e+01
35	3.50000e-03	2.15321e-02	-7.59101e+01	-7.30000e+01
36	3.60000e-03	2.48541e-02	-7.57253e+01	-7.28000e+01
37	3.70000e-03	2.83857e-02	-7.55342e+01	-7.26000e+01
38	3.80000e-03	3.20281e-02	-7.53519e+01	-7.24000e+01
39	3.90000e-03	3.58451e-02	-7.51502e+01	-7.22000e+01
40	4.00000e-03	3.97502e-02	-7.49596e+01	-7.20000e+01
41	4.10000e-03	4.36940e-02	-7.47690e+01	-7.18000e+01
42	4.20000e-03	4.77382e-02	-7.45786e+01	-7.16000e+01
43	4.30000e-03	5.18115e-02	-7.43819e+01	-7.14000e+01
44	4.40000e-03	5.58491e-02	-7.41875e+01	-7.12000e+01
45	4.50000e-03	5.99077e-02	-7.39932e+01	-7.10000e+01
46	4.60000e-03	6.39442e-02	-7.37948e+01	-7.08000e+01
47	4.70000e-03	6.79544e-02	-7.35922e+01	-7.06000e+01
48	4.80000e-03	7.18109e-02	-7.33984e+01	-7.04000e+01
49	4.90000e-03	7.55932e-02	-7.32004e+01	-7.02000e+01
50	5.00000e-03	7.92321e-02	-7.30047e+01	-7.00000e+01
51	5.10000e-03	8.28336e-02	-7.28049e+01	-6.98000e+01
52	5.20000e-03	8.63471e-02	-7.26010e+01	-6.96000e+01
53	5.30000e-03	8.96004e-02	-7.24015e+01	-6.94000e+01
54	5.40000e-03	9.27354e-02	-7.22107e+01	-6.92000e+01
55	5.50000e-03	9.57100e-02	-7.20094e+01	-6.90000e+01
56	5.60000e-03	9.84822e-02	-7.18061e+01	-6.88000e+01
57	5.70000e-03	1.01145e-01	-7.16072e+01	-6.86000e+01
58	5.80000e-03	1.03669e-01	-7.14085e+01	-6.84000e+01
59	5.90000e-03	1.06057e-01	-7.12056e+01	-6.82000e+01
60	6.00000e-03	1.08252e-01	-7.09987e+01	-6.80000e+01
61	6.10000e-03	1.10366e-01	-7.08004e+01	-6.78000e+01
62	6.20000e-03	1.12286e-01	-7.06087e+01	-6.76000e+01
63	6.30000e-03	1.14052e-01	-7.04128e+01	-6.74000e+01
64	6.40000e-03	1.15716e-01	-7.02023e+01	-6.72000e+01
65	6.50000e-03	1.17124e-01	-7.00025e+01	-6.70000e+01
66	6.60000e-03	1.18496e-01	-6.97986e+01	-6.68000e+01
67	6.70000e-03	1.19687e-01	-6.96013e+01	-6.66000e+01
68	6.80000e-03	1.20753e-01	-6.93977e+01	-6.64000e+01
69	6.90000e-03	1.21768e-01	-6.91964e+01	-6.62000e+01
70	7.00000e-03	1.22664e-01	-6.89932e+01	-6.60000e+01
71	7.10000e-03	1.23468e-01	-6.87943e+01	-6.58000e+01
72	7.20000e-03	1.24207e-01	-6.85998e+01	-6.56000e+01
73	7.30000e-03	1.24820e-01	-6.83970e+01	-6.54000e+01
74	7.40000e-03	1.25344e-01	-6.81986e+01	-6.52000e+01
75	7.50000e-03	1.25795e-01	-6.79919e+01	-6.50000e+01
76	7.60000e-03	1.26284e-01	-6.77938e+01	-6.48000e+01
77	7.70000e-03	1.26701e-01	-6.75874e+01	-6.46000e+01
