	Index	t	Heat Flow	Ts	Tr
	[#]	[s]	[mW]	[°C]	[°C]
	0	0,00000e+00	-6,79524e-03	-7,97191e+01	-8,00000e+01
	1	1,00000e-04	-7,37204e-03	-7,97081e+01	-7,98000e+01
	2	2,00000e-04	-8,00708e-03	-7,96772e+01	-7,96000e+01
	3	3,00000e-04	-8,60601e-03	-7,96507e+01	-7,94000e+01
	4	4,00000e-04	-9,10313e-03	-7,96021e+01	-7,92000e+01
	5	5,00000e-04	-9,50850e-03	-7,95448e+01	-7,90000e+01
	6	6,00000e-04	-9,82097e-03	-7,94786e+01	-7,88000e+01
	7	7,00000e-04	-1,00212e-02	-7,94014e+01	-7,86000e+01
	8	8,00000e-04	-1,01025e-02	-7,93110e+01	-7,84000e+01
	9	9,00000e-04	-1,00610e-02	-7,92052e+01	-7,82000e+01
	10	1,00000e-03	-9,95210e-03	-7,91017e+01	-7,80000e+01
	11	1,10000e-03	-9,69806e-03	-7,89872e+01	-7,78000e+01
	12	1,20000e-03	-9,33418e-03	-7,88573e+01	-7,76000e+01
	13	1,30000e-03	-8,85853e-03	-7,87341e+01	-7,74000e+01
	14	1,40000e-03	-8,24879e-03	-7,85956e+01	-7,72000e+01
	15	1,50000e-03	-7,56332e-03	-7,84550e+01	-7,70000e+01
	16	1,60000e-03	-6,72175e-03	-7,83079e+01	-7,68000e+01
	17	1,70000e-03	-5,76017e-03	-7,81543e+01	-7,66000e+01
	18	1,80000e-03	-4,67312e-03	-7,80007e+01	-7,64000e+01
	19	1,90000e-03	-3,44106e-03	-7,78385e+01	-7,62000e+01
	20	2,00000e-03	-2,08130e-03	-7,76852e+01	-7,60000e+01
	21	2,10000e-03	-5,33530e-04	-7,75079e+01	-7,58000e+01
	22	2,20000e-03	1,12787e-03	-7,73395e+01	-7,56000e+01
	23	2,30000e-03	2,99050e-03	-7,71689e+01	-7,54000e+01
	24	2,40000e-03	5,03920e-03	-7,69964e+01	-7,52000e+01
	25	2,50000e-03	7,29647e-03	-7,68174e+01	-7,50000e+01
	26	2,60000e-03	9,75412e-03	-7,66363e+01	-7,48000e+01
	27	2,70000e-03	1,23966e-02	-7,64619e+01	-7,46000e+01
	28	2,80000e-03	1,51974e-02	-7,62746e+01	-7,44000e+01
	29	2,90000e-03	1,81154e-02	-7,60940e+01	-7,42000e+01
	30	3,00000e-03	2,12035e-02	-7,59026e+01	-7,40000e+01
	31	3,10000e-03	2,44604e-02	-7,57178e+01	-7,38000e+01
	32	3,20000e-03	2,78550e-02	-7,55289e+01	-7,36000e+01
	33	3,30000e-03	3,13845e-02	-7,53379e+01	-7,34000e+01
	34	3,40000e-03	3,50790e-02	-7,51471e+01	-7,32000e+01
	35	3,50000e-03	3,89112e-02	-7,49564e+01	-7,30000e+01
	36	3,60000e-03	4,28631e-02	-7,47594e+01	-7,28000e+01
	37	3,70000e-03	4,68769e-02	-7,45690e+01	-7,26000e+01
	38	3,80000e-03	5,09784e-02	-7,43701e+01	-7,24000e+01
	39	3,90000e-03	5,51172e-02	-7,41822e+01	-7,22000e+01
