Index	t	Heat Flow	Ts	Tr
1	1.00000e-04	-3.18021e-04	-7.97330e+01	-7.98000e+01
2	2.00000e-04	-8.09721e-04	-7.97107e+01	-7.96000e+01
3	3.00000e-04	-1.30712e-03	-7.96973e+01	-7.94000e+01
4	4.00000e-04	-1.70016e-03	-7.96549e+01	-7.92000e+01
5	5.00000e-04	-1.96436e-03	-7.96191e+01	-7.90000e+01
6	6.00000e-04	-2.01287e-03	-7.95521e+01	-7.88000e+01
7	7.00000e-04	-1.92467e-03	-7.94829e+01	-7.86000e+01
8	8.00000e-04	-1.63848e-03	-7.94048e+01	-7.84000e+01
9	9.00000e-04	-1.17625e-03	-7.93089e+01	-7.82000e+01
10	1.00000e-03	-5.07592e-04	-7.92130e+01	-7.80000e+01
11	1.10000e-03	3.62776e-04	-7.91016e+01	-7.78000e+01
12	1.20000e-03	1.44245e-03	-7.89902e+01	-7.76000e+01
13	1.30000e-03	2.78916e-03	-7.88633e+01	-7.74000e+01
14	1.40000e-03	4.36503e-03	-7.87275e+01	-7.72000e+01
15	1.50000e-03	6.16219e-03	-7.85940e+01	-7.70000e+01
16	1.60000e-03	8.23276e-03	-7.84540e+01	-7.68000e+01
17	1.70000e-03	1.06013e-02	-7.83007e+01	-7.66000e+01
18	1.80000e-03	1.33073e-02	-7.81586e+01	-7.64000e+01
19	1.90000e-03	1.63611e-02	-7.80099e+01	-7.62000e+01
20	2.00000e-03	1.97964e-02	-7.78347e+01	-7.60000e+01
21	2.10000e-03	2.35767e-02	-7.76752e+01	-7.58000e+01
22	2.20000e-03	2.77813e-02	-7.75113e+01	-7.56000e+01
23	2.30000e-03	3.23585e-02	-7.73365e+01	-7.54000e+01
24	2.40000e-03	3.72742e-02	-7.71618e+01	-7.52000e+01
25	2.50000e-03	4.25880e-02	-7.69916e+01	-7.50000e+01
26	2.60000e-03	4.82146e-02	-7.68150e+01	-7.48000e+01
27	2.70000e-03	5.42126e-02	-7.66297e+01	-7.46000e+01
28	2.80000e-03	6.04488e-02	-7.64489e+01	-7.44000e+01
29	2.90000e-03	6.68960e-02	-7.62704e+01	-7.42000e+01
30	3.00000e-03	7.36157e-02	-7.60789e+01	-7.40000e+01
31	3.10000e-03	8.04706e-02	-7.58919e+01	-7.38000e+01
32	3.20000e-03	8.74195e-02	-7.57006e+01	-7.36000e+01
