Index	t	Heat Flow	Ts	Tr
73	7.30000e-03	2.18491e-01	-6.79191e+01	-6.54000e+01
74	7.40000e-03	2.18926e-01	-6.77190e+01	-6.52000e+01
75	7.50000e-03	2.19390e-01	-6.75211e+01	-6.50000e+01
76	7.60000e-03	2.19778e-01	-6.73148e+01	-6.48000e+01
77	7.70000e-03	2.20143e-01	-6.71172e+01	-6.46000e+01
78	7.80000e-03	2.20558e-01	-6.69092e+01	-6.44000e+01
79	7.90000e-03	2.20987e-01	-6.67098e+01	-6.42000e+01
80	8.00000e-03	2.21340e-01	-6.65126e+01	-6.40000e+01
81	8.10000e-03	2.21718e-01	-6.63093e+01	-6.38000e+01
82	8.20000e-03	2.22019e-01	-6.61019e+01	-6.36000e+01
83	8.30000e-03	2.22251e-01	-6.59052e+01	-6.34000e+01
84	8.40000e-03	2.22652e-01	-6.57066e+01	-6.32000e+01
85	8.50000e-03	2.23109e-01	-6.55018e+01	-6.30000e+01
86	8.60000e-03	2.23545e-01	-6.53034e+01	-6.28000e+01
87	8.70000e-03	2.23862e-01	-6.51010e+01	-6.26000e+01
88	8.80000e-03	2.24163e-01	-6.48904e+01	-6.24000e+01
89	8.90000e-03	2.24385e-01	-6.46925e+01	-6.22000e+01
90	9.00000e-03	2.24610e-01	-6.44968e+01	-6.20000e+01
91	9.10000e-03	2.24830e-01	-6.42930e+01	-6.18000e+01
92	9.20000e-03	2.25071e-01	-6.40913e+01	-6.16000e+01
93	9.30000e-03	2.25403e-01	-6.38835e+01	-6.14000e+01
94	9.40000e-03	2.25578e-01	-6.36885e+01	-6.12000e+01
95	9.50000e-03	2.25803e-01	-6.34852e+01	-6.10000e+01
96	9.60000e-03	2.26016e-01	-6.32800e+01	-6.08000e+01
97	9.70000e-03	2.26181e-01	-6.30854e+01	-6.06000e+01
98	9.80000e-03	2.26430e-01	-6.28805e+01	-6.04000e+01
99	9.90000e-03	2.26656e-01	-6.26842e+01	-6.02000e+01
100	1.00000e-02	2.26833e-01	-6.24733e+01	-6.00000e+01
101	1.01000e-02	2.27065e-01	-6.22730e+01	-5.98000e+01
102	1.02000e-02	2.27267e-01	-6.20687e+01	-5.96000e+01
103	1.03000e-02	2.27486e-01	-6.18625e+01	-5.94000e+01
104	1.04000e-02	2.27686e-01	-6.16648e+01	-5.92000e+01
105	1.05000e-02	2.27867e-01	-6.14589e+01	-5.90000e+01
106	1.06000e-02	2.27997e-01	-6.12615e+01	-5.88000e+01
107	1.07000e-02	2.28168e-01	-6.10600e+01	-5.86000e+01
108	1.08000e-02	2.28203e-01	-6.08587e+01	-5.84000e+01
109	1.09000e-02	2.28399e-01	-6.06576e+01	-5.82000e+01
110	1.10000e-02	2.28623e-01	-6.04503e+01	-5.80000e+01
111	1.11000e-02	2.28832e-01	-6.02516e+01	-5.78000e+01
112	1.12000e-02	2.29069e-01	-6.00509e+01	-5.76000e+01
113	1.13000e-02	2.29314e-01	-5.98503e+01	-5.74000e+01
114	1.14000e-02	2.29573e-01	-5.96478e+01	-5.72000e+01
115	1.15000e-02	2.29892e-01	-5.94434e+01	-5.70000e+01
116	1.16000e-02	2.30294e-01	-5.92413e+01	-5.68000e+01
117	1.17000e-02	2.30629e-01	-5.90413e+01	-5.66000e+01
118	1.18000e-02	2.31027e-01	-5.88394e+01	-5.64000e+01
119	1.19000e-02	2.31430e-01	-5.86315e+01	-5.62000e+01
120	1.20000e-02	2.31717e-01	-5.84361e+01	-5.60000e+01
121	1.21000e-02	2.32149e-01	-5.82326e+01	-5.58000e+01
122	1.22000e-02	2.32501e-01	-5.80313e+01	-5.56000e+01
123	1.23000e-02	2.32636e-01	-5.78281e+01	-5.54000e+01
124	1.24000e-02	2.32705e-01	-5.76251e+01	-5.52000e+01
125	1.25000e-02	2.32838e-01	-5.74263e+01	-5.50000e+01
126	1.26000e-02	2.33077e-01	-5.72276e+01	-5.48000e+01
127	1.27000e-02	2.33474e-01	-5.70189e+01	-5.46000e+01
128	1.28000e-02	2.33646e-01	-5.68164e+01	-5.44000e+01
129	1.29000e-02	2.33792e-01	-5.66202e+01	-5.42000e+01
130	1.30000e-02	2.34008e-01	-5.64140e+01	-5.40000e+01
131	1.31000e-02	2.34104e-01	-5.62099e+01	-5.38000e+01
132	1.32000e-02	2.34135e-01	-5.60142e+01	-5.36000e+01
133	1.33000e-02	2.34243e-01	-5.58145e+01	-5.34000e+01
134	1.34000e-02	2.34285e-01	-5.56068e+01	-5.32000e+01
135	1.35000e-02	2.34468e-01	-5.54074e+01	-5.30000e+01
136	1.36000e-02	2.34595e-01	-5.52081e+01	-5.28000e+01
137	1.37000e-02	2.34786e-01	-5.50029e+01	-5.26000e+01
138	1.38000e-02	2.34990e-01	-5.48079e+01	-5.24000e+01
139	1.39000e-02	2.35167e-01	-5.45990e+01	-5.22000e+01
140	1.40000e-02	2.35264e-01	-5.44023e+01	-5.20000e+01
141	1.41000e-02	2.35402e-01	-5.41976e+01	-5.18000e+01
142	1.42000e-02	2.35554e-01	-5.39952e+01	-5.16000e+01
143	1.43000e-02	2.35771e-01	-5.37949e+01	-5.14000e+01
144	1.44000e-02	2.36025e-01	-5.35907e+01	-5.12000e+01
145	1.45000e-02	2.36200e-01	-5.33947e+01	-5.10000e+01
146	1.46000e-02	2.36412e-01	-5.31908e+01	-5.08000e+01
147	1.47000e-02	2.36646e-01	-5.29870e+01	-5.06000e+01
148	1.48000e-02	2.36911e-01	-5.27854e+01	-5.04000e+01
149	1.49000e-02	2.37163e-01	-5.25839e+01	-5.02000e+01
150	1.50000e-02	2.37491e-01	-5.23826e+01	-5.00000e+01
151	1.51000e-02	2.37725e-01	-5.21834e+01	-4.98000e+01
152	1.52000e-02	2.37991e-01	-5.19783e+01	-4.96000e+01
153	1.53000e-02	2.38223e-01	-5.17814e+01	-4.94000e+01
154	1.54000e-02	2.38380e-01	-5.15786e+01	-4.92000e+01
155	1.55000e-02	2.38571e-01	-5.13760e+01	-4.90000e+01
156	1.56000e-02	2.38841e-01	-5.11715e+01	-4.88000e+01
157	1.57000e-02	2.39110e-01	-5.09751e+01	-4.86000e+01
158	1.58000e-02	2.39453e-01	-5.07709e+01	-4.84000e+01
159	1.59000e-02	2.39731e-01	-5.05708e+01	-4.82000e+01
160	1.60000e-02	2.39959e-01	-5.03669e+01	-4.80000e+01
161	1.61000e-02	2.40355e-01	-5.01711e+01	-4.78000e+01
162	1.62000e-02	2.40788e-01	-4.99634e+01	-4.76000e+01
163	1.63000e-02	2.41103e-01	-4.97719e+01	-4.74000e+01
