Index	t	Heat Flow	Ts	Tr
73	7.30000e-03	2.18621e-01	-6.77376e+01	-6.54000e+01
74	7.40000e-03	2.19182e-01	-6.75439e+01	-6.52000e+01
75	7.50000e-03	2.19775e-01	-6.73376e+01	-6.50000e+01
76	7.60000e-03	2.20363e-01	-6.71315e+01	-6.48000e+01
77	7.70000e-03	2.20926e-01	-6.69341e+01	-6.46000e+01
78	7.80000e-03	2.21552e-01	-6.67346e+01	-6.44000e+01
79	7.90000e-03	2.22108e-01	-6.65333e+01	-6.42000e+01
80	8.00000e-03	2.22598e-01	-6.63342e+01	-6.40000e+01
81	8.10000e-03	2.23158e-01	-6.61288e+01	-6.38000e+01
82	8.20000e-03	2.23713e-01	-6.59300e+01	-6.36000e+01
83	8.30000e-03	2.24313e-01	-6.57335e+01	-6.34000e+01
84	8.40000e-03	2.24855e-01	-6.55307e+01	-6.32000e+01
85	8.50000e-03	2.25296e-01	-6.53303e+01	-6.30000e+01
86	8.60000e-03	2.25817e-01	-6.51279e+01	-6.28000e+01
87	8.70000e-03	2.26250e-01	-6.49235e+01	-6.26000e+01
88	8.80000e-03	2.26592e-01	-6.47277e+01	-6.24000e+01
89	8.90000e-03	2.26838e-01	-6.45152e+01	-6.22000e+01
90	9.00000e-03	2.27021e-01	-6.43197e+01	-6.20000e+01
91	9.10000e-03	2.27188e-01	-6.41181e+01	-6.18000e+01
92	9.20000e-03	2.27401e-01	-6.39145e+01	-6.16000e+01
93	9.30000e-03	2.27604e-01	-6.37194e+01	-6.14000e+01
94	9.40000e-03	2.27845e-01	-6.35140e+01	-6.12000e+01
95	9.50000e-03	2.28021e-01	-6.33067e+01	-6.10000e+01
96	9.60000e-03	2.28159e-01	-6.31100e+01	-6.08000e+01
97	9.70000e-03	2.28283e-01	-6.29113e+01	-6.06000e+01
98	9.80000e-03	2.28360e-01	-6.27128e+01	-6.04000e+01
99	9.90000e-03	2.28454e-01	-6.25082e+01	-6.02000e+01
100	1.00000e-02	2.28630e-01	-6.22996e+01	-6.00000e+01
101	1.01000e-02	2.28820e-01	-6.21015e+01	-5.98000e+01
102	1.02000e-02	2.29110e-01	-6.18995e+01	-5.96000e+01
103	1.03000e-02	2.29431e-01	-6.16913e+01	-5.94000e+01
104	1.04000e-02	2.29780e-01	-6.14958e+01	-5.92000e+01
105	1.05000e-02	2.30103e-01	-6.12921e+01	-5.90000e+01
106	1.06000e-02	2.30452e-01	-6.10927e+01	-5.88000e+01
107	1.07000e-02	2.30823e-01	-6.08913e+01	-5.86000e+01
108	1.08000e-02	2.31150e-01	-6.06840e+01	-5.84000e+01
109	1.09000e-02	2.31416e-01	-6.04850e+01	-5.82000e+01
110	1.10000e-02	2.31714e-01	-6.02862e+01	-5.80000e+01
111	1.11000e-02	2.31949e-01	-6.00834e+01	-5.78000e+01
112	1.12000e-02	2.32180e-01	-5.98808e+01	-5.76000e+01
113	1.13000e-02	2.32381e-01	-5.96803e+01	-5.74000e+01
114	1.14000e-02	2.32586e-01	-5.94780e+01	-5.72000e+01
115	1.15000e-02	2.32756e-01	-5.92758e+01	-5.70000e+01
116	1.16000e-02	2.32912e-01	-5.90717e+01	-5.68000e+01
117	1.17000e-02	2.33010e-01	-5.88718e+01	-5.66000e+01
118	1.18000e-02	2.33050e-01	-5.86701e+01	-5.64000e+01
119	1.19000e-02	2.33118e-01	-5.84685e+01	-5.62000e+01
120	1.20000e-02	2.33270e-01	-5.82670e+01	-5.60000e+01
121	1.21000e-02	2.33405e-01	-5.80677e+01	-5.58000e+01
122	1.22000e-02	2.33542e-01	-5.78666e+01	-5.56000e+01
123	1.23000e-02	2.33743e-01	-5.76676e+01	-5.54000e+01
124	1.24000e-02	2.33924e-01	-5.74626e+01	-5.52000e+01
125	1.25000e-02	2.34140e-01	-5.72557e+01	-5.50000e+01
126	1.26000e-02	2.34416e-01	-5.70572e+01	-5.48000e+01
127	1.27000e-02	2.34646e-01	-5.68588e+01	-5.46000e+01
128	1.28000e-02	2.34917e-01	-5.66585e+01	-5.44000e+01
129	1.29000e-02	2.35197e-01	-5.64543e+01	-5.42000e+01
130	1.30000e-02	2.35432e-01	-5.62502e+01	-5.40000e+01
131	1.31000e-02	2.35674e-01	-5.60503e+01	-5.38000e+01
132	1.32000e-02	2.35886e-01	-5.58445e+01	-5.36000e+01
133	1.33000e-02	2.36004e-01	-5.56449e+01	-5.34000e+01
134	1.34000e-02	2.36129e-01	-5.54434e+01	-5.32000e+01
135	1.35000e-02	2.36185e-01	-5.52441e+01	-5.30000e+01
136	1.36000e-02	2.36252e-01	-5.50389e+01	-5.28000e+01
137	1.37000e-02	2.36466e-01	-5.48378e+01	-5.26000e+01
138	1.38000e-02	2.36608e-01	-5.46369e+01	-5.24000e+01
139	1.39000e-02	2.36775e-01	-5.44321e+01	-5.22000e+01
140	1.40000e-02	2.36948e-01	-5.42315e+01	-5.20000e+01
141	1.41000e-02	2.37161e-01	-5.40331e+01	-5.18000e+01
142	1.42000e-02	2.37471e-01	-5.38267e+01	-5.16000e+01
143	1.43000e-02	2.37753e-01	-5.36285e+01	-5.14000e+01
144	1.44000e-02	2.38027e-01	-5.34224e+01	-5.12000e+01
145	1.45000e-02	2.38305e-01	-5.32185e+01	-5.10000e+01
146	1.46000e-02	2.38619e-01	-5.30187e+01	-5.08000e+01
147	1.47000e-02	2.38902e-01	-5.28151e+01	-5.06000e+01
148	1.48000e-02	2.39193e-01	-5.26196e+01	-5.04000e+01
149	1.49000e-02	2.39461e-01	-5.24162e+01	-5.02000e+01
150	1.50000e-02	2.39732e-01	-5.22150e+01	-5.00000e+01
151	1.51000e-02	2.40051e-01	-5.20159e+01	-4.98000e+01
152	1.52000e-02	2.40333e-01	-5.18110e+01	-4.96000e+01
153	1.53000e-02	2.40655e-01	-5.16102e+01	-4.94000e+01
154	1.54000e-02	2.40975e-01	-5.14095e+01	-4.92000e+01
155	1.55000e-02	2.41419e-01	-5.12030e+01	-4.90000e+01
156	1.56000e-02	2.41665e-01	-5.10046e+01	-4.88000e+01
157	1.57000e-02	2.41853e-01	-5.08064e+01	-4.86000e+01
158	1.58000e-02	2.42041e-01	-5.06043e+01	-4.84000e+01
159	1.59000e-02	2.42245e-01	-5.03983e+01	-4.82000e+01
160	1.60000e-02	2.42409e-01	-5.01965e+01	-4.80000e+01
161	1.61000e-02	2.42630e-01	-4.99928e+01	-4.78000e+01
162	1.62000e-02	2.42877e-01	-4.97973e+01	-4.76000e+01
163	1.63000e-02	2.43086e-01	-4.95958e+01	-4.74000e+01
164	1.64000e-02	2.43332e-01	-4.93886e+01	-4.72000e+01
165	1.65000e-02	2.43558e-01	-4.91915e+01	-4.70000e+01
166	1.66000e-02	2.43743e-01	-4.89924e+01	-4.68000e+01
167	1.67000e-02	2.43900e-01	-4.87856e+01	-4.66000e+01
168	1.68000e-02	2.44101e-01	-4.85829e+01	-4.64000e+01
169	1.69000e-02	2.44359e-01	-4.83843e+01	-4.62000e+01
170	1.70000e-02	2.44667e-01	-4.81859e+01	-4.60000e+01
171	1.71000e-02	2.44963e-01	-4.79796e+01	-4.58000e+01
172	1.72000e-02	2.45178e-01	-4.77774e+01	-4.56000e+01
173	1.73000e-02	2.45549e-01	-4.75814e+01	-4.54000e+01
174	1.74000e-02	2.45991e-01	-4.73735e+01	-4.52000e+01
175	1.75000e-02	2.46331e-01	-4.71698e+01	-4.50000e+01
176	1.76000e-02	2.46540e-01	-4.69722e+01	-4.48000e+01
177	1.77000e-02	2.46697e-01	-4.67667e+01	-4.46000e+01
178	1.78000e-02	2.46874e-01	-4.65713e+01	-4.44000e+01
179	1.79000e-02	2.47098e-01	-4.63662e+01	-4.42000e+01
180	1.80000e-02	2.47356e-01	-4.61690e+01	-4.40000e+01
181	1.81000e-02	2.47654e-01	-4.59661e+01	-4.38000e+01
182	1.82000e-02	2.47961e-01	-4.57594e+01	-4.36000e+01
183	1.83000e-02	2.48187e-01	-4.55627e+01	-4.34000e+01
184	1.84000e-02	2.48429e-01	-4.53602e+01	-4.32000e+01
185	1.85000e-02	2.48634e-01	-4.51519e+01	-4.30000e+01
186	1.86000e-02	2.48788e-01	-4.49556e+01	-4.28000e+01
187	1.87000e-02	2.48987e-01	-4.47575e+01	-4.26000e+01
188	1.88000e-02	2.49157e-01	-4.45535e+01	-4.24000e+01
189	1.89000e-02	2.49274e-01	-4.43497e+01	-4.22000e+01
190	1.90000e-02	2.49522e-01	-4.41520e+01	-4.20000e+01
191	1.91000e-02	2.49771e-01	-4.39465e+01	-4.18000e+01
192	1.92000e-02	2.49940e-01	-4.37470e+01	-4.16000e+01
193	1.93000e-02	2.50154e-01	-4.35438e+01	-4.14000e+01
194	1.94000e-02	2.50420e-01	-4.33426e+01	-4.12000e+01
195	1.95000e-02	2.50845e-01	-4.31455e+01	-4.10000e+01
196	1.96000e-02	2.51134e-01	-4.29407e+01	-4.08000e+01
197	1.97000e-02	2.51439e-01	-4.27399e+01	-4.06000e+01
198	1.98000e-02	2.51781e-01	-4.25354e+01	-4.04000e+01
199	1.99000e-02	2.52120e-01	-4.23330e+01	-4.02000e+01
200	2.00000e-02	2.52384e-01	-4.21365e+01	-4.00000e+01
201	2.01000e-02	2.52656e-01	-4.19324e+01	-3.98000e+01
202	2.02000e-02	2.52832e-01	-4.17322e+01	-3.96000e+01
203	2.03000e-02	2.53242e-01	-4.15361e+01	-3.94000e+01
204	2.04000e-02	2.53637e-01	-4.13324e+01	-3.92000e+01
205	2.05000e-02	2.53900e-01	-4.11288e+01	-3.90000e+01
