Index	t	Heat Flow	Ts	Tr
1	1.00000e-04	5.00345e-04	-7.97531e+01	-7.98000e+01
2	2.00000e-04	3.86692e-05	-7.97397e+01	-7.96000e+01
3	3.00000e-04	-4.86214e-04	-7.97196e+01	-7.94000e+01
4	4.00000e-04	-9.87613e-04	-7.97018e+01	-7.92000e+01
5	5.00000e-04	-1.39914e-03	-7.96705e+01	-7.90000e+01
6	6.00000e-04	-1.66285e-03	-7.96124e+01	-7.88000e+01
7	7.00000e-04	-1.74545e-03	-7.95633e+01	-7.86000e+01
8	8.00000e-04	-1.69212e-03	-7.94918e+01	-7.84000e+01
9	9.00000e-04	-1.40112e-03	-7.94093e+01	-7.82000e+01
10	1.00000e-03	-9.03943e-04	-7.93156e+01	-7.80000e+01
11	1.10000e-03	-2.37109e-04	-7.92152e+01	-7.78000e+01
12	1.20000e-03	6.22493e-04	-7.91038e+01	-7.76000e+01
13	1.30000e-03	1.68190e-03	-7.89857e+01	-7.74000e+01
14	1.40000e-03	2.99198e-03	-7.88655e+01	-7.72000e+01
15	1.50000e-03	4.52453e-03	-7.87342e+01	-7.70000e+01
16	1.60000e-03	6.34764e-03	-7.85918e+01	-7.68000e+01
17	1.70000e-03	8.42423e-03	-7.84540e+01	-7.66000e+01
18	1.80000e-03	1.08481e-02	-7.83051e+01	-7.64000e+01
19	1.90000e-03	1.36291e-02	-7.81586e+01	-7.62000e+01
20	2.00000e-03	1.67402e-02	-7.79944e+01	-7.60000e+01
21	2.10000e-03	2.02364e-02	-7.78414e+01	-7.58000e+01
22	2.20000e-03	2.40481e-02	-7.76752e+01	-7.56000e+01
23	2.30000e-03	2.82446e-02	-7.75024e+01	-7.54000e+01
24	2.40000e-03	3.27769e-02	-7.73387e+01	-7.52000e+01
25	2.50000e-03	3.77221e-02	-7.71662e+01	-7.50000e+01
26	2.60000e-03	4.30206e-02	-7.69894e+01	-7.48000e+01
27	2.70000e-03	4.86751e-02	-7.68128e+01	-7.46000e+01
28	2.80000e-03	5.46798e-02	-7.66274e+01	-7.44000e+01
29	2.90000e-03	6.08636e-02	-7.64466e+01	-7.42000e+01
30	3.00000e-03	6.73021e-02	-7.62638e+01	-7.40000e+01
31	3.10000e-03	7.38892e-02	-7.60767e+01	-7.38000e+01
32	3.20000e-03	8.06778e-02	-7.58875e+01	-7.36000e+01
33	3.30000e-03	8.76226e-02	-7.56984e+01	-7.34000e+01
34	3.40000e-03	9.45505e-02	-7.55095e+01	-7.32000e+01
35	3.50000e-03	1.01513e-01	-7.53164e+01	-7.30000e+01
36	3.60000e-03	1.08365e-01	-7.51322e+01	-7.28000e+01
37	3.70000e-03	1.15118e-01	-7.49415e+01	-7.26000e+01
38	3.80000e-03	1.21760e-01	-7.47445e+01	-7.24000e+01
39	3.90000e-03	1.28196e-01	-7.45519e+01	-7.22000e+01
40	4.00000e-03	1.34460e-01	-7.43552e+01	-7.20000e+01
41	4.10000e-03	1.40554e-01	-7.41608e+01	-7.18000e+01
42	4.20000e-03	1.46439e-01	-7.39622e+01	-7.16000e+01
43	4.30000e-03	1.51974e-01	-7.37681e+01	-7.14000e+01
44	4.40000e-03	1.57194e-01	-7.35676e+01	-7.12000e+01
45	4.50000e-03	1.62161e-01	-7.33716e+01	-7.10000e+01
46	4.60000e-03	1.66899e-01	-7.31758e+01	-7.08000e+01
47	4.70000e-03	1.71379e-01	-7.29757e+01	-7.06000e+01
48	4.80000e-03	1.75501e-01	-7.27846e+01	-7.04000e+01
49	4.90000e-03	1.79285e-01	-7.25805e+01	-7.02000e+01
50	5.00000e-03	1.82804e-01	-7.23788e+01	-7.00000e+01
51	5.10000e-03	1.86071e-01	-7.21816e+01	-6.98000e+01
52	5.20000e-03	1.89127e-01	-7.19802e+01	-6.96000e+01
53	5.30000e-03	1.91888e-01	-7.17877e+01	-6.94000e+01
54	5.40000e-03	1.94498e-01	-7.15823e+01	-6.92000e+01
55	5.50000e-03	1.97013e-01	-7.13900e+01	-6.90000e+01
56	5.60000e-03	1.99380e-01	-7.11849e+01	-6.88000e+01
57	5.70000e-03	2.01555e-01	-7.09887e+01	-6.86000e+01
58	5.80000e-03	2.03503e-01	-7.07882e+01	-6.84000e+01
59	5.90000e-03	2.05341e-01	-7.05836e+01	-6.82000e+01
60	6.00000e-03	2.07022e-01	-7.03857e+01	-6.80000e+01
61	6.10000e-03	2.08599e-01	-7.01879e+01	-6.78000e+01
62	6.20000e-03	2.10049e-01	-6.99859e+01	-6.76000e+01
63	6.30000e-03	2.11327e-01	-6.97798e+01	-6.74000e+01
64	6.40000e-03	2.12607e-01	-6.95782e+01	-6.72000e+01
65	6.50000e-03	2.13720e-01	-6.93831e+01	-6.70000e+01
66	6.60000e-03	2.14776e-01	-6.91818e+01	-6.68000e+01
67	6.70000e-03	2.15734e-01	-6.89807e+01	-6.66000e+01
68	6.80000e-03	2.16652e-01	-6.87797e+01	-6.64000e+01
69	6.90000e-03	2.17516e-01	-6.85745e+01	-6.62000e+01
70	7.00000e-03	2.18262e-01	-6.83824e+01	-6.60000e+01
71	7.10000e-03	2.19064e-01	-6.81776e+01	-6.58000e+01
72	7.20000e-03	2.19723e-01	-6.79751e+01	-6.56000e+01
73	7.30000e-03	2.20311e-01	-6.77748e+01	-6.54000e+01
74	7.40000e-03	2.20795e-01	-6.75769e+01	-6.52000e+01
75	7.50000e-03	2.21273e-01	-6.73791e+01	-6.50000e+01
76	7.60000e-03	2.21800e-01	-6.71709e+01	-6.48000e+01
77	7.70000e-03	2.22257e-01	-6.69734e+01	-6.46000e+01
78	7.80000e-03	2.22686e-01	-6.67676e+01	-6.44000e+01
79	7.90000e-03	2.23096e-01	-6.65683e+01	-6.42000e+01
80	8.00000e-03	2.23406e-01	-6.63670e+01	-6.40000e+01
81	8.10000e-03	2.23755e-01	-6.61680e+01	-6.38000e+01
82	8.20000e-03	2.24121e-01	-6.59713e+01	-6.36000e+01
83	8.30000e-03	2.24494e-01	-6.57642e+01	-6.34000e+01
84	8.40000e-03	2.24807e-01	-6.55635e+01	-6.32000e+01
85	8.50000e-03	2.25149e-01	-6.53630e+01	-6.30000e+01
86	8.60000e-03	2.25485e-01	-6.51606e+01	-6.28000e+01
87	8.70000e-03	2.25792e-01	-6.49625e+01	-6.26000e+01
88	8.80000e-03	2.26044e-01	-6.47561e+01	-6.24000e+01
89	8.90000e-03	2.26281e-01	-6.45584e+01	-6.22000e+01
90	9.00000e-03	2.26631e-01	-6.43565e+01	-6.20000e+01
91	9.10000e-03	2.27042e-01	-6.41527e+01	-6.18000e+01
92	9.20000e-03	2.27353e-01	-6.39575e+01	-6.16000e+01
93	9.30000e-03	2.27701e-01	-6.37477e+01	-6.14000e+01
